"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
4146,"Medicine","Emergency Medicine Lectures","44hrs 14min","12th","English/Hindi","Module 1: Cardiac Arrest and Anaphylaxis","CARDIAC ARREST EMERGENCY MANAGEMENT, UNCONSCIOUS PULSELESS PATIENT TREATMENT ACLS RHYTHM REVIEW 2021","https://www.youtube.com/watch?v=0d85qKobfP8"
4147,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 1: Cardiac Arrest and Anaphylaxis","ANAPHYLACTIC SHOCK(ANAPHYLAXIS) EMERGENCY MANAGEMENT PROTOCOL,ANAPHYLAXIS REACTION TREATMENT NURSING","https://www.youtube.com/watch?v=yQv9ZgNSkDA"
4148,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 1: Cardiac Arrest and Anaphylaxis","Status Epilepticus Emergency Treatment and Management Step Wise, Emergency Medicine Lecture Series","https://www.youtube.com/watch?v=8wVeLn5uKgw"
4149,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 2: Seizures and Stroke Management","Emergency Treatment For Stroke - Investigations,Types, Long-Term Management, Stroke Medicine Lecture","https://www.youtube.com/watch?v=CP-WEh9C9Eg"
4150,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 2: Seizures and Stroke Management","Snake Bite First Aid Emergency Treatment, Management in Hospital/at Home Guidelines Nursing, Lecture","https://www.youtube.com/watch?v=1zP9bMv78D4"
4151,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 2: Seizures and Stroke Management","Transient Ischemic Attack (TIA) Emergency Treatment & Management, Symtoms, Medicine Lecture USMLE","https://www.youtube.com/watch?v=uEMJCjsl3mM"
4152,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 3: Hypertension and Myocardial Infarction","HYPERTENSIVE CRISES (EMERGENCY AND URGENCY) TREATMENT, HYPERTENSIVE EMERGENCY MANAGEMENT ALOGRITHAM","https://www.youtube.com/watch?v=O-PAsam2pnw"
4153,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 3: Hypertension and Myocardial Infarction","Myocardial Infarction (MI,Heart Attack) Treatment in Emergency | Step wise  STEMI Management USMLE","https://www.youtube.com/watch?v=k_cMaukhoUw"
4154,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 3: Hypertension and Myocardial Infarction","Acute Decompensated Heart Failure (Flash Pulmonary Edema) Emergency Treatment, Medicine Lecture","https://www.youtube.com/watch?v=xPGBLB-ejtU"
4155,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 4: Respiratory Emergencies","Hyperkalemia Treatment In Emergency,Hyperkalemia Causes,ECG changes and Management","https://www.youtube.com/watch?v=xmafdsADGi0"
4156,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 4: Respiratory Emergencies","Esophageal Varices & Variceal Hemorrhage Treatment and Managment(STEP WISE APPROACH)","https://www.youtube.com/watch?v=X308-qVBeqI"
4157,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 4: Respiratory Emergencies","STATUS ASTHAMATICUS (ACUTE SEVERE ASTHMA) EMERGENCY MANAGEMENT/TREATMENT, EMERGENCY MEDICINE LECTURE","https://www.youtube.com/watch?v=_A7jgGAs0VI"
4158,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 5: Metabolic Emergencies","Acute COPD Exacerbation Emergency Management/Treatment, Symptoms,Causes, Emergency Medicine Lectures","https://www.youtube.com/watch?v=JhzUUn9YiMM"
4159,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 5: Metabolic Emergencies","Diabetic Ketoacidosis (DKA) Emergency Treatment & Management Guidelines, Medicine Lecture, USMLE","https://www.youtube.com/watch?v=4Rqxvge4Y_c"
4160,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 5: Metabolic Emergencies","ATRIAL FIBRILLATION (AFIB) TREATMENT, ECG INTERPRETATION, PATHOPHYSIOLOGY, AFIB MANAGEMENT LECTURE","https://www.youtube.com/watch?v=2apynLGrTe4"
4161,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 6: Cardiac Arrhythmias and Sepsis","Sepsis and Septic Shock Treatment in Emergency, Sepsis Treatment Guidelines, Symptoms & Management","https://www.youtube.com/watch?v=QyZ9KMZREJo"
4162,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 6: Cardiac Arrhythmias and Sepsis","CHOKING FIRST AID, TREATMENT IN INFANTS (BABY) ADULTS, HEIMLICH MANEUVER, UNCONCIOUS CHOKING VICTIM","https://www.youtube.com/watch?v=jx4uOV9y9bY"
4163,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 6: Cardiac Arrhythmias and Sepsis","Angina Pectoris - An Approach To Chest Pain & Acute Coronary Syndrome | Stable & Unstable Angina |","https://www.youtube.com/watch?v=AEvVcCPOp_E"
4164,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 7: Airway Emergencies and Chest Pain","Pulmonary Embolism(PE), Diagnosis Alogritham, Treatment, Well's Criteria, CT, Medicine Lecture,USMLE","https://www.youtube.com/watch?v=kKH5CYFM9FE"
4165,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 7: Airway Emergencies and Chest Pain","HYPOKALEMIA TREATMENT GUIDELINES, SYMPTOMS, MANAGEMENT, ECG CHANGES, POTTASSIUM REPLACEMENT PROTOCOL","https://www.youtube.com/watch?v=WWVxuSDk8js"
4166,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 7: Airway Emergencies and Chest Pain","Hyperosmolar Hyperglycemic State (HHS) vs DKA, Hyperglycemic Nonketotic Coma Syndrome Management","https://www.youtube.com/watch?v=S62DEsEraSw"
4167,"Medicine","Emergency Medicine Lectures","","12th","English/Hindi","Module 8: Pulmonary Embolism and Electrolyte Imbalances","THYROTOXICOSIS, THYROTOXIC CRISES (THYROID STORM) EMERGENCY TREATMENT MANAGEMENT LECTURE, USMLE","https://www.youtube.com/watch?v=STIGHMJxDgs"
