S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Medicine,Obstetrics & Gynecology,26hrs 9min,12th,English/Hindi,Module 1: Pre-Eclampsia and PCOS,"Pre-Eclampsia | Symptoms, Pathophysiology and Treatment",https://www.youtube.com/watch?v=LGKRH3wuOk8
2,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 1: Pre-Eclampsia and PCOS,"Polycystic Ovary Syndrome (PCOS) - Causes, Risks and Treatments",https://www.youtube.com/watch?v=GwnaGB4rjRw
3,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 2: Endometriosis and PID,"Endometriosis | Causes, Pathophysiology, Symptoms, Diagnosis & Treatment",https://www.youtube.com/watch?v=V33tIwHTTu0
4,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 2: Endometriosis and PID,Pelvic Inflammatory Disease (PID) Signs & Symptoms (& Why They Occur),https://www.youtube.com/watch?v=CIKDjKY9mmY
5,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 3: Vasa Previa and Placenta Previa,"Vasa Previa (Obstetrical Condition) | Causes, Risk Factors, Signs & Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=ONyrc6ZzoV4
6,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 3: Vasa Previa and Placenta Previa,"Placenta Previa (Low Lying Placenta) | Risk Factors, Symptoms & Complications, Diagnosis, Treatment",https://www.youtube.com/watch?v=-Zxny1NcsmY
7,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 4: Endometrial and Cervical Cancer,"Endometrial Cancer | Risk Factors, Pathogenesis, Signs & Symptoms, Diagnosis, Treatment, Prevention",https://www.youtube.com/watch?v=ptFXnI7k9yE
8,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 4: Endometrial and Cervical Cancer,Cervical Cancer Signs & Symptoms (& Why They Occur),https://www.youtube.com/watch?v=MM3fiuXicSk
9,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 4: Endometrial and Cervical Cancer,Endometrial Cancer Signs & Symptoms (& Why They Occur),https://www.youtube.com/watch?v=oMpY4COYm9U
10,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 4: Endometrial and Cervical Cancer,"Cervical Cancer: Risk Factors, Pathophysiology, Symptoms, Staging, Diagnosis, Treatment & Prevention",https://www.youtube.com/watch?v=DuVYzxa0HVI
11,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 5: Fetal Growth Disorders,"Fetal Growth Restriction (FGR, IUGR) | Types, Causes, TORCH Infections, Diagnosis, Treatment",https://www.youtube.com/watch?v=UqM5BH6PqFk
12,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 5: Fetal Growth Disorders,"Fetal Alcohol Syndrome (FAS) | Risk Factors, Pathophysiology, Signs & Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=uHH3vyWFapM
13,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 6: Endometriosis and Infections,Endometriosis Signs & Symptoms (& Why They Occur),https://www.youtube.com/watch?v=h7nkL5EJ8PQ
14,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 6: Endometriosis and Infections,"Bacterial Vaginosis (Vaginal Infection): Causes, Risk Factors, Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=bLqwrqSTbZw
15,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 6: Endometriosis and Infections,"Vaginal Candidiasis (“Yeast Infection”) Causes, Risk Factors, Signs & Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=Er2bvPt0rZ4
16,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 7: Pregnancy Complications,"Gestational Diabetes (Pregnancy Diabetes) | Causes, Risk Factors, Symptoms, Consequences, Treatment",https://www.youtube.com/watch?v=bhRPe6KP8iw
17,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 7: Pregnancy Complications,"Hyperemesis Gravidarum (Pregnancy Nausea): Risks, Symptoms, Complications, Diagnosis, Treatment",https://www.youtube.com/watch?v=k0XBx9UmWyU
18,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 8: Pregnancy Complications,"Placental Abruption (Abruptio Placentae) Risk Factors, Symptoms, Complications, Diagnosis, Treatment",https://www.youtube.com/watch?v=X6IRKlFFfOo
19,Medicine,Obstetrics & Gynecology,,12th,English/Hindi,Module 8: Pregnancy Complications,Vaginal Candidiasis (“Yeast Infection”) Risk Factors (& Ways to Reduce Risk),https://www.youtube.com/watch?v=cwkCTQ4dF2I
