S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,294hrs 1min,12th,English/Hindi,Module 1: Introduction to Genetics & Inheritance Biology: Genetics and Probability,Introduction to Genetics | CSIR NET Life Science | L1 | IFAS I Inheritance Biology,https://www.youtube.com/watch?v=pCFEyj5IBqk
2,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 1: Introduction to Genetics & Inheritance Biology: Genetics and Probability,Inheritance Biology: Genetics and Probability| CSIR NET Life Science | L2 | IFAS,https://www.youtube.com/watch?v=WQdvh7RwZ_I
3,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 1: Introduction to Genetics & Inheritance Biology: Genetics and Probability,Inheritance Biology: Law of Segregation |CSIR NET Life Science | L3 | IFAS Genetics,https://www.youtube.com/watch?v=vCioizvUBVw
4,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 2: Inheritance Biology: Allelic interactions & Multiple Allele & Inheritance Biology: Physical Basis of Inheritance,Inheritance Biology: Dihybrid Cross | CSIR NET Life Science | L4 | IFAS,https://www.youtube.com/watch?v=_XzsoOZbD-Q
5,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 2: Inheritance Biology: Allelic interactions & Multiple Allele & Inheritance Biology: Physical Basis of Inheritance,Inheritance Biology: Law of Independent Assortment | CSIR NET Life Science | L5 | IFAS,https://www.youtube.com/watch?v=Js1LGcnAwaA
6,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 3: Inheritance Biology: Gene-Gene Interaction & Inheritance Biology: Epistasis,Inheritance Biology: Chi Square Test - Goodness of Fit I CSIR NET Life Science | L6 | IFAS,https://www.youtube.com/watch?v=g8BgGrJtfRg
7,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 3: Inheritance Biology: Gene-Gene Interaction & Inheritance Biology: Epistasis,Inheritance Biology: Allelic interactions & Multiple Allele | CSIR NET Life Science | L7,https://www.youtube.com/watch?v=mbNMzFpKtyE
8,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,"Module 4: Inheritance Biology: Penetrance, Lethal Gene, Dominant & Inheritance Biology: Autosomal Recessive Disorders",Inheritance Biology: Physical Basis of Inheritance | CSIR NET Life Science | L8,https://www.youtube.com/watch?v=orv-MouFxKs
9,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,"Module 4: Inheritance Biology: Penetrance, Lethal Gene, Dominant & Inheritance Biology: Autosomal Recessive Disorders",Inheritance Biology: Multiple Alleles| CSIR NET Life Science | L9 | IFAS Genetics,https://www.youtube.com/watch?v=K5AWXjv0HfE
10,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 5: Inheritance Biology: Sex Influenced and Sex Limited Traits & 8 - Detailed Solutions of CSIR Exam Questions Dec 2023 Life Science I Genetics I IFAS,Inheritance Biology: Bombay Phenotype Multiple Alleles | CSIR NET Life Science | L10 | IFAS,https://www.youtube.com/watch?v=jlBhnav1XNQ
11,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 5: Inheritance Biology: Sex Influenced and Sex Limited Traits & 8 - Detailed Solutions of CSIR Exam Questions Dec 2023 Life Science I Genetics I IFAS,Inheritance Biology: Gene-Gene Interaction | CSIR NET Life Science | L11 | IFAS,https://www.youtube.com/watch?v=Ch9blCkyB-w
12,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 6: Introduction to Genetics | CSIR NET Life Science | L1 | IFAS I Inheritance Biology,Inheritance Biology: Epistasis | CSIR NET Life Science | L12 | IFAS LIVE,https://www.youtube.com/watch?v=9T1pRTOz2VA
13,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 6: Introduction to Genetics | CSIR NET Life Science | L1 | IFAS I Inheritance Biology,"Inheritance Biology: Complementary, Duplicate, Polymeric Gene | CSIR NET Life Science | L13 | IFAS",https://www.youtube.com/watch?v=5EQRJ-m28ZM
14,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 7: Inheritance Biology: Law of Segregation |CSIR NET Life Science | L3 | IFAS Genetics,Inheritance Biology: Complementation Test - Cis Trans Test I CSIR NET Life Science | L14 | IFAS,https://www.youtube.com/watch?v=WUoAGg0h7yo
15,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 7: Inheritance Biology: Law of Segregation |CSIR NET Life Science | L3 | IFAS Genetics,"Inheritance Biology: Penetrance, Lethal Gene, Dominant | CSIR NET Life Science | L15 | IFAS",https://www.youtube.com/watch?v=zbKCDv-IoNI
16,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 8: Inheritance Biology: Law of Independent Assortment | CSIR NET Life Science | L5 | IFAS,Inheritance Biology: Autosomal Recessive Disorders I CSIR NET Life Science | L16,https://www.youtube.com/watch?v=hLhaclRpW4E
17,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 8: Inheritance Biology: Law of Independent Assortment | CSIR NET Life Science | L5 | IFAS,Inheritance Biology: X Linked Recessive Disorders I CSIR NET Life Science | L17,https://www.youtube.com/watch?v=PCOL21Dwc1o
18,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 9: Inheritance Biology: Allelic interactions & Multiple Allele | CSIR NET Life Science | L7,Inheritance Biology: X-linked Dominant and Y Linked Traits I CSIR NET Life Science | L18,https://www.youtube.com/watch?v=RML0DEQp-Us
19,Medicine,UNIT-8 | Inheritance Biology Genetics | CSIR NET 2024 June | IFAS-by K.C Sir & Pranshu Sir,,12th,English/Hindi,Module 9: Inheritance Biology: Allelic interactions & Multiple Allele | CSIR NET Life Science | L7,Inheritance Biology: Sex Influenced and Sex Limited Traits I CSIR NET Life Science | L19,https://www.youtube.com/watch?v=PRNqCwvqeQw
