Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
12519,Music,Audio Engineering Tutorials,65hrs 17min,12th,English/Hindi,Module 1: Sound Fundamentals & Frequency,The Fundamentals Of Sound,https://www.youtube.com/watch?v=gAQ79rHFRfE
12520,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 1: Sound Fundamentals & Frequency,Understanding Frequency & How to Use An Equalizer (EQ),https://www.youtube.com/watch?v=YohhkNB7FOk
12521,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 1: Sound Fundamentals & Frequency,Beginning Compression,https://www.youtube.com/watch?v=vdnAgOJ1OkI
12522,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 1: Sound Fundamentals & Frequency,Mixing 101: Balance,https://www.youtube.com/watch?v=nG058olwJ3c
12523,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 2: Beginning Mixing & Compression,The Mixing Board 'How Does It Work': Topic #1 - MONO Channel Strips,https://www.youtube.com/watch?v=V9sLx7bEM8U
12524,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 2: Beginning Mixing & Compression,Behringer X32 - Board Setup for Monitor Sends,https://www.youtube.com/watch?v=wpiEmZktwZ4
12525,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 2: Beginning Mixing & Compression,X32 Live! Webinar: Routing overview,https://www.youtube.com/watch?v=WM33TwdSOP4
12526,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 3: Behringer X32 Deep Dive,X32 Live! Webinar: Mix Buses,https://www.youtube.com/watch?v=kEdZa-iWoWc
12527,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 3: Behringer X32 Deep Dive,All About Patch Bays - Behringer PX2000 & PX3000,https://www.youtube.com/watch?v=mCAdbM6aDIw
12528,Music,Audio Engineering Tutorials,,12th,English/Hindi,Module 3: Behringer X32 Deep Dive,X32 Live! Webinar: X32 with Pro Tools!,https://www.youtube.com/watch?v=uRz8ktvMKto
