Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
12269,Music,Jazz Studies Playlist,6hrs 22min,12th,English/Hindi,Module 1: Ragtime Pioneers,Maple Leaf Rag Played by Scott Joplin,https://www.youtube.com/watch?v=pMAtL7n_-rc
12270,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 1: Ragtime Pioneers,St. Louis Blues,https://www.youtube.com/watch?v=VWC3PUHVSG8
12271,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 2: Early Jazz & Blues Masters,Oh! Didn't He Ramble,https://www.youtube.com/watch?v=KFwrYm6w8WU
12272,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 2: Early Jazz & Blues Masters,Dippermouth Blues,https://www.youtube.com/watch?v=Rm_UpMNOunA
12273,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 2: Early Jazz & Blues Masters,"Original Dixieland Jazz Band:- ""Dixie Jazz Band One-Step""",https://www.youtube.com/watch?v=mW7rldvqN1w
12274,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 2: Early Jazz & Blues Masters,Jelly Roll Morton - Black Bottom Stomp,https://www.youtube.com/watch?v=lcgIrAyNGGM
12275,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 3: The Harlem Renaissance,CAROLINA SHOUT - James P. Johnson,https://www.youtube.com/watch?v=nSFGyipsNsg
12276,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 3: The Harlem Renaissance,Louis Armstrong - West End Blues,https://www.youtube.com/watch?v=4WPCBieSESI
12277,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 3: The Harlem Renaissance,"Louis Armstrong - Weather Bird - New York, 07.12. 1928",https://www.youtube.com/watch?v=hyb_wr40pog
12278,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 4: Swing Era Giants,Coleman Hawkins-Body and Soul,https://www.youtube.com/watch?v=zUFg6HvljDE
12279,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 4: Swing Era Giants,"Bessie Smith - St. Louis Blues, 1925",https://www.youtube.com/watch?v=3rd9IaA_uJI
12280,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 4: Swing Era Giants,Singin The Blues - Bix Beiderbecke,https://www.youtube.com/watch?v=0Ue9igC7flI
12281,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 4: Swing Era Giants,Fletcher Henderson - New King Porter Stomp - N.Y.C. 09.12.32,https://www.youtube.com/watch?v=S4IC0MkMAUw
12282,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 5: The Duke and The Count,"1928 HITS ARCHIVE: The Mooche - Duke Ellington (OKeh version--Baby Cox, vocal)",https://www.youtube.com/watch?v=BPJ5vNmVL3I
12283,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 5: The Duke and The Count,Mood Indigo,https://www.youtube.com/watch?v=bZyVBVFnrm4
12284,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 5: The Duke and The Count,Duke Ellington - Take The A Train,https://www.youtube.com/watch?v=dthGrehkuEk
12285,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 6: Kansas City Swing and Beyond,Concerto For Cootie,https://www.youtube.com/watch?v=JB8CVc96OTM
12286,Music,Jazz Studies Playlist,,12th,English/Hindi,Module 6: Kansas City Swing and Beyond,One O'Clock Jump - Count Basie,https://www.youtube.com/watch?v=g3JyQnYPkZk
