Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
11776,Music,Music Composition Lectures,124hrs 5min,12th,English/Hindi,Module 1: Introduction to Music,1. Introduction,https://www.youtube.com/watch?v=5_yOVARO2Oc
11777,Music,Music Composition Lectures,,12th,English/Hindi,Module 1: Introduction to Music,Lecture 2. Introduction to Instruments and Musical Genres,https://www.youtube.com/watch?v=TRg-75VKOFU
11778,Music,Music Composition Lectures,,12th,English/Hindi,Module 2: Rhythm in Music,Lecture 3. Rhythm: Fundamentals,https://www.youtube.com/watch?v=t4echOq29d0
11779,Music,Music Composition Lectures,,12th,English/Hindi,Module 2: Rhythm in Music,"Lecture 4. Rhythm: Jazz, Pop and Classical",https://www.youtube.com/watch?v=h4ROqE4SMyA
11780,Music,Music Composition Lectures,,12th,English/Hindi,Module 3: Melody and Harmony,"Lecture 5. Melody: Notes, Scales, Nuts and Bolts",https://www.youtube.com/watch?v=Xa_LaphlVGg
11781,Music,Music Composition Lectures,,12th,English/Hindi,Module 3: Melody and Harmony,Lecture 6. Melody: Mozart and Wagner,https://www.youtube.com/watch?v=ah5EyUP-GyM
11782,Music,Music Composition Lectures,,12th,English/Hindi,Module 4: Bass and Form,Lecture 7. Harmony: Chords and How to Build Them,https://www.youtube.com/watch?v=Wxf8mHkxgoA
11783,Music,Music Composition Lectures,,12th,English/Hindi,Module 4: Bass and Form,Lecture 8. Bass Patterns: Blues and Rock,https://www.youtube.com/watch?v=J59zf3aUmYA
11784,Music,Music Composition Lectures,,12th,English/Hindi,Module 5: Classical Forms and Variations,Lecture 9. Sonata-Allegro Form: Mozart and Beethoven,https://www.youtube.com/watch?v=oD60TqEZSZE
11785,Music,Music Composition Lectures,,12th,English/Hindi,Module 5: Classical Forms and Variations,Lecture 10. Sonata-Allegro and Theme and Variations,https://www.youtube.com/watch?v=Wcjlm9Q29ec
11786,Music,Music Composition Lectures,,12th,English/Hindi,Module 5: Classical Forms and Variations,"Lecture 11. Form: Rondo, Sonata-Allegro and Theme and Variations (cont.)",https://www.youtube.com/watch?v=s4cNMoDES9g
11787,Music,Music Composition Lectures,,12th,English/Hindi,Module 6: Guest Conductor and Ostinato,Lecture 12. Guest Conductor: Saybrook Orchestra,https://www.youtube.com/watch?v=YnUfQMkGyv8
11788,Music,Music Composition Lectures,,12th,English/Hindi,Module 6: Guest Conductor and Ostinato,"Lecture 14. Ostinato Form in the Music of Purcell, Pachelbel, Elton John and Vitamin C",https://www.youtube.com/watch?v=TPzYv6DsOHU
11789,Music,Music Composition Lectures,,12th,English/Hindi,Module 7: Sacred Music,Lecture 15. Gregorian Chant and Music in the Sistine Chapel,https://www.youtube.com/watch?v=ZkY9nnuiXrs
11790,Music,Music Composition Lectures,,12th,English/Hindi,Module 7: Sacred Music,Lecture 16. Baroque Music: The Vocal Music of Johann Sebastian Bach,https://www.youtube.com/watch?v=XLVOoFNvO9Y
11791,Music,Music Composition Lectures,,12th,English/Hindi,Module 8: Baroque and Opera,Lecture 17. Mozart and His Operas,https://www.youtube.com/watch?v=uDVr0GaD7gI
11792,Music,Music Composition Lectures,,12th,English/Hindi,Module 8: Baroque and Opera,Lecture 18. Piano Music of Mozart and Beethoven,https://www.youtube.com/watch?v=b4ay66Mblgw
11793,Music,Music Composition Lectures,,12th,English/Hindi,Module 9: Classical and Romantic Piano,"Lecture 19. Romantic Opera: Verdi's La Traviata, Bocelli, Pavarotti and Domingo",https://www.youtube.com/watch?v=vzwEXVLP55Q
11794,Music,Music Composition Lectures,,12th,English/Hindi,Module 9: Classical and Romantic Piano,"Lecture 20. The Colossal Symphony: Beethoven, Berlioz, Mahler and Shostakovich",https://www.youtube.com/watch?v=yZ4JgP5LsLI
11795,Music,Music Composition Lectures,,12th,English/Hindi,Module 10: Symphonies and Impressionism,"Lecture 21. Musical Impressionism and Exoticism: Debussy, Ravel and Monet",https://www.youtube.com/watch?v=rJ_XTW6fbmc
11796,Music,Music Composition Lectures,,12th,English/Hindi,Module 10: Symphonies and Impressionism,Lecture 22. Modernism and Mahler,https://www.youtube.com/watch?v=Fhr8QuBiV_Q
11797,Music,Music Composition Lectures,,12th,English/Hindi,Module 11: Modernism and Review,Lecture 23. Review of Musical Style,https://www.youtube.com/watch?v=ScMK-5dwOYM
11798,Music,Music Composition Lectures,,12th,English/Hindi,Module 11: Modernism and Review,"Lecture 13. Fugue: Bach, Bizet and Bernstein",https://www.youtube.com/watch?v=nn1Xfr4cAU8
