S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nonprofit Management,Grant Writing For Beginners & Newbies,83hrs 18min,12th,English/Hindi,Module 1: Introduction to Grant Writing,How To Write A Grant Proposal Step-by-Step 2024 | Things Have Changed!,https://www.youtube.com/watch?v=-V0tYq3nCm8
2,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 1: Introduction to Grant Writing,Best Grant Writing Classes | Grant Central USA,https://www.youtube.com/watch?v=FImDZ1OvUzE
3,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 2: What Is A Grant & What Is A Grant Proposal?,"Grant Writing Workshops, Seminars and Trainings - Grant Central USA 1.888.293.0284",https://www.youtube.com/watch?v=IpSImfPReqA
4,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 2: What Is A Grant & What Is A Grant Proposal?,Grant Writing 101: How To Write A Grant In 1/2 The Time & What Goes Inside One! | Grant Central USA,https://www.youtube.com/watch?v=e_divBmX2xQ
5,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 3: Is This A Good Time To Become A Grant Writer?,Is This A Good Time To Become A Grant Writer? The New Norms Impacting Grant Writing Careers,https://www.youtube.com/watch?v=LwZNlUgy53U
6,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 3: Is This A Good Time To Become A Grant Writer?,Learn Grant Writing In Just Two Days | Grant Writing Classes at GrantCentralUSA.com,https://www.youtube.com/watch?v=REurpPgj9yM
7,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 4: Grant Writing Career | How To Become A Grant Writer,Grant Writing for Beginners: 7 Steps to Writing Your Very First Grant Proposal within 30 Days,https://www.youtube.com/watch?v=kn9wCS8-e4k
8,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 4: Grant Writing Career | How To Become A Grant Writer,How To Write A Grant Proposal For Newbies - Best Practices In Grant Writing & Advice - Rodney Walker,https://www.youtube.com/watch?v=G5UGU9MV7Z0
9,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 5: Grant Writing for Beginners: 7 Steps to Writing Your First Grant Proposal within 30 Days,64th Emmy Awards Interview with Rodney Walker,https://www.youtube.com/watch?v=0CtkOCmLHPo
10,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 5: Grant Writing for Beginners: 7 Steps to Writing Your First Grant Proposal within 30 Days,Let's Win That Grant Money Honey!!,https://www.youtube.com/watch?v=y5x-U1KXhYY
11,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 6: How To Write A Grant Proposal For Newbies,Grant Writing Career | How To Become A Grant Writer & Getting A Job in 60 Days! | Grant Central USA,https://www.youtube.com/watch?v=VLp6-j7cjFo
12,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 6: How To Write A Grant Proposal For Newbies,One BIG Grant Writing Mistake I  Made... That Most Grant Writing Beginners Nearly Always Make!,https://www.youtube.com/watch?v=0nhsPn8SQGE
13,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 7: How To Write A Grant Proposal Step-by-Step 2024,Grant Writing: How To Speak The Funder's Love Language 💘 To Cash in Big And 💰Win Grants!,https://www.youtube.com/watch?v=NZ457HgqXsc
14,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 7: How To Write A Grant Proposal Step-by-Step 2024,Grant Writing 3 BIG Blockers 🚨 Preventing You From Getting Funded 🚨 Watch NOW | Grant Central USA,https://www.youtube.com/watch?v=0Zw-H4oOEVY
15,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 8: One BIG Grant Writing Mistake I  Made,How To Write A Grant: What Goes Into A Grant Proposal And One Thing You Don't Want To Forget To Add!,https://www.youtube.com/watch?v=FLSPCXb8D58
16,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 8: One BIG Grant Writing Mistake I  Made,How To Write Your First Grant Proposal & Overcome A Fear of Getting Started... Grant Writing Newbie!,https://www.youtube.com/watch?v=Mdk-OOtiNio
17,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 9: Grant Writing 101: How To Write A Grant In 1/2 The Time,"🍼Grant Writing For Beginners... Where To Start To Keep From Wasting Time, Money, and  Energy!",https://www.youtube.com/watch?v=YSGV4dDZGtI
18,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 9: Grant Writing 101: How To Write A Grant In 1/2 The Time,You Don't Have To Be A 🧠Genius To Write A Grant... Become A Grant Write With Average Writing Skills,https://www.youtube.com/watch?v=wZ5zbdqGCZg
19,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 10: Grant Writing: How To Speak The Funder's Love Language,How To Write Grants! The One BIG Thing Funders Look For In Every Grant Proposal That You Are Missing,https://www.youtube.com/watch?v=OWo1965_9UA
20,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 10: Grant Writing: How To Speak The Funder's Love Language,Becoming A Grant Writer Webinar  with Rodney Walker,https://www.youtube.com/watch?v=ZrOv9e-9-Lg
21,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 11: How To Write Your First Grant Proposal & Overcome A Fear of Getting Started,Grant Writing For Beginners: Hacks To Writing A Grant Proposal Like A Rock Star | Pt. 1,https://www.youtube.com/watch?v=Bk522o4RxQI
22,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 11: How To Write Your First Grant Proposal & Overcome A Fear of Getting Started,Grant Writing For Beginners: Hack of Hacks - 🗣 Speak It and 💃🏼 Dancing! | Hanging with Rodney,https://www.youtube.com/watch?v=8s834ulEkko
23,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 12: Grant Writing Advice For Beginners: Get Started and Learn From Your Mistakes!,Grant Writing: 3 Top Ways To Break Into This Industry Without Wasting ⏳ Time | Grant Central USA,https://www.youtube.com/watch?v=W3wyY7-FcG0
24,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 12: Grant Writing Advice For Beginners: Get Started and Learn From Your Mistakes!,Grant Writing Friends... GROW These And Watch The Money Come In | Grant Central USA,https://www.youtube.com/watch?v=Jp8c4zpMeUA
25,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 13: Best Grant Writing Classes | Grant Central USA,Grant Writing - The WHY and Why It Is Crucial If You Want To Win Grants! | Grant Central USA,https://www.youtube.com/watch?v=kZJarlH8gq8
26,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 13: Best Grant Writing Classes | Grant Central USA,Grant Writing Advice For Beginners: Get Started and Learn From Your Mistakes!,https://www.youtube.com/watch?v=kiulVU9t3kY
27,Nonprofit Management,Grant Writing For Beginners & Newbies,,12th,English/Hindi,Module 14: Learn Grant Writing In Just Two Days,What Is A Grant & What Is A Grant Proposal? Rodney Walker,https://www.youtube.com/watch?v=60AJESayi04
