S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nonprofit Management,Nonprofit Governance,26hrs 11min,12th,English/Hindi,Module 1: Introduction to Nonprofit Governance,002: Nonprofit Basics: The Who's Who of Nonprofit Governance,https://www.youtube.com/watch?v=WleLUcGgiH0
2,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 1: Introduction to Nonprofit Governance,001: Nonprofit Basics: Overview of Nonprofit Charitable Organization Types,https://www.youtube.com/watch?v=CF-MlIxqEL4
3,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 1: Introduction to Nonprofit Governance,003: Nonprofit Basics: Director Duties and Best Practices for the Nonprofit Public Benefit Corp.,https://www.youtube.com/watch?v=Vwlmh5ovpgk
4,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 1: Introduction to Nonprofit Governance,004: Internal Investigations for Nonprofits: A Means of Identifying & Addressing Misconduct,https://www.youtube.com/watch?v=M7qYukPkwNA
5,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 2: Nonprofit Operations and Compliance,011: Nonprofit Basics: Amending Nonprofit Corporation Bylaws,https://www.youtube.com/watch?v=HgizPXgIrN0
6,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 2: Nonprofit Operations and Compliance,013: Nonprofit Basics: Document Retention Policies and Subpoenas - Why Good Policies Matter,https://www.youtube.com/watch?v=Nx-1QuOUsWc
7,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 2: Nonprofit Operations and Compliance,033: Nonprofit Conflict of Interest Policies & Best Practices for Approving Insider Compensation,https://www.youtube.com/watch?v=fU8bPsCqV4M
8,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 3: Financial Oversight and Conflict of Interest,034: Nonprofit Basics: Best Practices for Approving Insider Compensation Decisions,https://www.youtube.com/watch?v=1PqBW53AQko
9,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 3: Financial Oversight and Conflict of Interest,050: Impact of California Supreme Court Case on Director Enforcement Actions,https://www.youtube.com/watch?v=FdL64C2wZRk
10,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 3: Financial Oversight and Conflict of Interest,042: Nonprofit Basics: Meeting Minutes Best Practices,https://www.youtube.com/watch?v=ERM2uJD1jr4
11,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 4: Legal Responsibilities and Risk Management,048: Artificial Intelligence: What Nonprofits Need to Know,https://www.youtube.com/watch?v=iFOcInDZEJ8
12,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 4: Legal Responsibilities and Risk Management,049: Nonprofit Basics: Winding up a California Charity,https://www.youtube.com/watch?v=6fezB96aYo0
13,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 4: Legal Responsibilities and Risk Management,051: Nonprofit Basics: How to Withdraw a Foreign Charity From California Registration,https://www.youtube.com/watch?v=ygdymcreVAE
14,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 5: Technology and Future Trends in the Nonprofit Sector,056: What Nonprofit Board Leadership Needs To Know About Internal Investigations,https://www.youtube.com/watch?v=TKkaM_AU4_k
15,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 5: Technology and Future Trends in the Nonprofit Sector,074: Employment Law Update for Nonprofits With Holly Sutton,https://www.youtube.com/watch?v=o8FXMvDvQVg
16,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 6: Special Topics in Nonprofit Governance,"073: Nonprofit Basics: Unpacking Prudent Investments, PRIs, and MRIs",https://www.youtube.com/watch?v=-OByN0vwUks
17,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 6: Special Topics in Nonprofit Governance,084: Nonprofit Book Review: ABA Guidebook for Directors of Nonprofit Corporations,https://www.youtube.com/watch?v=vP6CY0QDJKw
18,Nonprofit Management,Nonprofit Governance,,12th,English/Hindi,Module 6: Special Topics in Nonprofit Governance,085: Back to Compliance: Reinstating Tax-Exempt Status for a Charity,https://www.youtube.com/watch?v=y5bJWXIChQM
