S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nursing,Community health nursing,19hrs 21min,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Introduction of community health nursing,https://www.youtube.com/watch?v=VJtpNjJK8zA
2,Nursing,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Demography: sources & cycle,https://www.youtube.com/watch?v=-okTFohWfx8
3,Nursing,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Dimensions of health,https://www.youtube.com/watch?v=Ma23i55r_Ws
4,Nursing,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Determinants of health: simple explanation,https://www.youtube.com/watch?v=jrmRFFhR5G8
5,Nursing,Community health nursing,,12th,English/Hindi,Module 2: Health Education: Principles & Objectives,Health education: principles & objectives,https://www.youtube.com/watch?v=qaJpyz6i-z0
6,Nursing,Community health nursing,,12th,English/Hindi,Module 2: Health Education: Principles & Objectives,Epidemiological methods (design),https://www.youtube.com/watch?v=6swwJ1Lg1LM
7,Nursing,Community health nursing,,12th,English/Hindi,Module 2: Health Education: Principles & Objectives,Principles And Steps Of Home Visit,https://www.youtube.com/watch?v=y-zVNoHXJ0E
8,Nursing,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Triad,Epidemiological Triad : Simple Explanation,https://www.youtube.com/watch?v=KwlodqhsyYA
9,Nursing,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Triad,Mode Of Disease Transmission,https://www.youtube.com/watch?v=0Y3nSbvG0wQ
10,Nursing,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Triad,World health organization (WHO),https://www.youtube.com/watch?v=uRUjVv5MkDQ
11,Nursing,Community health nursing,,12th,English/Hindi,Module 4: UNICEF: Services/Functions,UNICEF : Services/Functions,https://www.youtube.com/watch?v=VaVMar9LTrc
12,Nursing,Community health nursing,,12th,English/Hindi,Module 4: UNICEF: Services/Functions,Concept of Health,https://www.youtube.com/watch?v=xZsODfAk7a0
13,Nursing,Community health nursing,,12th,English/Hindi,Module 5: Principles of Community Health Nursing,Principles of community health nursing: simple explanation,https://www.youtube.com/watch?v=uuyDR_zlLNE
14,Nursing,Community health nursing,,12th,English/Hindi,Module 5: Principles of Community Health Nursing,Roles of community health nurse,https://www.youtube.com/watch?v=OoYZIqHseso
15,Nursing,Community health nursing,,12th,English/Hindi,Module 6: Levels of Prevention with Examples,Levels of prevention with simple examples/ English,https://www.youtube.com/watch?v=NaPJySskCeM
16,Nursing,Community health nursing,,12th,English/Hindi,Module 6: Levels of Prevention with Examples,Scope of community health nursing/ English,https://www.youtube.com/watch?v=38Du4yx1Lfw
17,Nursing,Community health nursing,,12th,English/Hindi,Module 7: Functions of Community Health Nurse,Functions of community health nurse/english,https://www.youtube.com/watch?v=hEDr6Lluins
18,Nursing,Community health nursing,,12th,English/Hindi,Module 7: Functions of Community Health Nurse,Chickenpox / varicella : simple explanation,https://www.youtube.com/watch?v=r2eYj3OqV5s
19,Nursing,Community health nursing,,12th,English/Hindi,Module 8: Measles (Rubeola),Measles (rubeola) simple explanation/english,https://www.youtube.com/watch?v=ifwiiTJyCF0
20,Nursing,Community health nursing,,12th,English/Hindi,Module 8: Measles (Rubeola),Mumps simple explanation,https://www.youtube.com/watch?v=RSm7fAdH3Gc
21,Nursing,Community health nursing,,12th,English/Hindi,Module 8: Measles (Rubeola),German measles/rubella:simple explanation,https://www.youtube.com/watch?v=fi2-1GM3Rq8
