S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nursing,EBP Essentials,8hrs 16min,12th,English/Hindi,Module 1: Introduction to Evidence-Based Practice,What Is Evidence-Based Practice,https://www.youtube.com/watch?v=2pJvBNszxIU
2,Nursing,EBP Essentials,,12th,English/Hindi,Module 1: Introduction to Evidence-Based Practice,What is Evidence Based Practice Methodology,https://www.youtube.com/watch?v=2VodXvc1rBA
3,Nursing,EBP Essentials,,12th,English/Hindi,Module 1: Introduction to Evidence-Based Practice,Who Uses Evidence-Based Practice,https://www.youtube.com/watch?v=2FFzt3VfyCc
4,Nursing,EBP Essentials,,12th,English/Hindi,Module 1: Introduction to Evidence-Based Practice,Types of Research Used for Evidence Based Practice,https://www.youtube.com/watch?v=jwOu24btBVk
5,Nursing,EBP Essentials,,12th,English/Hindi,Module 2: Research Methods and Systematic Reviews,Myths and Realities of Evidence Based Practice,https://www.youtube.com/watch?v=z8fQBAM1nm0
6,Nursing,EBP Essentials,,12th,English/Hindi,Module 2: Research Methods and Systematic Reviews,The Role of Systematic Reviews in Evidence-Based Healthcare,https://www.youtube.com/watch?v=vhitDGfO8qU
7,Nursing,EBP Essentials,,12th,English/Hindi,Module 2: Research Methods and Systematic Reviews,What is a Systematic Review,https://www.youtube.com/watch?v=FiFoll-NKV8
8,Nursing,EBP Essentials,,12th,English/Hindi,Module 3: The Role of Systematic Reviews,The Defining Features of a JBI systematic review,https://www.youtube.com/watch?v=1AYXp6Ohv0A
9,Nursing,EBP Essentials,,12th,English/Hindi,Module 3: The Role of Systematic Reviews,The Librarians Role in the Systematic Review,https://www.youtube.com/watch?v=16ITqavZ6fs
10,Nursing,EBP Essentials,,12th,English/Hindi,Module 3: The Role of Systematic Reviews,Step 1 in a Systematic Review,https://www.youtube.com/watch?v=lfO5yB9EoJU
11,Nursing,EBP Essentials,,12th,English/Hindi,Module 4: The Systematic Review Process,Step 2 in a Systematic Review,https://www.youtube.com/watch?v=Ky4bU94dZnY
12,Nursing,EBP Essentials,,12th,English/Hindi,Module 4: The Systematic Review Process,Step 3 in a Systematic Review,https://www.youtube.com/watch?v=MEBal2QgH7c
13,Nursing,EBP Essentials,,12th,English/Hindi,Module 4: The Systematic Review Process,Who Supports and Cares About Evidence-Based Healthcare,https://www.youtube.com/watch?v=xs1FFrrN9mg
14,Nursing,EBP Essentials,,12th,English/Hindi,Module 5: Evidence-Based Healthcare and its Importance,Evidence Based Practice Fundamentals,https://www.youtube.com/watch?v=iby88f5PJas
15,Nursing,EBP Essentials,,12th,English/Hindi,Module 5: Evidence-Based Healthcare and its Importance,Making Evidence Based Practice Transparent,https://www.youtube.com/watch?v=Pl5L7Yyn2Ok
16,Nursing,EBP Essentials,,12th,English/Hindi,Module 5: Evidence-Based Healthcare and its Importance,What Accounts for Improvements in Delivering Evidence Based,https://www.youtube.com/watch?v=7UD5OPmfjBs
17,Nursing,EBP Essentials,,12th,English/Hindi,Module 6: Evidence-Based Practice Fundamentals,How Do We Use Data to Improve Evidence Based Practice,https://www.youtube.com/watch?v=HuuIhj52gTQ
18,Nursing,EBP Essentials,,12th,English/Hindi,Module 6: Evidence-Based Practice Fundamentals,What Measurement Tools Exist for Evidence Based Practice,https://www.youtube.com/watch?v=W4tlEeb-lnk
19,Nursing,EBP Essentials,,12th,English/Hindi,Module 7: Using Data to Improve EBP,How to Engage Nurses in Evidence Based Practice,https://www.youtube.com/watch?v=eDb9dlTf4C0
20,Nursing,EBP Essentials,,12th,English/Hindi,Module 7: Using Data to Improve EBP,An Introduction and Explanation of Magnet,https://www.youtube.com/watch?v=LXqcNL5dXzI
21,Nursing,EBP Essentials,,12th,English/Hindi,Module 8: Engaging Nurses in EBP and Magnet,The UCSF Clinical InQuERI Model Part 1,https://www.youtube.com/watch?v=cS8Rja1PDsg
22,Nursing,EBP Essentials,,12th,English/Hindi,Module 8: Engaging Nurses in EBP and Magnet,The UCSF Clinical InQuERI Model Part 2,https://www.youtube.com/watch?v=GREFR0WMXe4
23,Nursing,EBP Essentials,,12th,English/Hindi,Module 9: The UCSF Clinical InQuERI Model,What are Systematic Reviews and Literature Reviews,https://www.youtube.com/watch?v=vVG9jlE-o2g
24,Nursing,EBP Essentials,,12th,English/Hindi,Module 9: The UCSF Clinical InQuERI Model,Why Does Clinical Inquiry Matter,https://www.youtube.com/watch?v=8PMqfk7AHbg
25,Nursing,EBP Essentials,,12th,English/Hindi,Module 10: Clinical Inquiry and the Joanna Briggs Institute,What is the Joanna Briggs Institute,https://www.youtube.com/watch?v=3TpvCxWzAxs
26,Nursing,EBP Essentials,,12th,English/Hindi,Module 10: Clinical Inquiry and the Joanna Briggs Institute,"The 5 Steps of Evidence-Based Practice, Part 1",https://www.youtube.com/watch?v=jYXYus1EGlE
27,Nursing,EBP Essentials,,12th,English/Hindi,Module 11: The 5 Steps of Evidence-Based Practice,"The 5 Steps of Evidence-Based Practice, Part 2",https://www.youtube.com/watch?v=eCIHnsXxQkQ
28,Nursing,EBP Essentials,,12th,English/Hindi,Module 11: The 5 Steps of Evidence-Based Practice,An Overview of Joanna Briggs Institute Resources,https://www.youtube.com/watch?v=gv2poySF1FE
29,Nursing,EBP Essentials,,12th,English/Hindi,Module 12: Joanna Briggs Institute Resources,Why is Evidence Based Health Care Important,https://www.youtube.com/watch?v=yVmsapS_k50
30,Nursing,EBP Essentials,,12th,English/Hindi,Module 12: Joanna Briggs Institute Resources,The Joanna Briggs Institute and Evidence Based Health Care,https://www.youtube.com/watch?v=JpECytOTEF4
31,Nursing,EBP Essentials,,12th,English/Hindi,Module 13: The Joanna Briggs Institute and Global EBP,The Joanna Briggs Institute Around the Globe: An Evidence Journey,https://www.youtube.com/watch?v=w-VFl9NaWyg
32,Nursing,EBP Essentials,,12th,English/Hindi,Module 13: The Joanna Briggs Institute and Global EBP,Making Evidence Based Health Care Work,https://www.youtube.com/watch?v=YMMrrewoE2Y
33,Nursing,EBP Essentials,,12th,English/Hindi,Module 14: Making Evidence-Based Healthcare Work,Making Evidence Based Health Care Better,https://www.youtube.com/watch?v=4Y4RbeycmZA
34,Nursing,EBP Essentials,,12th,English/Hindi,Module 14: Making Evidence-Based Healthcare Work,7 Library Focused Best Practices for EBP: 1 & 2,https://www.youtube.com/watch?v=lZ_3PZ9mjYk
35,Nursing,EBP Essentials,,12th,English/Hindi,Module 15: Library Best Practices for EBP,7 Library Focused Best Practices for EBP: 3 & 4,https://www.youtube.com/watch?v=JZ92El_1UPM
36,Nursing,EBP Essentials,,12th,English/Hindi,Module 15: Library Best Practices for EBP,"7 Library Focused Best Practices for EBP: 5, 6, & 7",https://www.youtube.com/watch?v=YOtJMpX0WrU
