S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nursing,Fundamentals - Gerontology,5hrs 18min,12th,English/Hindi,Module 1: Introduction to Aging,Psychosocial Changes in the Older Adult: Gerontology - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=UGp8tl265N4
2,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 1: Introduction to Aging,Respiratory and Cardiac Aging Changes: Gerontology - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=Ep3_WAxCaSE
3,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 1: Introduction to Aging,Nervous and Musculoskeletal Aging Changes: Gerontology - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=-2cqDWNsBLc
4,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 1: Introduction to Aging,Endocrine and Gastrointestinal Aging Changes: Gerontology System - Fundamentals | @LevelUpRN,https://www.youtube.com/watch?v=_6G0Nf3X-Yc
5,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 2: Cognitive and Neurological Conditions,Renal and Reproductive Changes in Aging Adults: Gerontology - Fundamentals | @LevelUpRN,https://www.youtube.com/watch?v=NSuQQHn5q1A
6,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 2: Cognitive and Neurological Conditions,Immune & Integumentary Changes in Aging Adults: Gerontology  - Fundamentals of Nursin | @LevelUpRN,https://www.youtube.com/watch?v=kkXgAX6T27M
7,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 2: Cognitive and Neurological Conditions,Sensory Changes in Aging Adults: Gerontology  - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=5egde6FSKps
8,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 3: Medications and Polypharmacy,Communication Best Practices for Aging Adults: Gerontology - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=yEBmU0zAS3o
9,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,Module 3: Medications and Polypharmacy,Parkinson's & Alzheimer's Disease: Gerontology  - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=THvQvftca_s
10,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,"Module 4: Immune, Integumentary, and Renal Changes","The 3 D's: Dementia, Delirium & Depression. Gerontology - Fundamentals of Nursing | @LevelUpRN",https://www.youtube.com/watch?v=-4J2XenZkmg
11,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,"Module 4: Immune, Integumentary, and Renal Changes",Polypharmacy and Beer's List: Gerontology - Fundamentals of Nursing | @LevelUpRN,https://www.youtube.com/watch?v=O55YkESEK88
12,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,"Module 4: Immune, Integumentary, and Renal Changes",Elder Mistreatment: Gerontology - Medical-Surgical | @LevelUpRN,https://www.youtube.com/watch?v=5yPoq7es0q0
13,Nursing,Fundamentals - Gerontology,,12th,English/Hindi,"Module 4: Immune, Integumentary, and Renal Changes",Fundamentals of Nursing Explainer: Why get Level Up RN Flashcards? | @LevelUpRN,https://www.youtube.com/watch?v=Id0eQe8-0OY
