S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nursing,Nursing Pharmacology,44hrs 20min,12th,English/Hindi,Module 1: Introduction to Pharmacology & Cardiovascular Medications,Beta Blockers Pharmacology Nursing (Mechanism of Action) Selective and Nonselective,https://www.youtube.com/watch?v=r8pHr0YepaA
2,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 1: Introduction to Pharmacology & Cardiovascular Medications,PT/INR vs aPTT (PTT) Nursing Explained NCLEX Lab Values,https://www.youtube.com/watch?v=7sGGlvNeXkk
3,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 1: Introduction to Pharmacology & Cardiovascular Medications,aPTT Blood Test Normal Range Nursing NCLEX Labs Review,https://www.youtube.com/watch?v=uiFicYWMZL0
4,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 1: Introduction to Pharmacology & Cardiovascular Medications,PT/INR Normal Range Nursing Lab Values for NCLEX,https://www.youtube.com/watch?v=kCz5Rde9Gp0
5,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 2: Cardiovascular Medications & Diuretics,Calcium Channel Blockers Mechanism of Action Pharmacology Nursing (Non) Dihydropyridine,https://www.youtube.com/watch?v=PV0OoZ-kS-w
6,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 2: Cardiovascular Medications & Diuretics,Potassium-Sparing Diuretics Pharmacology Nursing (Mechanism of Action) Review,https://www.youtube.com/watch?v=xk81HqQQBqs
7,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 2: Cardiovascular Medications & Diuretics,Thiazide Diuretics Pharmacology Nursing NCLEX Review (Mechanism of Action & Side Effects),https://www.youtube.com/watch?v=xCjcuWEACws
8,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 2: Cardiovascular Medications & Diuretics,Loop Diuretics Pharmacology Nursing (Mechanism of Action) Furosemide,https://www.youtube.com/watch?v=FdBIwinibig
9,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 3: Cardiovascular Medications: RAAS System,ACE Inhibitors vs ARBs Mechanism of Action (RAAS) Nursing NCLEX Pharmacology,https://www.youtube.com/watch?v=IEuAa41-oQw
10,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 3: Cardiovascular Medications: RAAS System,Angiotensin II Receptor Blockers (ARBs) Nursing NCLEX Pharmacology Cardiovascular,https://www.youtube.com/watch?v=3lPgJ3WrX0w
11,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 3: Cardiovascular Medications: RAAS System,Renin Angiotensin Aldosterone System (RAAS) Nursing Mechanism for Blood Pressure,https://www.youtube.com/watch?v=tiirLoa5jK0
12,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 3: Cardiovascular Medications: RAAS System,ACE Inhibitors Pharmacology Nursing (Angiotensin Converting Enzyme Inhibitors),https://www.youtube.com/watch?v=SgnlnYwP5tI
13,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 4: Anticoagulants & Lab Values,Heparin vs Warfarin (Coumadin) Nursing Review Anticoagulant Differences,https://www.youtube.com/watch?v=SUXQnCyTIsU
14,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 4: Anticoagulants & Lab Values,Lab Values Nursing NCLEX Review for Nurses and Nursing Students,https://www.youtube.com/watch?v=Q5Q2SoN28WU
15,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 4: Anticoagulants & Lab Values,"Heparin (Anticoagulant) Nursing NCLEX Review: Pharmacology, Intervention, Patient Teaching",https://www.youtube.com/watch?v=L_9OPbqxbmU
16,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 4: Anticoagulants & Lab Values,Warfarin (Coumadin) Anticoagulant Nursing NCLEX Review Pharmacology,https://www.youtube.com/watch?v=z-lBTjfWico
17,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 5: Cardiac Glycosides & Dosage Calculations,Digoxin Nursing Pharmacology NCLEX (Cardiac Glycosides),https://www.youtube.com/watch?v=S73GT32EE48
18,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 5: Cardiac Glycosides & Dosage Calculations,Dopamine IV Drip Calculation & Nursing Considerations Pharmacology Implications,https://www.youtube.com/watch?v=R2XMro13dD0
19,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 5: Cardiac Glycosides & Dosage Calculations,Heparin Drip Calculation Practice Problems for Nurses | Dosage Calculations Nursing,https://www.youtube.com/watch?v=10y4gRdnCy8
20,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 6: Blood Transfusions & Immunizations,Rh Incompatibility in Pregnancy Nursing NCLEX Management | Rhogam Shot Maternity Review,https://www.youtube.com/watch?v=aHZKG75IuHI
21,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 6: Blood Transfusions & Immunizations,"Blood Transfusion Procedure Nursing | Reaction Types, Complications (Hemolytic/Febrile) NCLEX",https://www.youtube.com/watch?v=v4PHCwvkH24
22,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 6: Blood Transfusions & Immunizations,Pediatric Vaccination Schedule Mnemonic for Immunizations Made Easy (Ages 0-6 years) NCLEX,https://www.youtube.com/watch?v=piO71GcUa1s
23,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 7: Nitroglycerin & Nervous System,Nitroglycerin Medication Nursing Sublingual Tablets & Oral Spray Pharmacology Review & Adminstration,https://www.youtube.com/watch?v=2ddZ67V__RI
24,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 7: Nitroglycerin & Nervous System,"Sympathetic and Parasympathetic Nervous System (Autonomic) Anatomy, Pharmacology Nursing",https://www.youtube.com/watch?v=0reuEEwHwMs
25,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 7: Nitroglycerin & Nervous System,NCLEX Pharmacology Review Practice Question: Osteoporosis and Calcitonin,https://www.youtube.com/watch?v=w5GBWiljMaU
26,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 8: Respiratory Medications & Administration,Metered-Dose Inhaler (MDI) with Spacer Demonstration Nursing,https://www.youtube.com/watch?v=UZ_qmF6zL70
27,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 8: Respiratory Medications & Administration,Metered-Dose Inhaler (MDI) Demonstration Without Spacer Nursing  | Open & Closed Mouth Technique,https://www.youtube.com/watch?v=S7OUiyXzABM
28,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 8: Respiratory Medications & Administration,Pharmacology NCLEX Review Question: Bronchodilators and Corticosteroids Asthma Nursing,https://www.youtube.com/watch?v=6cmYh_bbxI4
29,Nursing,Nursing Pharmacology,,12th,English/Hindi,Module 9: Transdermal Medications & NCLEX Practice,How to Apply & Remove Transdermal Patch (Fentanyl) | Medication Administration for Nursing Students,https://www.youtube.com/watch?v=xgiMdso31nA
