S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nursing,Pediatric Nursing,10hrs 9min,12th,English/Hindi,Module 1: Introduction to Pediatric Nursing,Pediatric Nursing Flashcards: Why get Level Up RN Flashcards? | @LevelUpRN,https://www.youtube.com/watch?v=PN3BA-SmGSE
2,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 1: Introduction to Pediatric Nursing,Introduction to Pediatric Nursing | @LevelUpRN,https://www.youtube.com/watch?v=2AQtMDsE-rw
3,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 1: Introduction to Pediatric Nursing,"Types of Families, Family Theory, Parenting Styles, Piaget and Erikson- Pediatrics | @LevelUpRN",https://www.youtube.com/watch?v=IrTrUPY6TWs
4,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 1: Introduction to Pediatric Nursing,"Safety: Car Seats, Drowning, Burns, Poisoning, and Choking - Pediatric Nursing | @LevelUpRN",https://www.youtube.com/watch?v=CWuF019HS30
5,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 2: Family-Centered Care,Types and Signs of Abuse and Neglect - Pediatric Nursing - Principles | @LevelUpRN,https://www.youtube.com/watch?v=O8yNl_wJ3lE
6,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 2: Family-Centered Care,"Pediatric Assessment, Vital Signs, and Pain - Pediatric Nursing - Principles | @LevelUpRN",https://www.youtube.com/watch?v=TlRyx7UbQsM
7,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 2: Family-Centered Care,"Vaccination Schedule, Contraindications, and Family Teaching - Pediatric Nursing | @LevelUpRN",https://www.youtube.com/watch?v=zNgm5CzdVQM
8,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 3: Pediatric Assessment and Health Promotion,"Informed Consent, Med Admin, Hospitalization, & Concept of Death - Pediatric Nursing | @LevelUpRN",https://www.youtube.com/watch?v=_OC2Dw6jvGY
9,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 3: Pediatric Assessment and Health Promotion,"Infant Growth, Fontanelles, Dentition, and Reflexes - Pediatric Nursing - @LevelUpRN",https://www.youtube.com/watch?v=qcp9gTIio94
10,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 3: Pediatric Assessment and Health Promotion,"Infant Fine/Gross Motor, Social, and Psychosocial Development - Pediatric Nursing | @LevelUpRN",https://www.youtube.com/watch?v=qbrRYCRd2cU
11,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 4: Infant Care,"Infant Parental Guidance: Nutrition, Sleep Safety, Dental Health, Vaccines - Pediatric | @LevelUpRN",https://www.youtube.com/watch?v=jSXHaSd2nzg
12,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 4: Infant Care,Toddlers: Development and Parental Guidance - Pediatric Nursing | @LevelUpRN,https://www.youtube.com/watch?v=BhwGIbgbukI
13,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 4: Infant Care,Preschoolers: Development and Parental Guidance - Pediatric Nursing | @LevelUpRN,https://www.youtube.com/watch?v=yBuwMbRXLeQ
14,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 4: Infant Care,School-Age Children: Development and Parental Guidance - Pediatric Nursing | @LevelUpRN,https://www.youtube.com/watch?v=B3YGOC0Bjlo
15,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 5: Toddler and Preschooler Care,Adolescents: Development and Parental Guidance - Pediatric Nursing | @LevelUpRN,https://www.youtube.com/watch?v=TRizke2WTy4
16,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 5: Toddler and Preschooler Care,"Pediatric Disorders Introduction; Otitis Externa, Otitis Media - Respiratory Disorders | @LevelUpRN",https://www.youtube.com/watch?v=LtirtGVJkVQ
17,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 5: Toddler and Preschooler Care,"Strep Throat, Tonsillitis - Pediatric Nursing - Respiratory Disorders | @LevelUpRN",https://www.youtube.com/watch?v=7MX2gT8ECns
18,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 5: Toddler and Preschooler Care,"Epiglottitis, Croup, Bronchiolitis - Pediatric Nursing - Respiratory Disorders | @LevelUpRN",https://www.youtube.com/watch?v=d-oXzSaz81s
19,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 6: School-Age and Adolescent Care,"Pertussis, Influenza, Pneumonia - Pediatric Nursing - Respiratory Disorders | @LevelUpRN",https://www.youtube.com/watch?v=n2nXY6Nuf9c
20,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 6: School-Age and Adolescent Care,Asthma - Pediatric Nursing - Respiratory Disorders | @LevelUpRN,https://www.youtube.com/watch?v=DWvCPH27JO0
21,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 6: School-Age and Adolescent Care,Cystic Fibrosis - Pediatric Nursing - Respiratory Disorders | @LevelUpRN,https://www.youtube.com/watch?v=GoNuWWAcTXk
22,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 6: School-Age and Adolescent Care,"Apnea of Prematurity, Bronchopulmonary Dysplasia - Respiratory Disorders - Pediatrics | @LevelUpRN",https://www.youtube.com/watch?v=7zf_uuv1ctE
23,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,"Respiratory Distress, BRUE/ALTE, SIDS - Pediatric Nursing - Respiratory Disorders | @LevelUpRN",https://www.youtube.com/watch?v=u4chw8EWZCg
24,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,"Cardiac Catheterization, Congenital Heart Defects (CHD) - Pediatrics - Cardiovascular | @LevelUpRN",https://www.youtube.com/watch?v=ZGTPMC8NYxA
25,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,Congenital Heart Defects - Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN,https://www.youtube.com/watch?v=YJ9Rw4Qysyk
26,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,Congenital Heart Defects - Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN,https://www.youtube.com/watch?v=tQWLsU5ph94
27,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,Heart Failure and Hypoxemia - Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN,https://www.youtube.com/watch?v=xenKhlwOfbE
28,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,"Infective Endocarditis, Rheumatic Fever - Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN",https://www.youtube.com/watch?v=bfrcIM3C1gA
29,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 7: Respiratory Disorders,Kawasaki Disease - Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN,https://www.youtube.com/watch?v=YmDMMf2jG5c
30,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,"Iron Deficient Anemia, Sickle Cell Anemia -Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN",https://www.youtube.com/watch?v=uQRUlfqY4j0
31,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,"Thalassemia, Hemophilia, Epistaxis - Pediatric Nursing - Cardiovascular Disorders | @LevelUpRN",https://www.youtube.com/watch?v=Ymvu4F6BHfE
32,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,"Diagnostics: EEG, Lumbar Puncture, ICP Monitoring - Pediatric Nursing - Nervous System | @LevelUpRN",https://www.youtube.com/watch?v=lOmgD37uL5E
33,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,"Conjunctivitis, Retinopathy of Prematurity - Pediatric Nursing - Nervous System | @LevelUpRN",https://www.youtube.com/watch?v=7HVxZtNmOwU
34,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,Visual and Hearing Impairments - Pediatric Nursing - Nervous System Disorders | @LevelUpRN,https://www.youtube.com/watch?v=qGfa5JAJ5aY
35,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,Seizures - Pediatric Nursing - Nervous System Disorders | @LevelUpRN,https://www.youtube.com/watch?v=evyHJllbhMs
36,Nursing,Pediatric Nursing,,12th,English/Hindi,Module 8: Cardiovascular Disorders,Head Injury - Pediatric Nursing - Nervous System Disorders | @LevelUpRN,https://www.youtube.com/watch?v=PYaNg5Jf_cg
