S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Nursing,Psychiatric Mental Health Nursing,10hrs 16min,12th,English/Hindi,Module 1: Introduction to Psychiatric Mental Health Nursing,Psychiatric Mental Health Nursing Flashcards: Why get Level Up RN Flashcards? | @LevelUpRN,https://www.youtube.com/watch?v=cmtba43FO0Q
2,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 1: Introduction to Psychiatric Mental Health Nursing,"Psychiatric Mental Health Nursing: Introduction, Patient Rights | @LevelUpRN",https://www.youtube.com/watch?v=ZsEyrOWH6Mk
3,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 1: Introduction to Psychiatric Mental Health Nursing,"Informed Consent, Nursing Ethical Principles - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=V2H3qV67wUc
4,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 1: Introduction to Psychiatric Mental Health Nursing,Torts and Restraints - Psychiatric Mental Health Nursing - @LevelUpRN,https://www.youtube.com/watch?v=ETzFRQ4Drvo
5,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,"Module 2: Stress, Crisis, and Coping Mechanisms","Nurse/Client Relationship, Therapeutic Communication -Psychiatric Mental Health Nursing |@LevelUpRN",https://www.youtube.com/watch?v=t_59thyrje8
6,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,"Module 2: Stress, Crisis, and Coping Mechanisms",Mental Status Examination - Psychiatric Mental Health Nursing Principles | @LevelUpRN,https://www.youtube.com/watch?v=92NsfZ6EEuE
7,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,"Module 2: Stress, Crisis, and Coping Mechanisms","Stress and General Adaptation Syndrome, Anxiety - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=s86DDGAqkS4
8,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 3: Suicide and Sexual Assault,"Crises, Loss, and Grief - Psychiatric Mental Health Nursing Principles | @LevelUpRN",https://www.youtube.com/watch?v=HqzuxJl6BNc
9,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 3: Suicide and Sexual Assault,Defense Mechanisms - Psychiatric Mental Health Nursing Principles | @LevelUpRN,https://www.youtube.com/watch?v=jQvkjEjgib0
10,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 3: Suicide and Sexual Assault,"Aggression/Violence, Abuse - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=ZS4RfLXKXWg
11,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 4: Cognitive Behavioral Therapy (CBT) and EMDR,"Abuse: Signs of Abuse, Nursing Care - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=haNsrbIfy2s
12,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 4: Cognitive Behavioral Therapy (CBT) and EMDR,Sexual Assault and Suicidal Patients - Psychiatric Mental Health Nursing | @LevelUpRN,https://www.youtube.com/watch?v=bUnOwEX7A6Y
13,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 4: Cognitive Behavioral Therapy (CBT) and EMDR,"Primary, Secondary, Tertiary Prevention - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=nyq96BuqJ7s
14,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 5: Benzodiazepines and Atypical Anxiolytics,"Relaxation Techniques; Milieu, Group, and Behavioral Therapy | @LevelUpRN",https://www.youtube.com/watch?v=6EAcTjUzhNI
15,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 5: Benzodiazepines and Atypical Anxiolytics,"Psychiatric Therapies: CBT, EMDR, TMS - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=oHRTdJ_bcjw
16,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 5: Benzodiazepines and Atypical Anxiolytics,"Psychiatric Therapies: ECT, VNS - Psychiatric Mental Health Nursing | @LevelUpRN",https://www.youtube.com/watch?v=5_pFfdTpwVc
17,Nursing,Psychiatric Mental Health Nursing,,12th,English/Hindi,Module 6: Bipolar Disorder Medications,Neurotransmitters & Patient Teaching for Psych Meds: Therapies -  Mental Health | @LevelUpRN,https://www.youtube.com/watch?v=eTmQWS6djyc
