"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
5310,"Operations Management","Operations Management And Strategic Management","44hrs 8min","12th","English/Hindi","Module 1: Introduction to Operations Management","#1 Operations Management - Intro| CMA Inter|","https://www.youtube.com/watch?v=r-f3IbUwLp8"
5311,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 1: Introduction to Operations Management","#2 Operations Management - Introduction","https://www.youtube.com/watch?v=0mM90FKKGfM"
5312,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 2: Operations Planning: Capacity and Facility","#3 Operations Planning","https://www.youtube.com/watch?v=FBajRwCBn-w"
5313,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 2: Operations Planning: Capacity and Facility","#4 Operations Planning","https://www.youtube.com/watch?v=wggAdqlPY2Y"
5314,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 2: Operations Planning: Capacity and Facility","#5 Capacity Planning | Operations Planning","https://www.youtube.com/watch?v=VpOYukkKR8Y"
5315,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 2: Operations Planning: Capacity and Facility","#6 Capacity Requirement Planning | Operations Planning","https://www.youtube.com/watch?v=GIeiGOxDMxc"
5316,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 2: Operations Planning: Capacity and Facility","#7 Capacity Requirement Planning |Operations Planning","https://www.youtube.com/watch?v=iivslhsbW1A"
5317,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 2: Operations Planning: Capacity and Facility","#8 Facility Location | Operations Planning","https://www.youtube.com/watch?v=fDd6Dfd-Lqc"
5318,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 3: Operations Planning: Layout and Resources","#9 Facility Layout | Operations Planning","https://www.youtube.com/watch?v=GfeT8M89wc0"
5319,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 3: Operations Planning: Layout and Resources","#10 Layout Choice | Operations Planning","https://www.youtube.com/watch?v=0trAaCUlofE"
5320,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 3: Operations Planning: Layout and Resources","#11 Facility Layout |Operations Planning","https://www.youtube.com/watch?v=IRMiKM_DDuQ"
5321,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 3: Operations Planning: Layout and Resources","#12 Resources Aggregrate Planning | Operations Planning","https://www.youtube.com/watch?v=ypTn8tpfEzs"
5322,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 4: Designing Operational Systems and Control","#13 Operations Planning","https://www.youtube.com/watch?v=6Cq2-dtM40I"
5323,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 4: Designing Operational Systems and Control","#14 Operations Planning","https://www.youtube.com/watch?v=ff7oexpPgyA"
5324,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 5: Production Planning & Control: Fundamentals","#15 Designing Of Operational System And Control","https://www.youtube.com/watch?v=w1ZXa4WuMDY"
5325,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 5: Production Planning & Control: Fundamentals","#16 Designing Of Operational System And Control","https://www.youtube.com/watch?v=qv4T8kaNf4E"
5326,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 5: Production Planning & Control: Fundamentals","#17 Production Planning & Control","https://www.youtube.com/watch?v=vA_8VqpNgb8"
5327,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 5: Production Planning & Control: Fundamentals","#18 Production Planning & Control","https://www.youtube.com/watch?v=W10vOeGf-8o"
5328,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 6: Production Planning & Control: Assignment and Scheduling","#19 Hungarian Method | Assignment Problem | Production Planning & Control","https://www.youtube.com/watch?v=KcaQFoj5P_A"
5329,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 6: Production Planning & Control: Assignment and Scheduling","#20 Hungarian Maximization Method | Assignment Problem | Production Planning and Control","https://www.youtube.com/watch?v=dKQlDZeVzfM"
5330,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 6: Production Planning & Control: Assignment and Scheduling","#21 Scheduling | Production Planning And Control","https://www.youtube.com/watch?v=cNCaeZCH4Gk"
5331,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 6: Production Planning & Control: Assignment and Scheduling","#22 Scheduling | Production Planning And Control","https://www.youtube.com/watch?v=0ysFx-z_gJA"
5332,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 7: Production Planning & Control: Queueing and Simulation","#23 Queueing Models | Production Planning And Control","https://www.youtube.com/watch?v=1iiqWH8lS8E"
5333,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 7: Production Planning & Control: Queueing and Simulation","#24 Queuing Models | Production Planning And Control","https://www.youtube.com/watch?v=aa7Z2n0iDa8"
5334,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 7: Production Planning & Control: Queueing and Simulation","#25 Queueing Models | Production Planning and Control","https://www.youtube.com/watch?v=58ewHXvoQQU"
5335,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 7: Production Planning & Control: Queueing and Simulation","#26 Monte Carlo Method Of Simulation | Production Planning And Control","https://www.youtube.com/watch?v=uYfgzaLDD8I"
5336,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 8: Production Planning & Control: Optimization Techniques","#27 Line Balancing | Production Planning And Control","https://www.youtube.com/watch?v=22F9KH87GVw"
5337,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 8: Production Planning & Control: Optimization Techniques","#28 Lean Operation | Just In Time | Production Planning And Control","https://www.youtube.com/watch?v=ip5aP_6BIHw"
5338,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 8: Production Planning & Control: Optimization Techniques","#29 North West Corner Method | Least Cost Method | Transportation Model","https://www.youtube.com/watch?v=_-4A47H4d1k"
5339,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 8: Production Planning & Control: Optimization Techniques","#30 Vogel's Approximation Method | Production Planning And Control","https://www.youtube.com/watch?v=HPkA8r8sWAc"
5340,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 8: Production Planning & Control: Optimization Techniques","#31 UV Method | Vogel's Approximation Method | Production Planning And Control","https://www.youtube.com/watch?v=Q_zu4yHpxNE"
5341,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 8: Production Planning & Control: Optimization Techniques","#32 U-V Method | Vogel's Approximation Method | Transportation Model | Production Planning & Control","https://www.youtube.com/watch?v=joE0icod8JE"
5342,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 9: Productivity and Quality Management","#33 UV Method | Vogel's Approximation Method | Production Planning And Control","https://www.youtube.com/watch?v=JKKi6vqs5KQ"
5343,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 9: Productivity and Quality Management","#34 Linear Programming Techniques | Production Planning And Control","https://www.youtube.com/watch?v=gNdewLLxhv8"
5344,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 10: Project Management in Operations","#35 Productivity Management And Quality Management","https://www.youtube.com/watch?v=TuppJjvUxU4"
5345,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 10: Project Management in Operations","#36 Productivity Management And Quality Management","https://www.youtube.com/watch?v=GILFuPDIvfY"
5346,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 10: Project Management in Operations","#37 Project Management","https://www.youtube.com/watch?v=f4xD2nQut4Y"
5347,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 10: Project Management in Operations","# 38 Project Management | Operations Management","https://www.youtube.com/watch?v=x5t6bkjsfN4"
5348,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 10: Project Management in Operations","#39 Project Management | Operations Management","https://www.youtube.com/watch?v=5-JhrOeFu2c"
5349,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 11: Economics of Maintenance and Spares Management","#40 Project Management | Operations Management","https://www.youtube.com/watch?v=JDmmwybXyXY"
5350,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 11: Economics of Maintenance and Spares Management","#41 Project Management | Operations Management","https://www.youtube.com/watch?v=XtV-XEfKROs"
5351,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 11: Economics of Maintenance and Spares Management","#42 Economics Of Maintenance And Spares Management","https://www.youtube.com/watch?v=Q32_WbPStXQ"
5352,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 11: Economics of Maintenance and Spares Management","#43 Economics Of Maintenance And Spares Management","https://www.youtube.com/watch?v=FIhelDPyp4g"
5353,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 12: Introduction to Strategic Management","#44A Economics Of Maintenence And Spares Management","https://www.youtube.com/watch?v=ZX7EhFqehV8"
5354,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 12: Introduction to Strategic Management","#44B Economics Of Maintenance And Spares Management","https://www.youtube.com/watch?v=mVyGtnNRgeA"
5355,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 12: Introduction to Strategic Management","#45 Strategic Management Introduction","https://www.youtube.com/watch?v=1_vFLRVPVL8"
5356,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 12: Introduction to Strategic Management","#46 Strategic Management Introductions","https://www.youtube.com/watch?v=9zjQ7YNRWpo"
5357,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 13: Strategic Analysis and Planning","#47 Vision | Mission | Strategic Management - Introduction","https://www.youtube.com/watch?v=4IgbucY2uUM"
5358,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 13: Strategic Analysis and Planning","#48 Strategic Management Introductions","https://www.youtube.com/watch?v=26Sj7JspMjE"
5359,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 13: Strategic Analysis and Planning","#49 Strategic Analysis And Strategic Planning","https://www.youtube.com/watch?v=3G6WvPYT2S8"
5360,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 14: Formulation and Implementation of Strategy","#49B Strategic Management And Strategic Planning","https://www.youtube.com/watch?v=IqjtZu_-pDE"
5361,"Operations Management","Operations Management And Strategic Management","","12th","English/Hindi","Module 14: Formulation and Implementation of Strategy","#49C Strategic Analysis And Strategic Planning","https://www.youtube.com/watch?v=mS4PSIEqjr0"
