Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
5606,Operations Management,Six Sigma Training Videos [2024 Updated],22hrs 11min,12th,English/Hindi,Module 1: Introduction to Six Sigma,Six Sigma In 9 Minutes | What Is Six Sigma? | Six Sigma Explained | Six Sigma Training | Simplilearn,https://www.youtube.com/watch?v=4EDYfSl-fmc
5607,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 1: Introduction to Six Sigma,Lean Six Sigma In 8 Minutes | What Is Lean Six Sigma? | Lean Six Sigma Explained | Simplilearn,https://www.youtube.com/watch?v=s2HCrhNVfak
5608,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 1: Introduction to Six Sigma,Introduction To Six Sigma | What Is Six Sigma? | Introduction To Six Sigma Methodology | Simplilearn,https://www.youtube.com/watch?v=DxNicBRCPi4
5609,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 1: Introduction to Six Sigma,5S Methodology | What Is 5S Methodology? | 5S Methodology Explanation | Simplilearn,https://www.youtube.com/watch?v=UKhGD3UbXH4
5610,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 2: Lean Six Sigma Fundamentals,Six Sigma Green Belt Training Video | Six Sigma Tutorial Videos Part 1,https://www.youtube.com/watch?v=4oJhV0al6HQ
5611,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 2: Lean Six Sigma Fundamentals,Introduction To Lean Six Sigma Training | Simplilearn,https://www.youtube.com/watch?v=BSbUJDI3Gdk
5612,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 2: Lean Six Sigma Fundamentals,Six Sigma Green Belt Training Video | Six Sigma Tutorial Videos Part 2,https://www.youtube.com/watch?v=IenaxY442e4
5613,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 3: Six Sigma Green Belt Essentials,Introduction to Certified Six Sigma Green Belt | What is Six Sigma?,https://www.youtube.com/watch?v=yzlnYJaMGLY
5614,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 3: Six Sigma Green Belt Essentials,Measure Phase In Six Sigma | Six Sigma Training Videos,https://www.youtube.com/watch?v=NgBe3p7WaEs
5615,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 3: Six Sigma Green Belt Essentials,Analyze Phase In Six Sigma | Six Sigma Green Belt Training,https://www.youtube.com/watch?v=cBWfcAty98o
5616,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 4: Implementing Six Sigma,Free Six Sigma Tutorial | Six Sigma Green Belt Training Part 1,https://www.youtube.com/watch?v=fV4wT8pkhAo
5617,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 4: Implementing Six Sigma,Introduction To Lean Six Sigma Green Belt Certification Training | Simplilearn,https://www.youtube.com/watch?v=ea7eBDFCGA8
5618,Operations Management,Six Sigma Training Videos [2024 Updated],,12th,English/Hindi,Module 4: Implementing Six Sigma,Improve Phase In Lean Six Sigma | Six Sigma Training Videos,https://www.youtube.com/watch?v=aN4DZ67Ynrk
