Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
619,Performing Arts,SOUND DESIGN THEORY,0hrs 157min,12th,English/Hindi,Module 1: Sound Design Fundamentals,Sound Design Theory : Introduction,https://www.youtube.com/watch?v=OVdwspf0epY
620,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 1: Sound Design Fundamentals,"[Music Theory in 5m #2] Harmonics and overtones, the basis of sound design (VOSTFR)",https://www.youtube.com/watch?v=Z3dtjAU6RkA
621,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 1: Sound Design Fundamentals,Sound Design Theory: Sound Sources and Oscillators,https://www.youtube.com/watch?v=2i_gZugmTSA
622,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 2: Synthesis and Sound Manipulation,Sound Design Theory: 8 Types of Audio Synthesis,https://www.youtube.com/watch?v=F1RsE4J9k9w
623,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 2: Synthesis and Sound Manipulation,Sound Design Theory: Filters and EQ explained!,https://www.youtube.com/watch?v=46Ep4ecxG2I
624,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 2: Synthesis and Sound Manipulation,Sound Design Theory: LFO & Envelope explained!,https://www.youtube.com/watch?v=UxGswh6XLto
625,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 3: Effects and Processing,Make YOUR OWN audio distortions with waveshapers | Sound Design Theory #6,https://www.youtube.com/watch?v=GKAWnT1WA58
626,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 3: Effects and Processing,"MIDI controllers, Step Sequencers and Arpeggiators - Sound Design Theory",https://www.youtube.com/watch?v=rL44hEnraS8
627,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 3: Effects and Processing,"The many uses of a Compressor: Glue compression, Sidechain, OTT, De-esser... - Sound Design Theory",https://www.youtube.com/watch?v=hJLjV5yDKQQ
628,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 4: Advanced Techniques and Applications,Everything about REVERB explained very FAST - Sound Design Theory,https://www.youtube.com/watch?v=ml5B79roLm0
629,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 4: Advanced Techniques and Applications,10 ways to use DELAY (from most common to most creative) - Sound Design Theory,https://www.youtube.com/watch?v=44zckdanP5o
630,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 4: Advanced Techniques and Applications,"How FLANGER, CHORUS & PHASER process your sound - Sound Design Theory",https://www.youtube.com/watch?v=4vRleMQdZZU
631,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 5: Sound Design in Practice,Bit depth and Sample rate EXPLAINED (Bitcrusher) - Sound Design Theory,https://www.youtube.com/watch?v=SMeikiTh57o
632,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 5: Sound Design in Practice,Vocoder VS Auto-tune VS Talkbox - Sound Design Theory,https://www.youtube.com/watch?v=dli1ACHhgPg
633,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 5: Sound Design in Practice,7 LEVELS TO IMPROVE YOUR SOUND DESIGN SKILLS - Layering with CUBE,https://www.youtube.com/watch?v=6K36RmktCu4
634,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 6: Case Studies and Creative Exploration,MICK GORDON'S SOUND DESIGN METHOD EXPLAINED (Make it your own + Giveaway),https://www.youtube.com/watch?v=pwYCDpb7QwQ
635,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 6: Case Studies and Creative Exploration,How to start ANY dubstep sound design (with cheat sheet) - Sound Design Theory,https://www.youtube.com/watch?v=HRrOM6dhruM
636,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 6: Case Studies and Creative Exploration,Ableton Live Modulation Tricks,https://www.youtube.com/watch?v=K4cwPGbPmAY
637,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 6: Case Studies and Creative Exploration,Distortion: Advanced Techniques - Sound Design Theory (+ free Ableton Racks),https://www.youtube.com/watch?v=GFLyW6ozb8o
638,Performing Arts,SOUND DESIGN THEORY,,12th,English/Hindi,Module 6: Case Studies and Creative Exploration,Synth VS sample for sound design,https://www.youtube.com/watch?v=RoTc3cWLloY
