S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Performing Arts,The (Almost) Complete Guide to Stage Management,3hrs 44min,12th,English/Hindi,Module 1: Introduction to Stage Management,About the Course | The (Almost) Complete Guide to Stage Management #1,https://www.youtube.com/watch?v=KR-strwaBsE
2,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 1: Introduction to Stage Management,"What is a Stage Manager, Anyway? | Half Hour Call #1",https://www.youtube.com/watch?v=hZa_g0bmHg4
3,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 1: Introduction to Stage Management,All About Prep Week | The (Almost) Complete Guide to Stage Management #2,https://www.youtube.com/watch?v=sDxrAa4ydrg
4,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 1: Introduction to Stage Management,Document Design for Stage Managers | The (Almost) Complete Guide to Stage Management #3,https://www.youtube.com/watch?v=wE0VXft9dx4
5,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 2: Pre-Production and Planning,Secret Tips to Formatting Scripts | The (Almost) Complete Guide to Stage Management #4,https://www.youtube.com/watch?v=BC3l5Vh5x_I
6,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 2: Pre-Production and Planning,Production Analysis Like a Pro | The (Almost) Complete Guide to Stage Management #5,https://www.youtube.com/watch?v=7HbnsyCQr5Y
7,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 2: Pre-Production and Planning,Breaking Down Scene Breakdowns | The (Almost) Complete Guide to Stage Management #6,https://www.youtube.com/watch?v=aB6nUD_CDdQ
8,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 2: Pre-Production and Planning,"Daily Calls, Weekly Calls, & Production Calendars | The (Almost) Complete Guide to Stage Management",https://www.youtube.com/watch?v=deLj4zS7ro8
9,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 3: Rehearsals and Blocking,"Call Boards, Communication, & Sign In Sheets | The (Almost) Complete Guide to Stage Management #8",https://www.youtube.com/watch?v=psS-1W-0OJI
10,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 3: Rehearsals and Blocking,How Do Stage Managers Tape Out a Rehearsal Room? |The (Almost) Complete Guide to Stage Management #9,https://www.youtube.com/watch?v=fzisMBdn5f4
11,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 3: Rehearsals and Blocking,Actor Packets & First Rehearsal | The (Almost) Complete Guide to Stage Management #10,https://www.youtube.com/watch?v=erGDfkZFJyc
12,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 3: Rehearsals and Blocking,Running a Rehearsal Room & Being on Book | The (Almost) Complete Guide to Stage Management #11,https://www.youtube.com/watch?v=Pcc_NNCJC7k
13,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 4: Technical Elements and Paperwork,How to Write Rehearsal and Performance Reports | The (Almost) Complete Guide to Stage Management #12,https://www.youtube.com/watch?v=V_5jL5GC5Lk
14,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 4: Technical Elements and Paperwork,How to Take Blocking Notes (Part 1) | The (Almost) Complete Guide to Stage Management #13,https://www.youtube.com/watch?v=7xOuqCJNevU
15,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 4: Technical Elements and Paperwork,How to Take Blocking Notes (Part 2) | The (Almost) Complete Guide to Stage Management #14,https://www.youtube.com/watch?v=AsVbC_lrSAQ
16,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 5: Running the Show and Beyond,How Do Stage Managers Track Props? | The (Almost) Complete Guide to Stage Management #15,https://www.youtube.com/watch?v=LdcBlquAV98
17,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 5: Running the Show and Beyond,Entrance/Exit Breakdowns & Costume Plots | The (Almost) Complete Guide to Stage Management #16,https://www.youtube.com/watch?v=gA7YhmLvHfA
18,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 5: Running the Show and Beyond,How to Make a Run Sheet (aka Shift Plot) | The (Almost) Complete Guide to Stage Management #17,https://www.youtube.com/watch?v=7dJRF0OW2aE
19,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,Tips for a Terrific Technical Rehearsal | The (Almost) Complete Guide to Stage Management #18,https://www.youtube.com/watch?v=54XXJiYa5wk
20,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,How Do Stage Managers Call the Show? (Part 1) | The (Almost) Complete Guide to Stage Management #19,https://www.youtube.com/watch?v=0m8BZebWKbM
21,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,How Do Stage Managers Call the Show? (Part 2) | The (Almost) Complete Guide to Stage Management #20,https://www.youtube.com/watch?v=QX9RkW5Lj4E
22,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,How Do Stage Managers Call the Show? (Part 3) | The (Almost) Complete Guide to Stage Management #21,https://www.youtube.com/watch?v=zWSk5LGgUb4
23,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,Maintaining the Show | The (Almost) Complete Guide to Stage Management #22,https://www.youtube.com/watch?v=K27N0D71qYk
24,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,How Do Stage Managers Build Soft Skills?? | The (Almost) Complete Guide to Stage Management #23,https://www.youtube.com/watch?v=yQ7XG5aT4xE
25,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,Stage Management Resumés | The (Almost) Complete Guide to Stage Management #24,https://www.youtube.com/watch?v=OapeVCb1rKc
26,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,How to Make a Stage Manager Portfolio and Website | The (Almost) Complete Guide to Stage Management,https://www.youtube.com/watch?v=HYWV3KfkJPo
27,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,How to Write a Cover Letter for Stage Managers | The (Almost) Complete Guide to Stage Management #26,https://www.youtube.com/watch?v=jLV-IJnuEXs
28,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,Stage Manager Interview Tips to GET MORE JOBS! | The (Almost) Complete Guide to Stage Management #27,https://www.youtube.com/watch?v=8ydyMhYIDio
29,Performing Arts,The (Almost) Complete Guide to Stage Management,,12th,English/Hindi,Module 6: Career Development,So... Now What?? | Graduation from The (Almost) Complete Guide to Stage Management! #28,https://www.youtube.com/watch?v=785yVTKUbgo
