S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Performing Arts,📺glitchcore/dramaturgy playlist📺,2hrs 20min,12th,English/Hindi,Module 1: Introduction to Glitchcore,Mary || Alex G || (Sped up & pitched/Nightcore),https://www.youtube.com/watch?v=qNr2BWemjMc
2,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 1: Introduction to Glitchcore,alien blues (sped up),https://www.youtube.com/watch?v=MTv7BpP7YTU
3,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 1: Introduction to Glitchcore,Drama club by melanie martinez sped up,https://www.youtube.com/watch?v=-fK-wyd0IrQ
4,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 1: Introduction to Glitchcore,Dramaturgy (English Cover)【JubyPhonic】ドラマツルギー,https://www.youtube.com/watch?v=od8YbI9NJ2E
5,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 2: Exploring Dramaturgy,Mind Brand (English Cover)【JubyPhonic】マインドブランド,https://www.youtube.com/watch?v=ioS-3wCGu-g
6,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 2: Exploring Dramaturgy,【Oliver】 Amygdala's Rag Doll 【Original Song】,https://www.youtube.com/watch?v=P7vRNY7Vsy4
7,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 2: Exploring Dramaturgy,Two Time,https://www.youtube.com/watch?v=HZik4fKw3G0
8,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Oh Klahoma - Jack Stauber,https://www.youtube.com/watch?v=uvXYYFO7h0Q
9,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Cupid,https://www.youtube.com/watch?v=R6cmzbAUTAI
10,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,bo en - by the phone,https://www.youtube.com/watch?v=mbqTGUGkYt8
11,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Temporex - Nice Boys,https://www.youtube.com/watch?v=qA0sjK7ePdc
12,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,something for your m.i.n.d. | slowed,https://www.youtube.com/watch?v=6npc9YkWsgQ
13,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,The Voidz - Leave It In My Dreams (Audio),https://www.youtube.com/watch?v=P1nCVWBTays
14,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Cracker Island - Gorillaz - sped up!,https://www.youtube.com/watch?v=kc_aMnK95NA
15,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,numbers - temporex (sped up),https://www.youtube.com/watch?v=bS1m7fKdaE8
16,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Who Is She? - I Monster (Speed Up),https://www.youtube.com/watch?v=UKPCU_co8AM
17,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,I Monster x Who Is She? (8D Audio & Sped Up) by darkvidez,https://www.youtube.com/watch?v=e4D9SscGB3k
18,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Julian Casablancas+The Voidz - Human Sadness (Official Video),https://www.youtube.com/watch?v=SuXlZ5PHK9I
19,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,hai domo - Coa White (Lyrics),https://www.youtube.com/watch?v=WaDX8xbH7YI
20,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,overdose (sped up),https://www.youtube.com/watch?v=6U-RCYAmxzc
21,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,The Voidz - Lazy Boy OFFICIAL LYRICS,https://www.youtube.com/watch?v=OIzOUXAAyZM
22,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,The Voidz - QYURRYUS (Official Video),https://www.youtube.com/watch?v=-NHmwmqB_H0
23,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,The Voidz - Pink Ocean (Official Video),https://www.youtube.com/watch?v=F3qS-9jt9go
24,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Machu Picchu,https://www.youtube.com/watch?v=Xt_F4J4O-xo
25,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,The Strokes - Under Cover of Darkness (Official Video),https://www.youtube.com/watch?v=_l09H-3zzgA
26,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,The Strokes - Taken for a Fool (Official Video),https://www.youtube.com/watch?v=0U_jGVEKr9s
27,Performing Arts,📺glitchcore/dramaturgy playlist📺,,12th,English/Hindi,Module 3: Glitchcore & Dramaturgy: A Fusion,Razorblade,https://www.youtube.com/watch?v=qcZcISJAEb4
