S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Petroleum Engineering,Data Analytics and Geostatistics,61hrs 4min,12th,English/Hindi,Module 1: Introduction to Data Analytics,1a Data Analytics: Data Analytics Concepts,https://www.youtube.com/watch?v=pxckixOlguA
2,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 1: Introduction to Data Analytics,1b Data Analytics: Spatial Sampling,https://www.youtube.com/watch?v=QuVNN5MJM3w
3,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 1: Introduction to Data Analytics,1c Data Analytics: Subsurface Data Types,https://www.youtube.com/watch?v=cnoOZRytULE
4,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 1: Introduction to Data Analytics,2a Data Analytics: Probability,https://www.youtube.com/watch?v=IGPayWv1BBM
5,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 2: Spatial Data Analytics,2b Data Analytics: Frequentist Probability,https://www.youtube.com/watch?v=NSvyljWT4mw
6,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 2: Spatial Data Analytics,2c Data Analytics: Bayesian Probability,https://www.youtube.com/watch?v=Ppwfr8H177M
7,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 2: Spatial Data Analytics,"2d Data Analytics: Joint, Marginal, Conditional Probability",https://www.youtube.com/watch?v=kxjnPVyuuo8
8,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 3: Probability Fundamentals,2e Data Analytics: Bayesian Coin Demo,https://www.youtube.com/watch?v=D1UKZGOYDOg
9,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 3: Probability Fundamentals,03 Data Analytics: Univariate Distributions,https://www.youtube.com/watch?v=TbqaMXdSV4I
10,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 3: Probability Fundamentals,04 Data Analytics: Univariate Statistics,https://www.youtube.com/watch?v=wAcbA2cIqec
11,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 3: Probability Fundamentals,04b Data Analytics Reboot: Statistical Expectation,https://www.youtube.com/watch?v=QVgMt3cPMmM
12,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 3: Probability Fundamentals,05 Data Analytics: Parametric Distributions,https://www.youtube.com/watch?v=U7fGsqCLPHU
13,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 4: Univariate Analysis,05b Data Analytics: Monte Carlo Simulation,https://www.youtube.com/watch?v=Qb8TsSINpnU
14,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 4: Univariate Analysis,05c Data Analytics: Distribution Transform,https://www.youtube.com/watch?v=ZDIpE3OkAIU
15,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 4: Univariate Analysis,06 Data Analytics: Spatial Heterogeneity,https://www.youtube.com/watch?v=PG4fn8NPFGA
16,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 5: Parametric Distributions and Simulation,07 Data Analytics: Confidence Intervals,https://www.youtube.com/watch?v=oaXCcTWcU04
17,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 5: Parametric Distributions and Simulation,07b Data Analytics: Hypothesis Testing,https://www.youtube.com/watch?v=rvt9UM148tQ
18,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 5: Parametric Distributions and Simulation,07c Geostatistics Course: Confidence Intervals and Hypothesis Testing in R,https://www.youtube.com/watch?v=KJAgsYrq6r4
19,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 6: Spatial Data Characteristics,07d Data Analytics: Hypothesis Testing Take II,https://www.youtube.com/watch?v=xSFH6A0ZVSQ
20,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 6: Spatial Data Characteristics,07e Python Data Analytics: Hypothesis Testing Interactive,https://www.youtube.com/watch?v=bcb3m3LBtRk
21,Petroleum Engineering,Data Analytics and Geostatistics,,12th,English/Hindi,Module 6: Spatial Data Characteristics,08 Data Analytics: Correlation,https://www.youtube.com/watch?v=wZwYEDqB4A4
