S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Petroleum Engineering,Drilling Engineering,168hrs 3min,12th,English/Hindi,Module 1: Drilling Rig Fundamentals,"Drilling Rig and Drill String Components, Dr. Ashraf Alshorbagy, Lecture 01/04",https://www.youtube.com/watch?v=-ls3sQ6xgXk
2,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 1: Drilling Rig Fundamentals,"Drilling Rig Components, Dr. Salah Elkatatny",https://www.youtube.com/watch?v=rEE_MTHIEQk
3,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 1: Drilling Rig Fundamentals,"Drilling Rig and Drill String Components, Dr. Ashraf Alshorbagy, Lecture 03/04",https://www.youtube.com/watch?v=1NS8ksauWlA
4,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 1: Drilling Rig Fundamentals,"Drilling Rig and Drill String Components, Dr. Ashraf Alshorbagy, Lecture 02/04",https://www.youtube.com/watch?v=Ju6W19zdr9M
5,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 2: Drilling Fluids and Cementing,Well Control (Principles and Procedures),https://www.youtube.com/watch?v=DowMnQrcKuE
6,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 2: Drilling Fluids and Cementing,"Introduction to Drilling Fluids, Chemist. Marwa Alqutt, Eni Abu Dhabi, UAE",https://www.youtube.com/watch?v=RwkaHIYm21E
7,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 2: Drilling Fluids and Cementing,"Introduction to Well Cementing, Eng. Ahmed Mansour",https://www.youtube.com/watch?v=G44erSJFxdk
8,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 3: Directional Drilling and Well Control,"Introduction to Drilling Fluids, Chemist. Marwa Alqutt",https://www.youtube.com/watch?v=ZnzLJ65SRKc
9,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 3: Directional Drilling and Well Control,"Introduction to Directional Drilling, Eng. Ahmed Osman",https://www.youtube.com/watch?v=pensrhsGNac
10,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 3: Directional Drilling and Well Control,"Drilling Rig and Drill String Components, Dr. Ashraf Alshorbagy, Lecture 04/04",https://www.youtube.com/watch?v=2l-6ExjjXdQ
11,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 4: Bit Technology and Hydraulics,"Bit Selection and Bit Hydraulics, Eng. Mohamed Zaki, Baker Hughes",https://www.youtube.com/watch?v=1sIH8evBJ84
12,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 4: Bit Technology and Hydraulics,"Drilling Rig Components, Dr. Salah Elkatatny",https://www.youtube.com/watch?v=iVO3Pfvzik8
13,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 5: Drilling Kick Tolerance and Mud Logging,"Drilling Kick Tolerance, Steve Vorenkamp",https://www.youtube.com/watch?v=Xnl4V6JNSYk
14,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 5: Drilling Kick Tolerance and Mud Logging,"Introduction to Mud Logging, Dr. Ashraf Alshorbagy",https://www.youtube.com/watch?v=C3YsIxCLDWk
15,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 6: 3D Printing and Open Hole Logging,"3D printing in drilling, exploration, and production, Dr. Susan Nash",https://www.youtube.com/watch?v=5JkaJTngwOs
16,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 6: 3D Printing and Open Hole Logging,Introduction to Open Hole Logging,https://www.youtube.com/watch?v=QD_ZXuMLK58
17,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 7: Cement Evaluation,"Cement Evaluation: The Basics and Beyond, Engineer/ Kirk Harris, Lecture 04/04",https://www.youtube.com/watch?v=b2hfrgZ1zBQ
18,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 7: Cement Evaluation,"Introduction to Oil and Gas Industry, Dr. Moustafa Oraby",https://www.youtube.com/watch?v=5lOn2FAP9yQ
19,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 7: Cement Evaluation,"Well Control (Principles and Procedures), Eng. Hany Metwally",https://www.youtube.com/watch?v=pWzp9S_eZqE
20,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 7: Cement Evaluation,"Introduction to Well Control by Dr. Hussein Emadi, Lecture 01/04",https://www.youtube.com/watch?v=DDoq7mXiHXM
21,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 8: Oil and Gas Industry Overview,Casing while Drilling by Eng. Hany Metwally,https://www.youtube.com/watch?v=a9KK5Ocq_rI
22,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 8: Oil and Gas Industry Overview,Innovation of Managed Pressure Drilling by Eng. Hany Metwally,https://www.youtube.com/watch?v=G2NccVOh0Rg
23,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 9: Well Control Procedures and Technology,"Introduction to Well Control by Dr. Hussein Emadi, Lecture 04/04",https://www.youtube.com/watch?v=tgvNGyIkcO4
24,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 9: Well Control Procedures and Technology,"Introduction to Well Control by Dr. Hussein Emadi, Lecture 02/04",https://www.youtube.com/watch?v=K9KhEZkTkbI
25,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 9: Well Control Procedures and Technology,"Cement Evaluation: The Basics and Beyond, Engineer/ Kirk Harris, Lecture 01/04",https://www.youtube.com/watch?v=6SQmWHijFMM
26,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 9: Well Control Procedures and Technology,"Cement Evaluation: The Basics and Beyond, Engineer/ Kirk Harris, Lecture 02/04",https://www.youtube.com/watch?v=vmTNGncTyo0
27,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 10:  Well Planning and Incident Analysis,"Cement Evaluation: The Basics and Beyond, Engineer/ Kirk Harris, Lecture 03/04",https://www.youtube.com/watch?v=60pls2IcxTw
28,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 10:  Well Planning and Incident Analysis,"Bond Log Basics & Interpretation, Eng. Kirk Harris, ThoroughBond LLC",https://www.youtube.com/watch?v=-PocL_dQY3A
29,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 11: Subsea Engineering and Cased Hole Logging,"Geologic Input to Well Planning With Respect to Well Control Incidents, Kurt D Armbruster",https://www.youtube.com/watch?v=XrclMXUOrZI
30,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 11: Subsea Engineering and Cased Hole Logging,"The Simple Truth of the Macondo Well Blowout, Mr. John Turley, SPE Distinguished Lecturer",https://www.youtube.com/watch?v=hl4zoFBcsW0
31,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 11: Subsea Engineering and Cased Hole Logging,"An introduction to subsea Engineering, Eng. Moustafa Mahmoud",https://www.youtube.com/watch?v=H5gUz5p16aI
32,Petroleum Engineering,Drilling Engineering,,12th,English/Hindi,Module 11: Subsea Engineering and Cased Hole Logging,"Cased Hole Logging, Ms. Maria Vasquez",https://www.youtube.com/watch?v=QHFdP5cCkrM
