S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Petroleum Engineering,Industrial Safety Engineering,20hrs 22min,12th,English/Hindi,Module 1: Introduction to Industrial Safety Engineering,Industrial Safety Engineering by Prof  J Maiti,https://www.youtube.com/watch?v=jFDWlKayrTc
2,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 1: Introduction to Industrial Safety Engineering,Lecture 1: Introduction to Industrial Safety Engineering,https://www.youtube.com/watch?v=v-eltsixu4I
3,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 1: Introduction to Industrial Safety Engineering,Lecture 2: Key concepts and terminologies,https://www.youtube.com/watch?v=USGuag1Jids
4,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 1: Introduction to Industrial Safety Engineering,Lecture 3:Key concepts and terminologies-Safety domain ontology,https://www.youtube.com/watch?v=MQ3xuV98wwM
5,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 2: Safety Engineering & Accident Mechanisms,Lecture 4:Key concepts and terminologies-Risk Assessment & Control,https://www.youtube.com/watch?v=Uf4ipDw21H4
6,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 2: Safety Engineering & Accident Mechanisms,Lecture 5:Safety Engineering & Accident causing mechanisms,https://www.youtube.com/watch?v=91YpCY-1Fy0
7,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 2: Safety Engineering & Accident Mechanisms,Lecture 6: Preliminary Hazard List,https://www.youtube.com/watch?v=Q7TIXaqh3qk
8,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 2: Safety Engineering & Accident Mechanisms,Lecture 7:Preliminary Hazard Analysis,https://www.youtube.com/watch?v=qFFrYKE_c1o
9,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 3: Application of Hazard Identification Techniques,Lecture 8: Hazard and operability study (HAZOP),https://www.youtube.com/watch?v=n1s1UB80JgA
10,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 3: Application of Hazard Identification Techniques,Lecture 10 : Failure Modes and Effects Analysis (FMEA)-Continue,https://www.youtube.com/watch?v=1msifPYh_Mc
11,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 3: Application of Hazard Identification Techniques,Lecture 11: Application of Hazard Identification Techniques,https://www.youtube.com/watch?v=Oa1WOxAx8lY
12,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 3: Application of Hazard Identification Techniques,Lecture 12: FAULT TREE ANALYSIS (FTA)- Construction,https://www.youtube.com/watch?v=ZEShNJX3kcg
13,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 4: EVENT TREE ANALYSIS (ETA),Lecture 13: FAULT TREE ANALYSIS (FTA)- Gate by Gate method,https://www.youtube.com/watch?v=bzG8xGtj29U
14,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 4: EVENT TREE ANALYSIS (ETA),Lecture 14:  FAULT TREE ANALYSIS (FTA)- Cut-set method,https://www.youtube.com/watch?v=jamEeEWUa5s
15,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 4: EVENT TREE ANALYSIS (ETA),Lecture 15: FAULT TREE ANALYSIS (FTA): Importance measures,https://www.youtube.com/watch?v=222dZ6oKPyg
16,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 4: EVENT TREE ANALYSIS (ETA),Lecture 16: EVENT TREE ANALYSIS (ETA),https://www.youtube.com/watch?v=ikbC5_6qTvs
17,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 5: Bow-tie: Identification of Safety Barriers,Lecture 17: BOWTIE TOOL,https://www.youtube.com/watch?v=ffJLn0e0Ixc
18,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 5: Bow-tie: Identification of Safety Barriers,Lecture 18: Bow-tie: Common Cause Cut Sets,https://www.youtube.com/watch?v=Y7JEBfGKAwI
19,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 5: Bow-tie: Identification of Safety Barriers,Lecture 19: Bow-tie: Cut-sets for Accident Scenarios,https://www.youtube.com/watch?v=qj6M6Q-Vqkw
20,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 5: Bow-tie: Identification of Safety Barriers,Lecture 20: Bow-tie: Cut-sets for Accident Scenarios (Cont.),https://www.youtube.com/watch?v=i4L6yRuVf0I
21,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 6: Safety Function Deployment,Lecture 21: Bow-tie: Identification of Safety Barriers,https://www.youtube.com/watch?v=iqXPtvUULKk
22,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 6: Safety Function Deployment,Lecture 22: Risk Assessment,https://www.youtube.com/watch?v=DxZ2rX0AtcM
23,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 6: Safety Function Deployment,Lecture 23: Consequence Assessment,https://www.youtube.com/watch?v=9SjcB7qZnpM
24,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 6: Safety Function Deployment,Lecture 24: Energy Control Model and Hazard Control Hierarchy,https://www.youtube.com/watch?v=uCpAY0FxfEg
25,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 7: Quantification of Basic Events - Distributions,Lecture 25: Safety Function Deployment,https://www.youtube.com/watch?v=j3SKq9TTnW8
26,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 7: Quantification of Basic Events - Distributions,Lecture 26: Ranking of Design Solutions: AHP approach,https://www.youtube.com/watch?v=t6EYTHGlkKQ
27,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 7: Quantification of Basic Events - Distributions,Lecture 27: Quantification of Basic Events for Non-repairable Components,https://www.youtube.com/watch?v=6XP08vvRn_U
28,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 7: Quantification of Basic Events - Distributions,Lecture 28: Quantification of Basic Events - Hazard Rate,https://www.youtube.com/watch?v=RvWxh4Bk0lc
29,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 8: Computation of combined process parameters,Lecture 29: Quantification of Basic Events - Exponential Distribution,https://www.youtube.com/watch?v=CQRk6nNX7iw
30,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 8: Computation of combined process parameters,Lecture 30: Quantification of Basic Events - Weibull Distribution,https://www.youtube.com/watch?v=05bndI0tNbs
31,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 8: Computation of combined process parameters,Lecture 31:Quantification of Basic Events: Failure to Repair Process,https://www.youtube.com/watch?v=IfiM8yxE4L4
32,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 8: Computation of combined process parameters,Lecture 33:Quantification of Basic Events: Failure & Repair Intensities,https://www.youtube.com/watch?v=CSnTMqXm8y0
33,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 9: Systems Safety Quantification: Structure Function,Lecture 34:Computation of combined process parameters: Laplace transform analysis,https://www.youtube.com/watch?v=1pWyLksOpRA
34,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 9: Systems Safety Quantification: Structure Function,Lecture 35: Computation of combined process parameters: Markov Analysis,https://www.youtube.com/watch?v=Tj-00rrQWzI
35,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 9: Systems Safety Quantification: Structure Function,Lecture 32:Quantification of Basic Events: Combined Process,https://www.youtube.com/watch?v=6PvI1-bWK20
36,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,"Module 10: Human Error, Classification and Causes",Lecture 36: Quantification of Systems Safety and Reliability Block Diagram,https://www.youtube.com/watch?v=kbBfJsPGuPw
37,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,"Module 10: Human Error, Classification and Causes",Lecture 37: Systems Safety Quantification: Truth Table Approach,https://www.youtube.com/watch?v=IE16t9AM68g
38,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,"Module 10: Human Error, Classification and Causes",Lecture 38: Systems Safety Quantification: Structure Function,https://www.youtube.com/watch?v=hrmVGnUQLZg
39,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,"Module 10: Human Error, Classification and Causes",Lecture 39: Systems Safety Quantification: Minimal Cut and Minimal Path Representation...,https://www.youtube.com/watch?v=jzN5FW8Knbw
40,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 11: Accident Investigation,Lecture 40: Systems Safety Quantification: Tutorial,https://www.youtube.com/watch?v=Kf8aBXm3GtU
41,Petroleum Engineering,Industrial Safety Engineering,,12th,English/Hindi,Module 11: Accident Investigation,"Lecture 41: Human Error, Classification and Causes",https://www.youtube.com/watch?v=_RU-XjaKWbg
