S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Petroleum Engineering,Natural Gas Engineering,12hrs 15min,12th,English/Hindi,Module 1: Introduction to Natural Gas Engineering,Natural Gas Engineering [Introduction Video],https://www.youtube.com/watch?v=mAc4MKilelA
2,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 1: Introduction to Natural Gas Engineering,Lec 1: Introduction to Natural Gas - I,https://www.youtube.com/watch?v=nrx413rX-3g
3,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 1: Introduction to Natural Gas Engineering,Lec 2: Introduction to Natural Gas - II,https://www.youtube.com/watch?v=ZO3A_Fq-f68
4,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 1: Introduction to Natural Gas Engineering,Lec 3: Introduction to Natural Gas - III,https://www.youtube.com/watch?v=rgCUaQdfeBw
5,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 2: Properties and Reservoir Characteristics,Lec 4: Properties of Natural Gas-I,https://www.youtube.com/watch?v=hiBbtYVQPBU
6,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 2: Properties and Reservoir Characteristics,Lec 5: Properties of Natural Gas-II,https://www.youtube.com/watch?v=zqgIrKdJOYs
7,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 2: Properties and Reservoir Characteristics,Lec 6: Properties of Reservoir,https://www.youtube.com/watch?v=cUK8TXQuzh4
8,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 3: Production and Well Performance,Lec 7: Inflow Performance Relationship (IPR)-I,https://www.youtube.com/watch?v=uhrwY2Dzrek
9,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 3: Production and Well Performance,Lec 8: Inflow Performance Relationship (IPR)-II,https://www.youtube.com/watch?v=-Hfs8XbUKos
10,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 3: Production and Well Performance,Lec 9: Gas Well Testing,https://www.youtube.com/watch?v=bVAPd1hYA3M
11,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 4: Gas Flow and Processing,Lec 10: Wellbore Performance Relationship (WPR),https://www.youtube.com/watch?v=WC1Tnqz7Mek
12,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 4: Gas Flow and Processing,Lec 11: Choke Performance Relationship (CPR),https://www.youtube.com/watch?v=ui7oQHIharU
13,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 4: Gas Flow and Processing,Lec 12: Nodal Analysis,https://www.youtube.com/watch?v=WxVznkp3FGg
14,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 5: Natural Gas Treatment and Processing,Lec 13: Natural Gas Separation - I,https://www.youtube.com/watch?v=qlaRFcvzQKA
15,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 5: Natural Gas Treatment and Processing,Lec 14: Natural Gas Separation - II,https://www.youtube.com/watch?v=9Q08pjFVISs
16,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 5: Natural Gas Treatment and Processing,Lec 15: Dehydration of Natural Gas,https://www.youtube.com/watch?v=5nTkArHe4bY
17,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 5: Natural Gas Treatment and Processing,Lec 16: Sweeting of Natural Gas,https://www.youtube.com/watch?v=9e-0U4q_YJs
18,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,"Module 6: Compression, Measurement, and Transportation",Lec 17: Compressor Design,https://www.youtube.com/watch?v=BecuwC4QDLA
19,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,"Module 6: Compression, Measurement, and Transportation",Lec 18: Measurement of Natural Gas,https://www.youtube.com/watch?v=nabnn1GOp9o
20,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,"Module 6: Compression, Measurement, and Transportation",Lec 19: Transportation of Natural Gas - I,https://www.youtube.com/watch?v=kXkRnCrizc0
21,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 7: Unconventional Gas and Course Conclusion,Lec 20: Transportation of Natural Gas - II,https://www.youtube.com/watch?v=QWAi-N3SMuo
22,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 7: Unconventional Gas and Course Conclusion,Lec 21: Unconventional production of Natural Gas,https://www.youtube.com/watch?v=55g8byjYbPk
23,Petroleum Engineering,Natural Gas Engineering,,12th,English/Hindi,Module 7: Unconventional Gas and Course Conclusion,Lec 22: Review: Concluding Remarks,https://www.youtube.com/watch?v=wsxuv59t7Xo
