S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Petroleum Engineering,SLB Drilling Course,27hrs 18min,12th,English/Hindi,Module 1: Introduction to Drilling Rigs,Rig types and basic drill string components. Part 1,https://www.youtube.com/watch?v=rLxquNIJTUM
2,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 1: Introduction to Drilling Rigs,Oil and Gas - 3D Animation - TopDrives,https://www.youtube.com/watch?v=01f1Ixa3mP0
3,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 2: Blowout Preventers,Blow Out Preventer (BOP),https://www.youtube.com/watch?v=eOK9J0wETYo
4,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 2: Blowout Preventers,Foremost Explorer Series Top Drive Shallow OIl & Gas Rig Animations,https://www.youtube.com/watch?v=dCt3or4oVd8
5,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 3: Directional Drilling,Directional Drilling 3D Animation.avi,https://www.youtube.com/watch?v=raTMsTpD3Pg
6,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 3: Directional Drilling,CCS (Continuous Circulation Drilling System) now available from NOV (National Oilwell Varco).,https://www.youtube.com/watch?v=q32ONVQv8wI
7,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 4: Drilling Fluids and Circulation Systems,Blowout preventer (BOP) animation,https://www.youtube.com/watch?v=CDnRggYcBrs
8,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 4: Drilling Fluids and Circulation Systems,DRILLING - Automatic rig by Varco (RapidRig),https://www.youtube.com/watch?v=0REHQ5Vz9mg
9,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 5: Stuck Pipe Prevention and Mitigation,Stuck Pipe,https://www.youtube.com/watch?v=poIATteJLK0
10,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 5: Stuck Pipe Prevention and Mitigation,petroleum engineers,https://www.youtube.com/watch?v=DxZoFz-A6FY
11,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 6: Drilling Equipment and Components,Drill String Sticking Prevention - Sample,https://www.youtube.com/watch?v=v2jvHD897Ss
12,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 6: Drilling Equipment and Components,Drilling Part 20 : Stabilizer,https://www.youtube.com/watch?v=60GzY_DRrFs
13,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 7: Enhanced Oil Recovery Techniques,Enhance Oil Recovery : Thermal Process,https://www.youtube.com/watch?v=KxwBmnaWjzA
14,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 7: Enhanced Oil Recovery Techniques,Drilling Part 8 : Cementing,https://www.youtube.com/watch?v=jSgi0XKXEMA
15,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 8: Well Cementing,Rig Tongs,https://www.youtube.com/watch?v=VegosJBGDjY
16,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 8: Well Cementing,Drilling Part 9 : Drill Collar-01,https://www.youtube.com/watch?v=K6UTVwa_B4s
17,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 9: Drill Bits and Hydraulics,Drilling Part 4 : Bit Profile,https://www.youtube.com/watch?v=S7a4SYL7qcQ
18,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 9: Drill Bits and Hydraulics,Drilling Part 3 : Bit Hydraulic,https://www.youtube.com/watch?v=I178EdbDV_Y
19,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 10: Offshore Drilling Operations,How a Deep Water Well is Drilled - Drilling 101,https://www.youtube.com/watch?v=Do9dz6ypD7w
20,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 10: Offshore Drilling Operations,Chesapeake Energy horizontal drilling method,https://www.youtube.com/watch?v=fBQCQ6HL2Yw
21,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 11: Hydraulic Fracturing,Fracking Explained with Animation by A2L Consulting,https://www.youtube.com/watch?v=qm7e553S7fg
22,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 11: Hydraulic Fracturing,How a Water Well is Drilled,https://www.youtube.com/watch?v=8K6V450StO4
23,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 12: Water Well Drilling,Schlumberger launches new technologies at Drilling Conference,https://www.youtube.com/watch?v=LIDkbMLcQQQ
24,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 12: Water Well Drilling,Oil Drilling | Oil & Gas Animations,https://www.youtube.com/watch?v=SfazJ6P_g7w
25,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 13: Schlumberger Technology and Interviews,Evolution of the Oil Industry | Documentary on the History of American Oil and Petroleum Industry,https://www.youtube.com/watch?v=29g8yYMgE3c
26,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 13: Schlumberger Technology and Interviews,North American Drilling Corporation: Video tour of drilling rig....,https://www.youtube.com/watch?v=h7GVHPEfpU4
27,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 14: Well Lifecycle and Directional Programs,Schlumberger Interview Questions and Tips,https://www.youtube.com/watch?v=il4qGoh-OAE
28,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 14: Well Lifecycle and Directional Programs,Oil  and Gas  Wells--Start to Finish,https://www.youtube.com/watch?v=0SmSNRTU1Vw
29,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 15: Measurement While Drilling (MWD) and Logging While Drilling (LWD),"Directional Drilling ""DIREC"" program Intro Video",https://www.youtube.com/watch?v=K1Ruj7Dpa6c
30,Petroleum Engineering,SLB Drilling Course,,12th,English/Hindi,Module 15: Measurement While Drilling (MWD) and Logging While Drilling (LWD),MWD and LWD.MPG,https://www.youtube.com/watch?v=-vCElWxJ02s
