S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Pharmacy,Health Economics Course,42hrs 13min,12th,English/Hindi,Module 1: Introduction to Health Economics,Introduction to Health Economics,https://www.youtube.com/watch?v=bI64LljXUkE
2,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 1: Introduction to Health Economics,Health Economics in Economics Systems,https://www.youtube.com/watch?v=-KDI8uieZ1A
3,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 2: Role of Government in Health,Role of Government in Health  Part 0: Introduction,https://www.youtube.com/watch?v=r7aeDAgIRgU
4,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 2: Role of Government in Health,Role of Government in Health Part 1 Welfare Economics,https://www.youtube.com/watch?v=9zv0apiWLzE
5,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 2: Role of Government in Health,Role of Government in Health Part 2 Public Goods,https://www.youtube.com/watch?v=1MTfwdvNP74
6,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 3: Role of Government in Health Part 2 Public Goods,Role of Government in Health Part 3 Solving Public Goods Problems,https://www.youtube.com/watch?v=1kgvIE80DO4
7,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 3: Role of Government in Health Part 2 Public Goods,Demand for Health Insurance Part 1 Purpose of Insurance,https://www.youtube.com/watch?v=zetrHIPbsXQ
8,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 4: Demand for Health Insurance,Demand for  Health Insurance Part 2 Basic Insurance Concepts,https://www.youtube.com/watch?v=KrRUQEjBHvE
9,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 4: Demand for Health Insurance,Demand for Health Insurance Part 3  Moral Hazard,https://www.youtube.com/watch?v=yD1A_CBFcVs
10,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 4: Demand for Health Insurance,Demand for Health Insurance Part 4  The Role of Grouping,https://www.youtube.com/watch?v=CYrXA0EZ1Oo
11,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 5: Demand for Health Insurance Part 3  Moral Hazard,Demand for Health Part 1,https://www.youtube.com/watch?v=-QTVoub8AFY
12,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 5: Demand for Health Insurance Part 3  Moral Hazard,Demand for Health Part 2,https://www.youtube.com/watch?v=GQKWLMEcbU8
13,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 6: Demand for Health,Demand for Health Part 3,https://www.youtube.com/watch?v=Df27_kB_wkA
14,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 6: Demand for Health,Adverse selection Part 1 A Model of Health Insurance,https://www.youtube.com/watch?v=abgWW4HyFCI
15,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 6: Demand for Health,Adverse selection Part 2 Death Spirals,https://www.youtube.com/watch?v=hT3_SJNK16I
16,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 6: Demand for Health,Adverse Selection Part 3 Solutions to Adverse Selection Problems,https://www.youtube.com/watch?v=xcbN0roDnh4
17,Pharmacy,Health Economics Course,,12th,English/Hindi,Module 7: Adverse selection,Capitation and Prospective Payment in Health Care,https://www.youtube.com/watch?v=78IUg0ISGo8
