S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Pharmacy,Medicinal Chemistry,87hrs 8min,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Introduction to Medicinal Chemistry Part-I,https://www.youtube.com/watch?v=UHEXXGiegd0
2,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Intermolecular Binding Forces,https://www.youtube.com/watch?v=bo_c58SS35o
3,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Protein Structure and Function,https://www.youtube.com/watch?v=Khq58yAub7Q
4,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Enzyme Catalysis Part-I,https://www.youtube.com/watch?v=aZE740JWZuQ
5,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 2: Enzyme Catalysis,Introduction to Receptors,https://www.youtube.com/watch?v=upVat4LCX9Y
6,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 2: Enzyme Catalysis,Receptor Types and Functions,https://www.youtube.com/watch?v=ysBUHvE3NYU
7,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 2: Enzyme Catalysis,Enzymes as Drug Targets,https://www.youtube.com/watch?v=K3ig3WKmVAM
8,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 2: Enzyme Catalysis,Enzyme Kinetics and Inhibition,https://www.youtube.com/watch?v=xJnk5tviv28
9,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 3: Enzymes as Drug Targets,"Tutorial 06-Enzyme Kinetics, Various Modes of Inhibition etc.",https://www.youtube.com/watch?v=Iznyuesd3-k
10,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 3: Enzymes as Drug Targets,Receptors as Drug Targets Part-I,https://www.youtube.com/watch?v=n5C-peu54Wk
11,Pharmacy,Medicinal Chemistry,,12th,English/Hindi,Module 3: Enzymes as Drug Targets,"Tutorial 07-Receptor-Drug Interactions, Stereochemistry, Chirality, Nomenclature",https://www.youtube.com/watch?v=7xJDqghtOAI
