S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Pharmacy,Pharmaceutics || B Pharma 1st Semester,36hrs 14min,12th,English/Hindi,Module 1: History of Pharmacy,History Of Pharmacy | History Of Pharmacy In India | Pharmaceutics | B Pharma First Semester,https://www.youtube.com/watch?v=NrO_1ytV5Tk
2,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 1: History of Pharmacy,Pharmacopoeia | Indian Pharmacopoeia | British Pharmacopoeia | Pharmaceutics | B Pharma First Sem,https://www.youtube.com/watch?v=5F_HeyWAs98
3,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 1: History of Pharmacy,B Pharma First Semester Important Questions | AKTU & RGPV Special | All Subjects | 2024,https://www.youtube.com/watch?v=s6pP1_31UeM
4,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 1: History of Pharmacy,Dosage Form | Classification Of Dosage Form | Pharmaceutics | B Pharma First Semester,https://www.youtube.com/watch?v=Sh7VKrNrLcY
5,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 2: Pharmacopoeia,Prescription | Parts Of Prescription | Handling Of Prescription | Pharmaceutics | B Pharma 1st Sem,https://www.youtube.com/watch?v=DGeXC8_flGk
6,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 2: Pharmacopoeia,Posology | Factors Affecting Posology | Pharmaceutics | B Pharm First Semester,https://www.youtube.com/watch?v=HQOGzVSFVLQ
7,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 2: Pharmacopoeia,How To Write Exam Copy Of B Pharmacy | Pharmacy Me Exam Copy Kaise alikhe | B Pharma | Pharmacy,https://www.youtube.com/watch?v=0UadB4DcELk
8,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 2: Pharmacopoeia,Powders | Advantage | Disadvantage | Pharmaceutics | B Pharma First Semester | Unit 2 part 1,https://www.youtube.com/watch?v=O5GWBwowecI
9,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 3: Dosage Form,Classification Of Powders | Powders | Dusting Powders | Pharmaceutics | B Pharma First Semester,https://www.youtube.com/watch?v=IEl74Cm0Kwk
10,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 3: Dosage Form,"Efflorescent , Hygroscopic And Deliquescent Powders | Powders | Pharmaceutics | B Pharma First Sem",https://www.youtube.com/watch?v=4nD50ehoPvo
11,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 3: Dosage Form,Liquid Dosage Form | Excipients Used In Liquid Dosage Form | Pharmaceutics | B Pharma First Semester,https://www.youtube.com/watch?v=L0RseOvFKGY
12,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 3: Dosage Form,Solubility Enhancement Techniques | Liquid Dosage Form | Pharmaceutics | B Pharma First Semester,https://www.youtube.com/watch?v=pUTJYlDOm_o
13,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 4: Posology,Monophasic Liquids | Syrup | Liniments | Gargles | Mouthwash | Lotions | Pharmaceutics | B Pharmacy,https://www.youtube.com/watch?v=GaHVUX6yfok
14,Pharmacy,Pharmaceutics || B Pharma 1st Semester,,12th,English/Hindi,Module 4: Posology,Emulsions | Test For Identification Of Emulsions | Types Of Emulsions | Pharmaceutics | B Pharmacy,https://www.youtube.com/watch?v=ewumpTkYGgM
