S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Pharmacy,Pharmacokinetics,40hrs 14min,12th,English/Hindi,Module 1: Introduction to Pharmacokinetics,"Pharmacokinetics for Students: Absorption, Distribution, Metabolism, and Elimination -Lect 1",https://www.youtube.com/watch?v=CMRZqdrkCZw
2,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 1: Introduction to Pharmacokinetics,Absorption of Drugs - Pharmacokinetics - Pharmacology Lect 2,https://www.youtube.com/watch?v=eya9jR3v7i8
3,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 1: Introduction to Pharmacokinetics,Drug Bioavailability Overview - Pharmacology Lect 3,https://www.youtube.com/watch?v=rv2Rpdi7OHM
4,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 1: Introduction to Pharmacokinetics,Distribution - Pharmacokinetics  - Pharmacology Lect 4,https://www.youtube.com/watch?v=DH2WGUd7MBs
5,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 2: Volume of Distribution and Metabolism,Volume of Distribution - Pharmacology Lect 5,https://www.youtube.com/watch?v=B63sqUfvFQQ
6,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 2: Volume of Distribution and Metabolism,First Pass Metabolism - Pharmacology Lect 6,https://www.youtube.com/watch?v=5AB8WkCbz4k
7,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 2: Volume of Distribution and Metabolism,Phase I Metabolism - Pharmacology Lect 7,https://www.youtube.com/watch?v=GGLddVpVg9M
8,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 2: Volume of Distribution and Metabolism,Phase II Metabolism - Pharmacology Lect 8,https://www.youtube.com/watch?v=iIWAUo05GFE
9,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 3: Elimination Kinetics,First Order & Zero Order Elimination - Pharm Lect 9,https://www.youtube.com/watch?v=XEotDfKhNTw
10,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 3: Elimination Kinetics,Drug Half-life | An Overview - Pharm Lect 10,https://www.youtube.com/watch?v=eTqPsqnbwoc
11,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 3: Elimination Kinetics,First Order Elimination Rate Constant and Half-life | A closer look - Lect 11,https://www.youtube.com/watch?v=De9999Jj-5Q
12,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 3: Elimination Kinetics,Clearance and Rate of Elimination - Pharmacokinetics - Pharmacology Lect 12,https://www.youtube.com/watch?v=csywV3MYHDg
13,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 4: Clearance and Excretion,Renal Excretion of Drugs | Pharmacokinetics Lect 13,https://www.youtube.com/watch?v=8c3gqI6R-Vw
14,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 4: Clearance and Excretion,Steady state concentration and dosage regimens - Lect 15  - Pharmacology,https://www.youtube.com/watch?v=3V6ktRZE7jg
15,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 4: Clearance and Excretion,Enzyme Induction - Pharmacokinetics Lect 16,https://www.youtube.com/watch?v=Dtbkc8F_ff0
16,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 5: Steady State and Drug Interactions,Competitive Inhibition Overview - Pharmacokinetics  Lect 17,https://www.youtube.com/watch?v=iNIxMuHuL3w
17,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 5: Steady State and Drug Interactions,Competitive Inhibition & Statins - Pharmacokinetics Lect 18,https://www.youtube.com/watch?v=Lt1-mjMFniE
18,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 5: Steady State and Drug Interactions,The Asian Flush Part 2 -,https://www.youtube.com/watch?v=PzKA9H_Sm_8
19,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 5: Steady State and Drug Interactions,Pharmacogenomics | Asian Flush Part 1 - pharm lecture 20,https://www.youtube.com/watch?v=3vZxbX5P9TU
20,Pharmacy,Pharmacokinetics,,12th,English/Hindi,Module 5: Steady State and Drug Interactions,Acetaminophen or Tylenol Toxicity - Lect 19 - Pharmacology,https://www.youtube.com/watch?v=F9i8lLRty3o
