Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4968,Pharmacy,Pharmacology,344hrs 11min,12th,English/Hindi,Module 1: Introduction to Pharmacology & Antibiotics,Antibiotics,https://www.youtube.com/watch?v=GGtwJ-SGXTA
4969,Pharmacy,Pharmacology,,12th,English/Hindi,Module 1: Introduction to Pharmacology & Antibiotics,"Antivirals | HIV, Hepatitis, Influenza, Herpes Treatment",https://www.youtube.com/watch?v=gamxKsaLbhs
4970,Pharmacy,Pharmacology,,12th,English/Hindi,Module 2: Antivirals,Antifungals,https://www.youtube.com/watch?v=AOtYDzLUavo
4971,Pharmacy,Pharmacology,,12th,English/Hindi,Module 2: Antivirals,Antimycobacterials | Anti-TB Drugs,https://www.youtube.com/watch?v=4PSTbkFT2Vw
4972,Pharmacy,Pharmacology,,12th,English/Hindi,Module 3: Antifungals & Antimycobacterials,Pharmacokinetics | Drug Absorption,https://www.youtube.com/watch?v=kkUxUBoM-hM
4973,Pharmacy,Pharmacology,,12th,English/Hindi,Module 3: Antifungals & Antimycobacterials,Pharmacokinetics | Drug Metabolism,https://www.youtube.com/watch?v=qvucMHUVZA4
4974,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 4: Pharmacokinetics - Absorption, Metabolism, Distribution",Pharmacokinetics | Drug Distribution,https://www.youtube.com/watch?v=gD9LiXpq0Tk
4975,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 4: Pharmacokinetics - Absorption, Metabolism, Distribution",Pharmacokinetics | Drug Excretion,https://www.youtube.com/watch?v=k04PQiAFJbY
4976,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 4: Pharmacokinetics - Absorption, Metabolism, Distribution",Pharmacokinetics | Drug Clearance,https://www.youtube.com/watch?v=m07ON7VA7VE
4977,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 5: Pharmacokinetics - Excretion, Clearance, Dosage",Pharmacokinetics | Dosage Regimen,https://www.youtube.com/watch?v=mBDMS1kHhcg
4978,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 5: Pharmacokinetics - Excretion, Clearance, Dosage",Pharmacodynamics,https://www.youtube.com/watch?v=JDpg2tdHdq0
4979,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 5: Pharmacokinetics - Excretion, Clearance, Dosage",Autonomic Pharmacology | Cholinergic Agonists,https://www.youtube.com/watch?v=lCJke5YtZZo
4980,Pharmacy,Pharmacology,,12th,English/Hindi,Module 6: Pharmacodynamics & Autonomic Pharmacology - Cholinergic,Autonomic Pharmacology | Muscarinic Antagonists,https://www.youtube.com/watch?v=E7TGcvd_Tak
4981,Pharmacy,Pharmacology,,12th,English/Hindi,Module 6: Pharmacodynamics & Autonomic Pharmacology - Cholinergic,Autonomic Pharmacology | Adrenergic Agonists,https://www.youtube.com/watch?v=cL5KSzAvB64
4982,Pharmacy,Pharmacology,,12th,English/Hindi,Module 7: Autonomic Pharmacology - Muscarinic & Adrenergic,Autonomic Pharmacology | Adrenergic Antagonists,https://www.youtube.com/watch?v=6EmzU3x3_ps
4983,Pharmacy,Pharmacology,,12th,English/Hindi,Module 7: Autonomic Pharmacology - Muscarinic & Adrenergic,Antihypertensive Drugs,https://www.youtube.com/watch?v=u7baG79qefY
4984,Pharmacy,Pharmacology,,12th,English/Hindi,Module 8: Antihypertensive & Antianginal Drugs,Antianginal Drugs,https://www.youtube.com/watch?v=kVGbMnSaI_g
4985,Pharmacy,Pharmacology,,12th,English/Hindi,Module 8: Antihypertensive & Antianginal Drugs,Antiarrhythmic Drugs,https://www.youtube.com/watch?v=VgqbICq8ZZk
4986,Pharmacy,Pharmacology,,12th,English/Hindi,Module 9: Antiarrhythmic & Antithrombotic Agents,"Antiplatelet, Anticoagulant, Thrombolytic Agents",https://www.youtube.com/watch?v=aSRI6BGXX70
4987,Pharmacy,Pharmacology,,12th,English/Hindi,Module 9: Antiarrhythmic & Antithrombotic Agents,Diuretics,https://www.youtube.com/watch?v=1MLUQPS_71A
4988,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 10: Diuretics, Anxiolytics, Hypnotics & Parkinson's Drugs",Anxiolytic & Hypnotic Drugs,https://www.youtube.com/watch?v=b1EgkVczFfo
4989,Pharmacy,Pharmacology,,12th,English/Hindi,"Module 10: Diuretics, Anxiolytics, Hypnotics & Parkinson's Drugs",Parkinson's Disease Drugs,https://www.youtube.com/watch?v=pp_kYg7mcqs
