S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Pharmacy,Principles of Drug Discovery,41hrs 5min,12th,English/Hindi,Module 1: Introduction to Drug Discovery,Important Terminologies used in Drug Discovery - M.Pharm-Pharmacology-Series-1.,https://www.youtube.com/watch?v=8G1RtFLyoSU
2,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 1: Introduction to Drug Discovery,Target Identification in Drug Discovery - M.Pharm-Pharmacology-Series-2,https://www.youtube.com/watch?v=jkmE9QIb0MQ
3,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 1: Introduction to Drug Discovery,Target Validation - Series3,https://www.youtube.com/watch?v=5_HZKSanwJ8
4,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 1: Introduction to Drug Discovery,Lead identification Series4,https://www.youtube.com/watch?v=Ijl-KIGaC9I
5,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 2: Target Identification and Validation,Lead Optimization - Series 5,https://www.youtube.com/watch?v=QqrPdvILXL8
6,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 2: Target Identification and Validation,Economics of drug discovery - Series 6,https://www.youtube.com/watch?v=b5hB0pT0fbc
7,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 2: Target Identification and Validation,Role of Genomics in Target discovery and validation - Series 7,https://www.youtube.com/watch?v=ssh-sJODmpk
8,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 2: Target Identification and Validation,Role of Proteomics in Target discovery and validation - Series 8,https://www.youtube.com/watch?v=X4gehyDoSeY
9,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 3: Target Identification and Validation,Bioinformatics in Target Identification and Validation in Drug Discovery,https://www.youtube.com/watch?v=rKWXLAvSn7k
10,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 3: Target Identification and Validation,Role of DNA and Protein Microarray in Target discovery and validation - Series 10,https://www.youtube.com/watch?v=9_xRVFsmFGg
11,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 3: Target Identification and Validation,Role of Antisense Oligonucleotides in Target discovery and validation - Series 11,https://www.youtube.com/watch?v=QozmHbGweps
12,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 4: Target Identification and Validation,Role of siRNA in Target discovery and validation - Series 12,https://www.youtube.com/watch?v=eZTcKNLeOpk
13,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 4: Target Identification and Validation,Role of Zinc finger proteins in Target discovery and validation - Series 13,https://www.youtube.com/watch?v=fbOjzoZ36Pw
14,Pharmacy,Principles of Drug Discovery,,12th,English/Hindi,Module 4: Target Identification and Validation,Role of Transgenic animals in Target discovery and validation - Series 14,https://www.youtube.com/watch?v=cbpAkMxGhj8
