S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Photography,Musics for Shooting Photo,3hrs 26min,12th,English/Hindi,Module 1: Intro to Music for Photography,Kungs - I FEEL SO BAD (Official Video) ft. Ephemerals,https://www.youtube.com/watch?v=0SVk3adkchY
2,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 1: Intro to Music for Photography,Collin McLoughlin – Titanium (Anton Ishutin Edit) Music video HD,https://www.youtube.com/watch?v=iXV8sUQJaJ0
3,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 1: Intro to Music for Photography,Mark Funk - Still Together,https://www.youtube.com/watch?v=A0rKfswA4DU
4,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 1: Intro to Music for Photography,Galantis - No Money (Official Video),https://www.youtube.com/watch?v=xUVz4nRmxn4
5,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 2: Finding Your Groove,Olly Murs - You Don't Know Love (Official Video),https://www.youtube.com/watch?v=cAU7zsnH3Go
6,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 2: Finding Your Groove,Paris & Simo - Reunite ft. Patrick Moreno & Aloma Steele (Galloway Remix),https://www.youtube.com/watch?v=yGisu3pO6IU
7,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 2: Finding Your Groove,The Chainsmokers - Closer (Lyric) ft. Halsey,https://www.youtube.com/watch?v=PT2_F-1esPk
8,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 2: Finding Your Groove,Hardwell feat. Jay Sean - Thinking About You (Official Music Video),https://www.youtube.com/watch?v=0nZFFEsFJzI
9,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 3: Exploring Genres,Katy Perry - The One That Got Away (Official Music Video),https://www.youtube.com/watch?v=Ahha3Cqe_fk
10,Photography,Musics for Shooting Photo,,12th,English/Hindi,Module 3: Exploring Genres,Calvin Harris - Thinking About You ft. Ayah Marar,https://www.youtube.com/watch?v=cl3b7dDBLpo
