S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Photography,Photography Documentaries,26hrs 40min,12th,English/Hindi,Module 1: Photography Pioneers,The Photographer - 1948,https://www.youtube.com/watch?v=nIRxVsGlipE
2,Photography,Photography Documentaries,,12th,English/Hindi,Module 1: Photography Pioneers,"Ansel Adams, Photographer (1958) narrated by Beaumont Newhall",https://www.youtube.com/watch?v=M-BhJQqHXfQ
3,Photography,Photography Documentaries,,12th,English/Hindi,Module 1: Photography Pioneers,1/2 Albert Watson - What Do Artists Do All Day ?,https://www.youtube.com/watch?v=6FYJydaClRA
4,Photography,Photography Documentaries,,12th,English/Hindi,Module 1: Photography Pioneers,BBC OMNIBUS - DOCUMENTARY - MARIO TESTINO,https://www.youtube.com/watch?v=T9kUljPTpss
5,Photography,Photography Documentaries,,12th,English/Hindi,Module 2: Masters of Photography,Peter Lindbergh — the supermodel photographer | DW Documentary,https://www.youtube.com/watch?v=y-Rsf5fYQ4I
6,Photography,Photography Documentaries,,12th,English/Hindi,Module 2: Masters of Photography,Magnum Photos -The Changing of a Myth,https://www.youtube.com/watch?v=AOHmvL5KeXw
7,Photography,Photography Documentaries,,12th,English/Hindi,Module 2: Masters of Photography,"Art of The Photographer: Your Global Guide to Photography, Travel & Adventure",https://www.youtube.com/watch?v=47FSHij_3zM
8,Photography,Photography Documentaries,,12th,English/Hindi,Module 2: Masters of Photography,National Geographic: The Last Roll of Kodachrome,https://www.youtube.com/watch?v=DUL6MBVKVLI
9,Photography,Photography Documentaries,,12th,English/Hindi,Module 3: The Art of Documentary Photography,"50 Minute Documentary on HENRI CARTIER BRESSON   Pen, Brush & Camera",https://www.youtube.com/watch?v=WsNnJLv1pkk
10,Photography,Photography Documentaries,,12th,English/Hindi,Module 3: The Art of Documentary Photography,Alfred Stieglitz,https://www.youtube.com/watch?v=PNn6H4SEgQc
11,Photography,Photography Documentaries,,12th,English/Hindi,Module 3: The Art of Documentary Photography,Dorothea Lange - An American Odyssey,https://www.youtube.com/watch?v=yrODn0f1z0g
12,Photography,Photography Documentaries,,12th,English/Hindi,Module 3: The Art of Documentary Photography,Ansel Adams BBC Master Photographers (1983),https://www.youtube.com/watch?v=rdCq-1MJmHw
13,Photography,Photography Documentaries,,12th,English/Hindi,Module 4: Fashion and Portrait Photography,Jacques-Henri Lartigue BBC Master Photographers (1983),https://www.youtube.com/watch?v=WWBGRjJNAwg
14,Photography,Photography Documentaries,,12th,English/Hindi,Module 4: Fashion and Portrait Photography,Andre Kertesz BBC Master Photographers (1983),https://www.youtube.com/watch?v=Olc_QLDPUeU
15,Photography,Photography Documentaries,,12th,English/Hindi,Module 4: Fashion and Portrait Photography,Alfred Eisenstaedt BBC Master Photographers (1983),https://www.youtube.com/watch?v=xdfOo4yh6c0
16,Photography,Photography Documentaries,,12th,English/Hindi,Module 4: Fashion and Portrait Photography,Bill Brandt BBC Master Photographers (1983),https://www.youtube.com/watch?v=o3KuY0quBsk
17,Photography,Photography Documentaries,,12th,English/Hindi,Module 5: Exploring Different Genres,Andreas Feininger BBC Master Photographers (1983),https://www.youtube.com/watch?v=23UjjfnlDDc
18,Photography,Photography Documentaries,,12th,English/Hindi,Module 5: Exploring Different Genres,"Fame, Fashion, Photography: Bailey's 70s",https://www.youtube.com/watch?v=S678bcdXsag
19,Photography,Photography Documentaries,,12th,English/Hindi,Module 5: Exploring Different Genres,THE REAL BLOW UP SIXTIES FILM DOCUMENTARY PART1,https://www.youtube.com/watch?v=7FPIaZfQCbY
20,Photography,Photography Documentaries,,12th,English/Hindi,Module 5: Exploring Different Genres,"Masters of photography - Diane Arbus (documentary, 1972)",https://www.youtube.com/watch?v=Q_0sQI90kYI
21,Photography,Photography Documentaries,,12th,English/Hindi,Module 6: Street Photography and Beyond,Joel Meyerowitz 1981 Street Photography,https://www.youtube.com/watch?v=KDSGWy1CU78
22,Photography,Photography Documentaries,,12th,English/Hindi,Module 6: Street Photography and Beyond,"George Eastman ""The Wizard of Photography"" Documentary (Part 1/3)",https://www.youtube.com/watch?v=1i78MPxT0oU
23,Photography,Photography Documentaries,,12th,English/Hindi,Module 6: Street Photography and Beyond,Garry Winogrand,https://www.youtube.com/watch?v=YQhZcKzbM9s
