S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Photography,Starting Your Photography Business,8hrs 40min,12th,English/Hindi,Module 1: Finding Clients & Building Your Brand,How to find your first photography client!,https://www.youtube.com/watch?v=h-lYuJLJMSA
2,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 1: Finding Clients & Building Your Brand,3 Reasons why every photographer needs to use Instagram (effectively),https://www.youtube.com/watch?v=aSP5QCLfyPs
3,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 1: Finding Clients & Building Your Brand,How to Become a Professional Portrait Photographer Course Introduction,https://www.youtube.com/watch?v=sI4j4bTY6yw
4,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 1: Finding Clients & Building Your Brand,The Most Important Tip to Becoming a Better Photographer - Photo Q&A (Photography for beginners),https://www.youtube.com/watch?v=u7XhHgQiWzc
5,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 2: Defining Your Niche and Style,How to find your style in photography,https://www.youtube.com/watch?v=sg3hHTrLG54
6,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 2: Defining Your Niche and Style,Start Making Money With Photography THIS WEEKEND!,https://www.youtube.com/watch?v=TeUbyBVxj-Y
7,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 2: Defining Your Niche and Style,This Style of Photography Pays VERY Well,https://www.youtube.com/watch?v=rZFjJ_iqyxg
8,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 3: Monetization and Business Growth,How I Earn a Living as a Full-Time Travel Photographer,https://www.youtube.com/watch?v=QMrB9aw77pQ
9,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 3: Monetization and Business Growth,The FASTEST way to start a freelance photography business in 2024,https://www.youtube.com/watch?v=X2gm7FyxiTY
10,Photography,Starting Your Photography Business,,12th,English/Hindi,Module 3: Monetization and Business Growth,I MADE IT ON A BILLBOARD IN TIMES SQUARE,https://www.youtube.com/watch?v=j9TxAtjxWXo
