S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),4hrs 9min,12th,English/Hindi,Module 1: The Legendary NTR & ANR,"Lakshmi Nivasam Songs - Dhanamera Annitiki -S.V.Ranga Rao, Anjali Devi",https://www.youtube.com/watch?v=ilyE8jAgjSc
2,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 1: The Legendary NTR & ANR,"Sri Krishna Pandaveeyam || Matthu Vadalara Full Video Song || N.T.R, K.R.Vijaya",https://www.youtube.com/watch?v=MocqMfD7dnI
3,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 1: The Legendary NTR & ANR,Devadasu Movie | O Devada Song | ANR | Savitri | Old Melody Songs - OldSongsTelugu,https://www.youtube.com/watch?v=H32hEUNdQN0
4,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 1: The Legendary NTR & ANR,KODE KARU CHINNAVADA VIDEO SONG | MUNDADUGU | JAGGAIAH | GIRIJA | V9 VIDEOS,https://www.youtube.com/watch?v=oED08iyW7dI
5,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 2: Melodious Duets,Veerabhimanyu Songs - Adigo Navalokam - Kanchana - Sobhan Babu,https://www.youtube.com/watch?v=bl66t46DPlM
6,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 2: Melodious Duets,అమ్మ అన్నది కమ్మని మాట | వీడియో సాంగ్ | బుల్లెమ్మ బుల్లోడు | చలం | విజయలలిత | V9 వీడియోస్,https://www.youtube.com/watch?v=oEbF_ATX8dA
7,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 2: Melodious Duets,"Missamma Movie || Raavoyi Chandamaama Video Song || NTR, ANR, SVR, Savitri, Jamuna",https://www.youtube.com/watch?v=qoMI8OdajYY
8,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 2: Melodious Duets,"Brindaavanamadi Andaridi Video Song || Missamma Movie || NTR, ANR, SVR, Savitri, Jamuna",https://www.youtube.com/watch?v=wXhbW3bjoy8
9,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 3: Divine Tunes & Classics,Velugu Needalu - Paadavoyi Bhaaratheeyudaa - Patriotic Song,https://www.youtube.com/watch?v=avBaFtPkuhw
10,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 3: Divine Tunes & Classics,chaduvukunna ammayilu - vokkate hrudayam kosamu,https://www.youtube.com/watch?v=tMtpcTGYK6Y
11,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 3: Divine Tunes & Classics,Sivasankari Sivanandalahari Full Video Song | Jagadekaveeruni Katha | NTR | ETV Cinema,https://www.youtube.com/watch?v=KJShA9RP5LA
12,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 3: Divine Tunes & Classics,"Yevari Kosam video Song || Nartanasala Telugu Movie || NTR, Savitri",https://www.youtube.com/watch?v=tKefi4DPHyI
13,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 4: Evergreen Hits,Dr.Chakravarthy Songs - Manasuna Manasai - ANR - Savitri,https://www.youtube.com/watch?v=W34q8Qp7al4
14,Photography,Telugu BLACK & WHITE Old Songs Playlist(తెలుగు నలుపు & తెలుపు పాటలు),,12th,English/Hindi,Module 4: Evergreen Hits,"Ekaveera Movie Songs | Prati Raatri Vasantha Raatri Video Song | NTR, Kanta Rao",https://www.youtube.com/watch?v=xogZHMi5xKU
