S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physical Education,Health and Physical Education,11hrs 11min,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,"Health Education: Definition, aims and objectives | Health and Physical education",https://www.youtube.com/watch?v=SIRaDbEbRUY
2,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,"Concept of Mind and Healthy Mind, Relation of Healthy Mind and Healthy Body",https://www.youtube.com/watch?v=ZdpEajI9k-s
3,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,Role of teacher in development of health and good hygienic habits | Health and Physical Education,https://www.youtube.com/watch?v=mk005duUfFQ
4,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 1: Introduction to Health and Physical Education,Health and Wellness | Health and Physical Education,https://www.youtube.com/watch?v=b_rB4S_D5dU
5,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 2: School Health and Hygiene,"School Health Program: Health Services, Health Supervision and Health Instruction.",https://www.youtube.com/watch?v=5exhGHSRUEc
6,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 2: School Health and Hygiene,"Hygiene Education: Definition, aims and objectives | Health and Physical Education",https://www.youtube.com/watch?v=5FnjRA6QpPM
7,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 2: School Health and Hygiene,"Health: Concept, definition, dimensions and determinants.",https://www.youtube.com/watch?v=nzj5iM_CwPs
8,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 3: Physical Education: Concepts and Components,"Physical Education: Concept, definition, aims andobjectives",https://www.youtube.com/watch?v=9c5UxdiKdP8
9,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 3: Physical Education: Concepts and Components,Health and Physical Education and its relation with other subjects like science and Languages,https://www.youtube.com/watch?v=dMpcyQRVTAY
10,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 3: Physical Education: Concepts and Components,"Recreation: Meaning, Significance and Recreational Programs in School | Health and Physical edu",https://www.youtube.com/watch?v=YY2AO0S3-v8
11,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 3: Physical Education: Concepts and Components,"Tournaments -Types, inter-house competition, sportsmeet | Health and Physical Education",https://www.youtube.com/watch?v=KQp_IdncE7A
12,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 4: Physical Education in Practice,Concept of Integrated Personality and its Realization through physical Education Program.,https://www.youtube.com/watch?v=pSSPTNqVeKo
13,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 4: Physical Education in Practice,"Physical Education: Concept, definition, aims and objectives",https://www.youtube.com/watch?v=exlkFbku6iM
14,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 4: Physical Education in Practice,"Athletic meet – Meaning, need and importance. Process to organize athletic meet at School level",https://www.youtube.com/watch?v=bnKN-53zu-o
15,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 5: Yoga and Wellness,Importance of Meditation in school | Health and Physical Education,https://www.youtube.com/watch?v=GDU2D5rG-Eg
16,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 5: Yoga and Wellness,"Introduction, Meaning and mis-concepts about Yoga | Yoga and Physical Fitness",https://www.youtube.com/watch?v=WOxGPHm714c
17,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 5: Yoga and Wellness,"Organization and administration: planning, budgeting, fixture(Knock out and league)",https://www.youtube.com/watch?v=cuaKOWlGb0I
18,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 6: Sports and Physical Fitness,"Postures: Importance of Good Posture, Common Postural Defects and Remedial Exercises.",https://www.youtube.com/watch?v=-jSpwsPw_aQ
19,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 6: Sports and Physical Fitness,Sex Education and concerns for HIV/AIDS | health and Physical Education,https://www.youtube.com/watch?v=PqwbvExix68
20,Physical Education,Health and Physical Education,,12th,English/Hindi,Module 6: Sports and Physical Fitness,Rules and Regulations and skills of any one of the Games: Basketball | Health and Physical Education,https://www.youtube.com/watch?v=sZnHOi_wYig
21,Physical Education,Health and Physical Education,,12th,English/Hindi,"Module 7: Health, Nutrition and Disease Prevention","Need, scope and Importance of Physical Education Programs at different school levels",https://www.youtube.com/watch?v=HhRGGbPxFms
22,Physical Education,Health and Physical Education,,12th,English/Hindi,"Module 7: Health, Nutrition and Disease Prevention","Types of Yoga, Ashtang Yoga of Patanjali (Eight stages of Yoga) | Health and Physical Education",https://www.youtube.com/watch?v=Nan6Fyd5ujA
23,Physical Education,Health and Physical Education,,12th,English/Hindi,"Module 7: Health, Nutrition and Disease Prevention",Meaning and Importance of Pranayama and Shudhikriya | Health and Physical Education,https://www.youtube.com/watch?v=zEp9GpyCsXE
24,Physical Education,Health and Physical Education,,12th,English/Hindi,"Module 7: Health, Nutrition and Disease Prevention","Nutrition: Elements of Balanced Diet, Food habits, Functions of Food and Malnutrition",https://www.youtube.com/watch?v=9ckTu7MTWWY
