S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physical Education,Introduction To Sport Management,23hrs 31min,12th,English/Hindi,Module 1: Introduction & History,"KINE 2314 - Sport Managment Fall, 2016: Intro and Syllabus",https://www.youtube.com/watch?v=1XSGguA13aw
2,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 1: Introduction & History,KINE 2314  - Fall 2016: Chapter One Lecture - History of Sport Management,https://www.youtube.com/watch?v=nmWo7IbzHJ4
3,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 1: Introduction & History,KINE 2314 - Fall 2016: Chapter Two Lecture - Management Principles Applied for Sport Management,https://www.youtube.com/watch?v=lx_cIvYYidM
4,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 2: Management and Marketing,KINE 2314 - Fall 2016: Chapter Three Lecture - Marketing Principles Applied to Sport Management,https://www.youtube.com/watch?v=eTb2XXdvQ5A
5,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 2: Management and Marketing,KINE 2413 - Chapter Four Lecture - Finance and Economics in Sport Management,https://www.youtube.com/watch?v=OxYXtfvBGyI
6,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 2: Management and Marketing,KINE 2413 - Chapter Five Lecture - Legal Principles Applied to Sport Managment,https://www.youtube.com/watch?v=Chxr1W09NUI
7,Physical Education,Introduction To Sport Management,,12th,English/Hindi,"Module 3: Finance, Law, and Ethics",KINE 2314 - Fall 2016: Chapter Six Lecture - Ethical Principles Applied to Sport Management,https://www.youtube.com/watch?v=9gE6nwYMqUU
8,Physical Education,Introduction To Sport Management,,12th,English/Hindi,"Module 3: Finance, Law, and Ethics",Facility Management,https://www.youtube.com/watch?v=rJud9ZXhLE4
9,Physical Education,Introduction To Sport Management,,12th,English/Hindi,"Module 4: Facilities, Events, and Sales",KINE 2413 - Chapter 13 Lecture - Event Management,https://www.youtube.com/watch?v=Q9yYggqqO5o
10,Physical Education,Introduction To Sport Management,,12th,English/Hindi,"Module 4: Facilities, Events, and Sales",KINE 2413 - Chapter 14 and 15 Lecture - Sport Sales and Sport Sponsorship,https://www.youtube.com/watch?v=lKj0sr6pqIU
11,Physical Education,Introduction To Sport Management,,12th,English/Hindi,"Module 4: Facilities, Events, and Sales",Intellectual Property,https://www.youtube.com/watch?v=j0sG5Kc8DYo
12,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 5: Intellectual Property and Sports Violence,Intellectual Property Law Lecture,https://www.youtube.com/watch?v=dWRx_pXacc8
13,Physical Education,Introduction To Sport Management,,12th,English/Hindi,Module 5: Intellectual Property and Sports Violence,Sports Violence,https://www.youtube.com/watch?v=8dnE9UiEji8
