S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",28hrs 36min,12th,English/Hindi,Module 1: Introduction to Kinesiology,Chapter 1 Day 1 AnatomicalTerms,https://www.youtube.com/watch?v=RhoPuTY9f_8
2,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 1: Introduction to Kinesiology,"Foundations of Kinesiology Ch 1, Part 2",https://www.youtube.com/watch?v=txsFQletDgY
3,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 1: Introduction to Kinesiology,Foundation of Kinesiology Ch1 Part 3,https://www.youtube.com/watch?v=VV44W-m8Z_c
4,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 1: Introduction to Kinesiology,"Foundations of Kinesiology Chapter 1, Part 4 Joints",https://www.youtube.com/watch?v=n1sKOVzEbVQ
5,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 2: Structural Kinesiology - The Upper Body,Foundations of Kines Chapter 1 Part  5: Movements,https://www.youtube.com/watch?v=EcOhoY0WPac
6,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 2: Structural Kinesiology - The Upper Body,Structural Kinesiology Chapter 2 P1,https://www.youtube.com/watch?v=ngiAo4OY3UE
7,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 2: Structural Kinesiology - The Upper Body,"Structural Kinesiology Chapter 2, P2",https://www.youtube.com/watch?v=FSS1Ki339Dk
8,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 2: Structural Kinesiology - The Upper Body,Structural Kinesiology Ch 2 P4,https://www.youtube.com/watch?v=NkZQyaRfGzM
9,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 3: Structural Kinesiology - The Upper Body,Structural Kinesiology Chapter 2 P5,https://www.youtube.com/watch?v=em_7SD-o-Is
10,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 3: Structural Kinesiology - The Upper Body,Structural Kinesiology Chapter 2 P6,https://www.youtube.com/watch?v=Uyx0V6SBVDk
11,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 3: Structural Kinesiology - The Upper Body,"Structural Kinesiology Ch3, p1",https://www.youtube.com/watch?v=-9ZttwWX3S0
12,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 4: Structural Kinesiology - The Upper Body,"Structural Kinesiology Chapter 3, P2",https://www.youtube.com/watch?v=5Yd6GMbINn8
13,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 4: Structural Kinesiology - The Upper Body,"Structural Kinesiology Chapter 2, P3",https://www.youtube.com/watch?v=hqeVTiusRkI
14,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 4: Structural Kinesiology - The Upper Body,Structural Kinesiology Ch4 P1,https://www.youtube.com/watch?v=VwWOTzhYDzo
15,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 5: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch4 P2,https://www.youtube.com/watch?v=iBt2qFVZPtk
16,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 5: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch 5 The Shoulder P1,https://www.youtube.com/watch?v=xx1RBVfiaes
17,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 5: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch5 The Shoulder P2,https://www.youtube.com/watch?v=Z3LvHI488jA
18,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 6: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch6 The Elbow,https://www.youtube.com/watch?v=1McT23XHbZE
19,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 6: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch 7 The Wrist,https://www.youtube.com/watch?v=dN1Ot6GxeLE
20,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 6: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch 7 The WristHand P2,https://www.youtube.com/watch?v=IEC8byvH2og
21,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 7: Structural Kinesiology - The Lower Body,Structural Kinesiology Ch 8 The Hip and Pelvis P1,https://www.youtube.com/watch?v=1hyVcg-Fxhw
22,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 7: Structural Kinesiology - The Lower Body,Structural Kinesiology Chapter8 The Hip and Pelvis P2,https://www.youtube.com/watch?v=8uIN3ovPe2w
23,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 8: Structural Kinesiology - The Spine,Structural Kinesiology Ch9 The Knee Joint P1,https://www.youtube.com/watch?v=qbBNeiDn1Jw
24,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 8: Structural Kinesiology - The Spine,Structural Kinesiology Ch9 Knee Muscles P2,https://www.youtube.com/watch?v=4LANqoj_yAs
25,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 8: Structural Kinesiology - The Spine,Structural Kinesiology Ch10 The Ankle Joint P1,https://www.youtube.com/watch?v=5CXuaXz7Hg4
26,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 8: Structural Kinesiology - The Spine,Structural Kinesiology Ch10 The Ankle P2,https://www.youtube.com/watch?v=dTIhns-5YDA
27,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 8: Structural Kinesiology - The Spine,Structural Kinesiology Ch11 P1 Spinal Column and Trunk,https://www.youtube.com/watch?v=9Uz-MkwKKhk
28,Physical Education,"Movement Anatomy Lessons, Kinesiology, CSUF",,12th,English/Hindi,Module 8: Structural Kinesiology - The Spine,Structural Kinesiology Ch11 P2 Trunk Spine Muscles,https://www.youtube.com/watch?v=QYUx7qSDNkA
