S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physical Education,Physical Education For All Teaching Exams By Monu Sir,16hrs 51min,12th,English/Hindi,Module 1: Introduction to Physical Education,BPSC TGT Physical Education Classes 2024 | Physical Education Day 3 By Monu Sir,https://www.youtube.com/watch?v=ImGlHiomGqA
2,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 1: Introduction to Physical Education,BPSC TGT Physical Education Classes 2024 | Physical Education Day 2 By Monu Sir,https://www.youtube.com/watch?v=tHgvYU4mFic
3,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 1: Introduction to Physical Education,BPSC TGT Physical Education Classes 2024 | Physical Education Day 1 By Monu Sir,https://www.youtube.com/watch?v=37ar_sW6X_A
4,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 1: Introduction to Physical Education,Chandigarh बिहार शिक्षक भर्ती  TRE 3.0 & 4.0 | Physical Education PGT  History of Physical Education,https://www.youtube.com/watch?v=Xd_eMGwNDeo
5,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 2: Physical Education Crash Course,BPSC TGT Physical Education Crash Course #1 | Anatomy of Physical Education By Monu Sir,https://www.youtube.com/watch?v=mQjWcbD8slI
6,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 2: Physical Education Crash Course,Chandigarh बिहार शिक्षक भर्ती  TRE 3.0 & 4.0 | Physical Education TGT  YOGA,https://www.youtube.com/watch?v=wmo9Iw0st8E
7,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 2: Physical Education Crash Course,BPSC/DSSSB Physical Education Crash Course #23 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=S7Fte9E0iY4
8,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 2: Physical Education Crash Course,BPSC/DSSSB Physical Education Crash Course #22 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=exUPgzEazl0
9,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 3: Physical Education 10 Days Challenge,BPSC/DSSSB Physical Education Crash Course #21 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=epKJcrcpGbw
10,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 3: Physical Education 10 Days Challenge,BPSC/DSSSB Physical Education Crash Course #20 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=I7xjOupLfdE
11,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 3: Physical Education 10 Days Challenge,BPSC/DSSSB Physical Education Crash Course #19 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=oO8jjr_Acu8
12,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 3: Physical Education 10 Days Challenge,BPSC/DSSSB Physical Education Crash Course #18 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=i_RxCqSiz50
13,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 4: Teaching Exams Preparation,BPSC/DSSSB Physical Education Crash Course #17 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=98sw8L9xO8U
14,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 4: Teaching Exams Preparation,BPSC/DSSSB Physical Education Crash Course #16 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=4pW3sTaBxUs
15,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 4: Teaching Exams Preparation,Odisha TGT Physical Education Marathon 2024 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=kl7fG1DH7n8
