S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physical Education,Top 50 sports song,4hrs 40min,12th,English/Hindi,Module 1: Rock Anthems,Guns N' Roses - Welcome To The Jungle,https://www.youtube.com/watch?v=o1tj2zJ2Wvg
2,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 1: Rock Anthems,Survivor - Eye Of The Tiger (Official HD Video),https://www.youtube.com/watch?v=btPJPFnesV4
3,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 1: Rock Anthems,AC/DC - Thunderstruck (Official Video),https://www.youtube.com/watch?v=v2AC41dglnM
4,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 1: Rock Anthems,Queen - We Will Rock You (Official Video),https://www.youtube.com/watch?v=-tJYN-eG1zk
5,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 2: Hip-Hop Hype,Aerosmith - Walk This Way - Toys In The Attic,https://www.youtube.com/watch?v=bKttENbsoyk
6,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 2: Hip-Hop Hype,Tag Team - Whoomp! (There It Is) (Original) [HQ],https://www.youtube.com/watch?v=c8AyVhs3gJU
7,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 2: Hip-Hop Hype,Blur - Song 2 (Official Music Video),https://www.youtube.com/watch?v=SSbBvKaM6sk
8,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 2: Hip-Hop Hype,Kanye West - Stronger,https://www.youtube.com/watch?v=PsO6ZnUZI0g
9,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 3: Stadium Classics,"DJ Khaled ""All I Do Is Win feat. Ludacris, Rick Ross, T-Pain & Snoop Dogg"" (Official Music Video)",https://www.youtube.com/watch?v=GGXzlRoNtHU
10,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 3: Stadium Classics,Wiz Khalifa - Black and Yellow (Steelers Nation Remix) [Official Video],https://www.youtube.com/watch?v=WFIOxWzYDyY
11,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 3: Stadium Classics,Sweet Caroline - Neil Diamond,https://www.youtube.com/watch?v=NsLyI1_R01M
12,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 3: Stadium Classics,Future ft. Drake - Tony Montana (New Song 2011),https://www.youtube.com/watch?v=aPt-zRB5trc
13,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 4: Global Beats,The White Stripes - Seven Nation Army (Official Music Video),https://www.youtube.com/watch?v=0J2QdDbelmY
14,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 4: Global Beats,Techno - The OOOOOO song,https://www.youtube.com/watch?v=IqCwFuHqb0o
15,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 4: Global Beats,Jet - Are You Gonna Be My Girl,https://www.youtube.com/watch?v=tuK6n2Lkza0
16,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 4: Global Beats,Darude - Sandstorm,https://www.youtube.com/watch?v=y6120QOlsfU
17,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 5: European Flair,Kevin Rudolf - Let It Rock ft. Lil Wayne (Official Music Video),https://www.youtube.com/watch?v=u0n4eMGXAyk
18,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 5: European Flair,Zombie Nation- Kernkraft 400,https://www.youtube.com/watch?v=DOcHZjMKBL8
19,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 5: European Flair,Village People - YMCA OFFICIAL Music Video 1978,https://www.youtube.com/watch?v=CS9OO0S5w2k
20,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 5: European Flair,fsu vs fu team entrance,https://www.youtube.com/watch?v=CCAPja6hFPc
21,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 6: Latin Rhythms,Atletico Madrid Goal Song,https://www.youtube.com/watch?v=LJH2e1GQfGk
22,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 6: Latin Rhythms,Bayern Munchen Goal Song (Crowd that Singing).mp3,https://www.youtube.com/watch?v=tfJIJil9ylc
23,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 6: Latin Rhythms,Real Madrid Torhymne/Goal song/Canción de gol 2023/24,https://www.youtube.com/watch?v=kOKDvY3nV9M
24,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 6: Latin Rhythms,"Scarf show by ultrAslan + Galatasaray war chant anthem at Turk Arena ""Cehennem""",https://www.youtube.com/watch?v=ba9KvWY-AGQ
25,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 7: Club Bangers,Panathinaikos fans - horto magiko,https://www.youtube.com/watch?v=u0rMe2Vyb9E
26,Physical Education,Top 50 sports song,,12th,English/Hindi,Module 7: Club Bangers,Nelly Furtado - Forca (Euro 2004 Theme),https://www.youtube.com/watch?v=q58F7k2nLoA
