Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
8284,Physics,Acoustic  greatest hits,10hrs 3min,12th,English/Hindi,Module 1: John Mayer - Free Fallin',John Mayer - Free Fallin' (Live at the Nokia Theatre),https://www.youtube.com/watch?v=20Ov0cDPZy8
8285,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 1: Ed Sheeran - Lego House,Ed Sheeran - Lego House | LIVE,https://www.youtube.com/watch?v=MYTQ2ZSkGfg
8286,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 1: Ed Sheeran - Thinking Out Loud,Ed Sheeran - Thinking Out Loud (x Acoustic Session),https://www.youtube.com/watch?v=f6Cswdm601A
8287,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 1: Travie McCoy: Billionaire ft. Bruno Mars,Travie McCoy: Billionaire ft. Bruno Mars (LIVE ACOUSTIC),https://www.youtube.com/watch?v=qwlK5b4KYfI
8288,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 2: All of Me - John Legend,All of Me - John Legend (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=1iYUQW6RovY
8289,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 2: Stay With Me - Sam Smith,Stay With Me - Sam Smith (Acoustic Cover by Jona Selle),https://www.youtube.com/watch?v=azhj_3Vn0E4
8290,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 2: All of Me - John Legend,All of Me - John Legend (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=1iYUQW6RovY
8291,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 3: Bastille - Pompeii,Bastille - Pompeii - Acoustic [ Live in Paris ],https://www.youtube.com/watch?v=ytie995zY-Q
8292,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 3: Passenger | Let Her Go,Passenger | Let Her Go | Your Take Sessions,https://www.youtube.com/watch?v=xUaqwwq8PXo
8293,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 3: Labrinth - Beneath Your Beautiful,Labrinth - Beneath Your Beautiful - Live Session,https://www.youtube.com/watch?v=6iD7SHWM_Y0
8294,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 4: John Mayer - Daughters,John Mayer - Daughters (Live at the Nokia Theatre),https://www.youtube.com/watch?v=APh3jv7j8sU
8295,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 4: Water Runs Dry - Boyz II Men,Water Runs Dry - Boyz II Men (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=dpUBL6S7Hrw
8296,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 4: Bruno Mars 'The Lazy Song',Bruno Mars 'The Lazy Song' Live Studio Session at Mophonics Studio NY,https://www.youtube.com/watch?v=3FZtN7T5PXM
8297,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 5: Lifehouse - You and Me,Lifehouse - You and Me (Live & Rare Session) High Quality Audio,https://www.youtube.com/watch?v=WjCt1TtDbHw
8298,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 5: Lenny Kravitz (Can't get you off of my mind),Lenny Kravitz (Can't get you off of my mind) (Acustic) {JohnFloyd},https://www.youtube.com/watch?v=2LzFAUavf-4
8299,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 6: Bedouin Soundclash - When The Night Feels My Song,Bedouin Soundclash - When The Night Feels My Song,https://www.youtube.com/watch?v=6zvBD3CsI0M
8300,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 6: Jason Mraz- Prettiest Friend,Jason Mraz- Prettiest Friend,https://www.youtube.com/watch?v=rIZmDHPqGl4
8301,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 7: Dave Grohl - Times Like These,Dave Grohl - Times Like These (Acoustic),https://www.youtube.com/watch?v=2w0JiLKQ3-o
8302,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 7: Chris Cornell - Black Hole Sun,Chris Cornell - Black Hole Sun,https://www.youtube.com/watch?v=ltc5EsuyBh4
8303,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 7: Audioslave - Doesn't Remind Me,Audioslave - Doesn't Remind Me (Acoustic),https://www.youtube.com/watch?v=gSt8gJC692w
8304,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 8: Ed Sheeran - One,Ed Sheeran - One [Official Music Video],https://www.youtube.com/watch?v=Ix9NXVIbm2A
8305,Physics,Acoustic  greatest hits,,12th,English/Hindi,"Module 8: Plain White T's - ""Hey There Delilah""","Plain White T's - ""Hey There Delilah"" (Official Music Video)",https://www.youtube.com/watch?v=EbJtYqBYCV8
8306,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 8: Ed Sheeran - 'Photograph',Ed Sheeran - 'Photograph' (Capital Live Session),https://www.youtube.com/watch?v=SPKBtZHuzKY
