"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
9391,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","0hrs 132min","12th","English/Hindi","Module 1: Chilean Nueva Canción","Quilapayún  - Que La Tortilla Se Vuelva","https://www.youtube.com/watch?v=V64At1vx-2I"
9392,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 1: Chilean Nueva Canción","Quilapayún - Canto a la Pampa","https://www.youtube.com/watch?v=iZz4ZPiLNLA"
9393,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 1: Chilean Nueva Canción","Nuestro Cobre - Quilapayún","https://www.youtube.com/watch?v=YTkAVTOejD0"
9394,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 2: Songs of Struggle and Solidarity","Quilapayún ¿Dónde están?","https://www.youtube.com/watch?v=UyjORq4-JiU"
9395,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 2: Songs of Struggle and Solidarity","Los Vasquez Basta","https://www.youtube.com/watch?v=I-IUYuw7pAk"
9396,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 2: Songs of Struggle and Solidarity","Papakonstantinou & more - Comandante Che Guevara (greek version)","https://www.youtube.com/watch?v=eQlFWidNFWw"
9397,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 3:  The Legacy of Che Guevara","El derecho de vivir en Paz   Victor Jara","https://www.youtube.com/watch?v=vCQrf0SHix8"
9398,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 3:  The Legacy of Che Guevara","los pueblos americanos video violeta parra","https://www.youtube.com/watch?v=oNHceC8jra8"
9399,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 4: Voices of Protest and Revolution","Silvio Rodriguez - America te hablo de Ernesto","https://www.youtube.com/watch?v=YKk9ESjZSNQ"
9400,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 4: Voices of Protest and Revolution","Rebel Diaz- ""Libertad"" (Official Music Video HD)","https://www.youtube.com/watch?v=CSNbzyivba4"
9401,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 5: Chilean Resistance and Remembrance","Manu Chao - Clandestino (Official Video)","https://www.youtube.com/watch?v=rSEUH4KRfN8"
9402,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 5: Chilean Resistance and Remembrance","Quilapayún - General Prats, usted tenía razón","https://www.youtube.com/watch?v=1F5xt9tMURI"
9403,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 6:  Songs of the Sandinista Revolution","Luchar por ti","https://www.youtube.com/watch?v=EBJdtU1ItZ0"
9404,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 6:  Songs of the Sandinista Revolution","Rebel Diaz - Work Like Chavez (OFFICIAL VIDEO)","https://www.youtube.com/watch?v=rKkveMo-2NA"
9405,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 6:  Songs of the Sandinista Revolution","Allá va el General by Luis Enrique Mejia Godoy","https://www.youtube.com/watch?v=ZG8QEJcwBPU"
9406,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 6:  Songs of the Sandinista Revolution","VAMOS HACIENDO LA HISTORIA - PANCASAN","https://www.youtube.com/watch?v=T7ofF0SX1No"
9407,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 7:  The Sandinista Struggle in Song","APUNTES DEL TIO SAM - PANCASAN","https://www.youtube.com/watch?v=F6kahuS6AfQ"
9408,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 7:  The Sandinista Struggle in Song","Grupo Pancasán - General de Hombres Libres","https://www.youtube.com/watch?v=iojjn1Hei9s"
9409,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 7:  The Sandinista Struggle in Song","Grupo Pancasán - Pueblo, Ejército, Unidad","https://www.youtube.com/watch?v=eSDgirmpbjM"
9410,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 8: Tributes and Reflections","La Consigna (FSLN) - Carlos Mejía Godoy","https://www.youtube.com/watch?v=YnLMfo3bdLY"
9411,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 8: Tributes and Reflections","Martires del FSLN - Himno de la unidad sandinista","https://www.youtube.com/watch?v=HYkp_CHyhXY"
9412,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 8: Tributes and Reflections","Carlos Mejía Godoy - El nacimiento","https://www.youtube.com/watch?v=DbbuMq8FhHg"
9413,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 8: Tributes and Reflections","Silvio Rodriguez - Canción Urgente para Nicaragua","https://www.youtube.com/watch?v=Wnho2BQmhmk"
9414,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 9:  Revolutionary Music of El Salvador","Con Farabundo y Romero","https://www.youtube.com/watch?v=hKdQXtdbMxc"
9415,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 9:  Revolutionary Music of El Salvador","Los Torogoces de Morazán_musica revolucionaria del salvador","https://www.youtube.com/watch?v=PrqOVKZPXvQ"
9416,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 9:  Revolutionary Music of El Salvador","Lloviznando Cantos - Fidel Castro en su dia","https://www.youtube.com/watch?v=BRPPGIlUB5E"
9417,"Political Science","Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist","","12th","English/Hindi","Module 9:  Revolutionary Music of El Salvador","A las barricadas (lyrics) , tribute to CNT","https://www.youtube.com/watch?v=wZAgWC9G8WY"
