Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7220,Project Management,Communications Management Knowledge Area - PMP Training,31hrs 0min,12th,English/Hindi,Module 1: Introduction to Communication Management,Communications Management - The Basics,https://www.youtube.com/watch?v=g4rVw4I3C1M
7221,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Communication Management,Methods of Communication,https://www.youtube.com/watch?v=eTiHKLJt8xw
7222,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Methods and Types of Communication,Types of Communication,https://www.youtube.com/watch?v=uvi3NE6fJW8
7223,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Methods and Types of Communication,Aspects of Effective Communication | Nonverbal & Paralingual Communication | Active Listening,https://www.youtube.com/watch?v=Jwu3IHVh-O8
7224,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Effective Communication Techniques,Channels of Communication,https://www.youtube.com/watch?v=u8BAPhThzz0
7225,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Effective Communication Techniques,Plan Communications Management Process,https://www.youtube.com/watch?v=Ul8X9YKSuUc
7226,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Communication Channels and Planning,Manage Communications Process,https://www.youtube.com/watch?v=dwU5d0axFJw
7227,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Managing and Monitoring Communications,Monitor Communications Process,https://www.youtube.com/watch?v=Ex9p0r5MaEo
7228,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Managing and Monitoring Communications,Seven Reports Every Project Manager Needs,https://www.youtube.com/watch?v=KaHuVBSCkCc
7229,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Essential Communication Tools and Theories,Albert Mehrabian's 7-38-55 Rule,https://www.youtube.com/watch?v=vsQ8C7TCDhU
