Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7315,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",7hrs 4min,12th,English/Hindi,Module 1: Introduction to Project Integration Management,PMP Exam INTEGRATION DEEP Process Flows #1,https://www.youtube.com/watch?v=rDAzHnOla3M
7316,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 1: PMP Exam INTEGRATION DEEP Process Flows #1,STOP Worrying about PMBOK - Integration SHORTCUT,https://www.youtube.com/watch?v=LinU6SQyC0o
7317,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 1: STOP Worrying about PMBOK - Integration SHORTCUT,PMBOK PLAIN #2 INTEGRATION Basics (PMP In Plain English),https://www.youtube.com/watch?v=1tfq-5nGpwc
7318,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 1: PMBOK PLAIN #2 INTEGRATION Basics (PMP In Plain English),🔥PMP Exam DEEP Study on Project Management (INTEGRATION) 🔥🔥,https://www.youtube.com/watch?v=JF9n0DLfm2k
7319,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 2: Deep Dive into Integration Management,PROCESS GROUP Pentagon - Integration Basics,https://www.youtube.com/watch?v=Ri0_AKqjxrY
7320,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 2: 🔥PMP Exam DEEP Study on Project Management (INTEGRATION) 🔥🔥,PMP Exam 2021 - AGILE Deep-Thinking in INTEGRATION Management,https://www.youtube.com/watch?v=0Lz_oBSFPFM
7321,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 2: PROCESS GROUP Pentagon - Integration Basics,1.  PMP Journey Integration (1 Minute Summary),https://www.youtube.com/watch?v=BUX_jOVaBsU
7322,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 2: PMP Exam 2021 - AGILE Deep-Thinking in INTEGRATION Management,PMP Project Integration Management (PMBOK 2022 Students),https://www.youtube.com/watch?v=QtzUrJxsnio
7323,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 3:  Integration Management in the PMP Context,PMP: Tackle The BEAST #1: Integration Management Visualization,https://www.youtube.com/watch?v=te-guQt5_FQ
7324,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 3: 1.  PMP Journey Integration (1 Minute Summary),🔥🔥PMP Exam Daily Drill #85 - Project Integration Management PMP - Brain Dump 🔥🔥🔥,https://www.youtube.com/watch?v=4qjzoFe5Vks
7325,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 3: PMP Project Integration Management (PMBOK 2022 Students),🔥🔥 PMP Exam Integration & Scope - PMBOK Guide BRAINDUMP🔥🔥,https://www.youtube.com/watch?v=ztxzGOQ3gjs
7326,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 3: PMP: Tackle The BEAST #1: Integration Management Visualization,PMP Exam Intermediate Integration Questions & Answers,https://www.youtube.com/watch?v=mGbyUDJCBrw
7327,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 4: PMP Exam Preparation: Integration Management,Brief High-Level Integration Summary,https://www.youtube.com/watch?v=EsXLHsY-Cug
7328,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 4: 🔥🔥PMP Exam Daily Drill #85 - Project Integration Management PMP - Brain Dump 🔥🔥🔥,PMP EXAM UNIQUE APPROACH: MASTER INTEGRATION IN THE PHILL'S MATRIX - PMBOK DEPTH,https://www.youtube.com/watch?v=tS4T4fYrVIg
7329,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 4: 🔥🔥 PMP Exam Integration & Scope - PMBOK Guide BRAINDUMP🔥🔥,Resources vs. Integration - Phill's Matrix (PMP Study),https://www.youtube.com/watch?v=hROeMeLj-SI
7330,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 4: PMP Exam Intermediate Integration Questions & Answers,PMP Fast Facts With Phill: Understanding Integration,https://www.youtube.com/watch?v=zxCVf_iq-Tc
7331,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 5: Advanced Concepts in Integration Management,One Minute Summary INTEGRATION,https://www.youtube.com/watch?v=SgtHXn5_oXI
7332,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 5: Brief High-Level Integration Summary,😲 INTEGRATION!!!! PMP Exam Areas of Concentration (Knowledge Areas - PART2),https://www.youtube.com/watch?v=RmQyAecs9Us
7333,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 5: PMP EXAM UNIQUE APPROACH: MASTER INTEGRATION IN THE PHILL'S MATRIX - PMBOK DEPTH,PMP Exam/PMBOK Guide Whacky Mnemonics1: Integration Importance,https://www.youtube.com/watch?v=e6a8x10giWg
7334,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 5: Resources vs. Integration - Phill's Matrix (PMP Study),Project Integration Management for the PMP Exam (PMBOK Guide Chapter 4 Intro),https://www.youtube.com/watch?v=_I6RxUYai2I
7335,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 6: Practical Applications of Integration Management ,👩‍💻PMP Exam Knowledge Area Summary 1 (INTEGRATION MANAGEMENT),https://www.youtube.com/watch?v=SDgMdxQv5Uw
7336,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 6: PMP Fast Facts With Phill: Understanding Integration,INTEGRATION DATAFLOW SUMMARY: PMP EXAM PREP -1,https://www.youtube.com/watch?v=dRVPugMj3uo
7337,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 6: One Minute Summary INTEGRATION,Integration Management in 2 Minutes!,https://www.youtube.com/watch?v=RI1jQyOAFIY
7338,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 6: 😲 INTEGRATION!!!! PMP Exam Areas of Concentration (Knowledge Areas - PART2),Integration Management  Lab,https://www.youtube.com/watch?v=JlAG5EMBBM0
7339,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 7: Case Studies in Integration Management,Project Integration Management Tips and Tricks - 1,https://www.youtube.com/watch?v=CHogZkbGdjc
7340,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 7: PMP Exam/PMBOK Guide Whacky Mnemonics1: Integration Importance,Project Integration Management Tips and Tricks - 2,https://www.youtube.com/watch?v=cR74Pg6ezMY
7341,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,12th,English/Hindi,Module 7: Project Integration Management for the PMP Exam (PMBOK Guide Chapter 4 Intro),PMP Exam Discussion: Integration & Musical Harmony,https://www.youtube.com/watch?v=bO04leAbAx0
