Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
7131,Project Management,Quality Management Knowledge Area - PMP Training,9hrs 15min,12th,English/Hindi,Module 1: Introduction to Quality Management,Difference between Validated or Verified and Accepted Deliverables,https://www.youtube.com/watch?v=S3UI2u2L1EQ
7132,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: What is Quality in Project Management?,"What is the difference between Validate Scope, Control Quality and Close Project or Phase processes?",https://www.youtube.com/watch?v=yqiZhDqKm8g
7133,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,"Module 1: Quality, Grade, Accuracy and Precision",Quality Management - The Basics,https://www.youtube.com/watch?v=EnDqyyKlbok
7134,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Cost of Quality (Cost of Conformance and Non-Conformance),What is Quality in Project Management?,https://www.youtube.com/watch?v=-VQxzyAT0eg
7135,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Quality Management Processes,"Quality, Grade, Accuracy and Precision",https://www.youtube.com/watch?v=5NhScM3jSwk
7136,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Plan Quality Management,Cost of Quality (Cost of Conformance and Non-Conformance),https://www.youtube.com/watch?v=F7Cs4CQLoqg
7137,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Tools and Techniques for Quality Planning,Tools and Techniques used in the Plan Quality Management process,https://www.youtube.com/watch?v=jR9Tt4QY38I
7138,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: The Seven Basic Quality Tools,Fishbone Diagram | Cause and Effect | Ishikawa | Herringbone - Seven Basic Quality Tools,https://www.youtube.com/watch?v=ZwKquRgPyx8
7139,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Fishbone Diagram,Flowcharts - Seven Basic Quality Tools,https://www.youtube.com/watch?v=3TGGyJ7M9cA
7140,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Flowcharts & Control Charts,Control Charts - Seven Basic Quality Tools,https://www.youtube.com/watch?v=n2dkwHpOTf4
7141,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Pareto Charts & Checksheets,Pareto Charts - Seven Basic Quality Tools,https://www.youtube.com/watch?v=-1s7pxDy3K8
7142,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Histogram & Scatter Diagrams,Checksheets - Seven Basic Quality Tools,https://www.youtube.com/watch?v=nyrRxLKULLU
7143,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Manage Quality,Histogram - Seven Basic Quality Tools,https://www.youtube.com/watch?v=vdx8euAVvuY
7144,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Quality Management Plan and Metrics,Scatter Diagrams - Seven Basic Quality Tools,https://www.youtube.com/watch?v=1uzZDQoyiAM
7145,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Manage Quality Process,"Quality Management Plan, Process Improvement Plan, Quality Checklists and Quality Metrics",https://www.youtube.com/watch?v=-uc7jRFuOQQ
7146,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Control Quality,"Manage Quality Process (Inputs, Tools and Techniques, Outputs)",https://www.youtube.com/watch?v=MgH_yZE2E0s
7147,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Control Quality Process,Control Quality Process,https://www.youtube.com/watch?v=IXsyjx10TSc
7148,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Quality Control Measurements,Quality Control Measurements - Outputs of Control Quality Process,https://www.youtube.com/watch?v=Pr64K8JKG2w
7149,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Verified Deliverables and Validated Changes,Verified Deliverables and Validated Changes - Outputs of Control Quality Process,https://www.youtube.com/watch?v=paokhpg3LmM
7150,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Continuous Improvement and Other Concepts,What should you know about Kaizen for the PMP Exam?,https://www.youtube.com/watch?v=SGbtZk8_Ffo
7151,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Kaizen,Plan-Do-Check-Act | The PDCA Cycle,https://www.youtube.com/watch?v=GyA7MIUZTkI
7152,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Plan-Do-Check-Act (PDCA) Cycle,JIT | Just-in-Time Manufacturing | Just-in-Time Production | Toyota Production System (TPS),https://www.youtube.com/watch?v=XcXOp-Y3QhM
7153,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Just-in-Time (JIT) Manufacturing,Six Sigma | 6σ,https://www.youtube.com/watch?v=warg9ZW250k
7154,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Six Sigma,Test Planning in Quality Management,https://www.youtube.com/watch?v=pzk42ATSsf4
7155,Project Management,Quality Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Test Planning and Performance Reviews,Performance Reviews | Root Cause Analysis (RCA) | Inspection | Testing / Product Evaluations,https://www.youtube.com/watch?v=pLChyxJwBuw
