"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7082,"Project Management","Risk Management Knowledge Area - PMP Training","33hrs 23min","12th","English/Hindi","Module 1: Introduction to Risk Management","The Basics of Risk Management","https://www.youtube.com/watch?v=GF0nidJHEsI"
7083,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 1: The Basics of Risk Management","Risk: Themes and Attitudes","https://www.youtube.com/watch?v=2pPD5p_aVBQ"
7084,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 1: Risk: Themes and Attitudes","Plan Risk Management Process","https://www.youtube.com/watch?v=QbE8fDkwz-I"
7085,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 1: Plan Risk Management Process","Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology","https://www.youtube.com/watch?v=K01FCO_7o2w"
7086,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 2: Risk Identification and Analysis","Risk Probability and Impact Assessment","https://www.youtube.com/watch?v=uTKoVa8krRs"
7087,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 2: Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology","Identify Risks Process","https://www.youtube.com/watch?v=a0pAWPrKiGk"
7088,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 2: Risk Probability and Impact Assessment","Risk Register","https://www.youtube.com/watch?v=YArPMPSVbzA"
7089,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 2: Identify Risks Process","Perform Qualitative Risk Analysis Process","https://www.youtube.com/watch?v=omrFMM3NPR4"
7090,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 3: Risk Documentation and Qualitative Analysis","Probability and Impact Matrix","https://www.youtube.com/watch?v=HK4zRmd4wFM"
7091,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 3: Risk Register","Perform Quantitative Risk Analysis Risk Process","https://www.youtube.com/watch?v=clRRVbDYQsM"
7092,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 3: Perform Qualitative Risk Analysis Process","Expected Monetary Value (EMV) Calculation | EMV Example","https://www.youtube.com/watch?v=xzC0kMqIrcQ"
7093,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 3: Probability and Impact Matrix","Plan Risk Responses Process","https://www.youtube.com/watch?v=8tZVKO4xfiw"
7094,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 4: Quantitative Risk Analysis","Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks","https://www.youtube.com/watch?v=lTLdkpcPwGg"
7095,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 4: Perform Quantitative Risk Analysis Risk Process","Implement Risk Responses Process","https://www.youtube.com/watch?v=H0cIYtQqqKw"
7096,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 4: Expected Monetary Value (EMV) Calculation | EMV Example","Monitor Risks Process","https://www.youtube.com/watch?v=0FGPn4BPZsg"
7097,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 5: Risk Response Planning and Implementation","What is a Watchlist in Risk Management?","https://www.youtube.com/watch?v=4nkUhqErB1s"
7098,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 5: Plan Risk Responses Process","Risk Trigger","https://www.youtube.com/watch?v=0VDFgtEYlcs"
7099,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 5: Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks","What are Contingency Reserve and Management Reserve? How are they used in the project?","https://www.youtube.com/watch?v=OMKqYclX9pQ"
7100,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 5: Implement Risk Responses Process","Sensitivity Analysis using Tornado Diagrams","https://www.youtube.com/watch?v=6ojHXG27w-s"
7101,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 6: Risk Monitoring, Control, and Advanced Techniques","Decision Tree Analysis for calculating Expected Monetary Value (EMV) | Decision Tree Example","https://www.youtube.com/watch?v=vmkdHT9VmZg"
7102,"Project Management","Risk Management Knowledge Area - PMP Training","","12th","English/Hindi","Module 6: Monitor Risks Process","Risk Response Strategy - Escalate Risks","https://www.youtube.com/watch?v=eeV1lHivPXk"
