"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
7533,"Project Management","Software Project Management","49hrs 14min","12th","English/Hindi","Module 1: Introduction to Software Project Management","Prerequisites of Software Project Management","https://www.youtube.com/watch?v=QET1yfK49ZE"
7534,"Project Management","Software Project Management","","12th","English/Hindi","Module 1: Prerequisites of Software Project Management","Introduction to Software Project Management","https://www.youtube.com/watch?v=_SNrtFKxVHc"
7535,"Project Management","Software Project Management","","12th","English/Hindi","Module 1: Software Project Vs Other Projects","Software Project Vs Other Projects","https://www.youtube.com/watch?v=cOM_JRipjic"
7536,"Project Management","Software Project Management","","12th","English/Hindi","Module 1: What is Project Manager in SPM","What is Project Manager in SPM","https://www.youtube.com/watch?v=8epycc-3UYU"
7537,"Project Management","Software Project Management","","12th","English/Hindi","Module 2: Introduction to project planning in SPM","Introduction to project planning in SPM (in detail)","https://www.youtube.com/watch?v=zmcU_c-_mMI"
7538,"Project Management","Software Project Management","","12th","English/Hindi","Module 2: Cost Benefit Analysis and Cash Flow Analysis in SPM","Cost Benefit Analysis and Cash Flow Analysis in SPM (software project management) in detail","https://www.youtube.com/watch?v=BbrFrtYePWo"
7539,"Project Management","Software Project Management","","12th","English/Hindi","Module 2: SDLC (Software Development Life Cycle) in SPM","SDLC (Software Development Life Cycle) in SPM","https://www.youtube.com/watch?v=uxOHFSBISpg"
7540,"Project Management","Software Project Management","","12th","English/Hindi","Module 3: Software Project Model","Software Project Model ,All about Waterfall model both Iterative and non-Iterative Approach in SPM","https://www.youtube.com/watch?v=Bc0Wquk2_P4"
7541,"Project Management","Software Project Management","","12th","English/Hindi","Module 3: Waterfall model: Iterative and Non-Iterative Approach","Spiral Model in Software Project Management , All you need to know","https://www.youtube.com/watch?v=A9Pn0i5esSY"
7542,"Project Management","Software Project Management","","12th","English/Hindi","Module 4: Spiral Model in Software Project Management","Prototype Model in Software Project Management in detail","https://www.youtube.com/watch?v=p8l_jURQW7M"
7543,"Project Management","Software Project Management","","12th","English/Hindi","Module 4: Prototype Model in Software Project Management","Introduction about COCOMO (cost constructive model) model Part-1","https://www.youtube.com/watch?v=xv3rebls0kU"
7544,"Project Management","Software Project Management","","12th","English/Hindi","Module 5: Introduction about COCOMO model (Part-1)","Cocomo Model part-2 full concept.","https://www.youtube.com/watch?v=NFs98lq1nc0"
7545,"Project Management","Software Project Management","","12th","English/Hindi","Module 5: Cocomo Model: Full Concept (Part-2)","Objectives of Activity Planning in SPM","https://www.youtube.com/watch?v=F0ISHZv1WTc"
7546,"Project Management","Software Project Management","","12th","English/Hindi","Module 6: Objectives of Activity Planning in SPM","Introduction to Project Scheduling in Software Project management","https://www.youtube.com/watch?v=RZQIWbGXHrs"
7547,"Project Management","Software Project Management","","12th","English/Hindi","Module 6: Introduction to Project Scheduling in Software Project management","CPM (Critical Path Method) in detail Software Project Management Concepts","https://www.youtube.com/watch?v=SHytjq6i8_c"
7548,"Project Management","Software Project Management","","12th","English/Hindi","Module 7: CPM (Critical Path Method) in detail","Program Evaluation and Review Techniques in software Project Management in detail .","https://www.youtube.com/watch?v=FCUTe1hLQlM"
7549,"Project Management","Software Project Management","","12th","English/Hindi","Module 7: Program Evaluation and Review Techniques in detail","Risk Introduction and its types in Software Project Management","https://www.youtube.com/watch?v=djjVTqWhtWk"
7550,"Project Management","Software Project Management","","12th","English/Hindi","Module 8: Introduction to Risk and its types in Software Project Management","Introduction to Risk Management in SPM Part-1","https://www.youtube.com/watch?v=Qa_KMe_-r1E"
7551,"Project Management","Software Project Management","","12th","English/Hindi","Module 8: Introduction to Risk Management in SPM (Part-1)","Risk Identification in Risk Management (software project management) part-2","https://www.youtube.com/watch?v=okvIFzZcJFU"
7552,"Project Management","Software Project Management","","12th","English/Hindi","Module 9: Risk Identification in Risk Management (Part-2)","Introduction to Risk Analysis in Software Project Mangement, Risk Mangement Concept in detail,part-3","https://www.youtube.com/watch?v=HqFRP67RNyI"
7553,"Project Management","Software Project Management","","12th","English/Hindi","Module 9: Introduction to Risk Analysis in Software Project Management (Part-3)","Qualitative Risk Analysis , Risk Analysis part -2","https://www.youtube.com/watch?v=pkNSltF7vrM"
7554,"Project Management","Software Project Management","","12th","English/Hindi","Module 10: Qualitative Risk Analysis","Risk Mitigation and Monitoring in SPM Software project Management","https://www.youtube.com/watch?v=LdeJ9o2FgyY"
7555,"Project Management","Software Project Management","","12th","English/Hindi","Module 10: Risk Mitigation and Monitoring in SPM","Introduction to Testing in Software Project Management","https://www.youtube.com/watch?v=yzZee8Dv4kU"
7556,"Project Management","Software Project Management","","12th","English/Hindi","Module 11: Introduction to Testing in Software Project Management","Unit Testing in Software Project Management","https://www.youtube.com/watch?v=zG-VJ2__2pw"
7557,"Project Management","Software Project Management","","12th","English/Hindi","Module 11: Unit Testing in Software Project Management","Integration Testing in Software project management","https://www.youtube.com/watch?v=1exvFjcRWfQ"
7558,"Project Management","Software Project Management","","12th","English/Hindi","Module 12: Integration Testing in Software project management","Regression Testing in Software Project Management","https://www.youtube.com/watch?v=4llrluzP_3M"
7559,"Project Management","Software Project Management","","12th","English/Hindi","Module 12: Regression Testing in Software Project Management","System Testing in Software Project Management","https://www.youtube.com/watch?v=hCguU5HZh2Y"
7560,"Project Management","Software Project Management","","12th","English/Hindi","Module 13: System Testing in Software Project Management","Stress Testing in Software Project Management","https://www.youtube.com/watch?v=KD4y-yH4DfQ"
7561,"Project Management","Software Project Management","","12th","English/Hindi","Module 13: Stress Testing in Software Project Management","Alpha Testing In Software Project Management","https://www.youtube.com/watch?v=c1XjNNVrHJo"
7562,"Project Management","Software Project Management","","12th","English/Hindi","Module 14: Alpha Testing In Software Project Management","Beta Testing in Software Project Mangement","https://www.youtube.com/watch?v=C8aopgQNt6o"
7563,"Project Management","Software Project Management","","12th","English/Hindi","Module 14: Beta Testing in Software Project Management","Introduction To Black Box Testing","https://www.youtube.com/watch?v=k6Uku2ycG1w"
7564,"Project Management","Software Project Management","","12th","English/Hindi","Module 15: Introduction To Black Box Testing","Graph Based Testing","https://www.youtube.com/watch?v=lvO3rLVdCPk"
7565,"Project Management","Software Project Management","","12th","English/Hindi","Module 15: Graph Based Testing","Equivalance Partitioning Testing in Black Box Testing.","https://www.youtube.com/watch?v=txK86HLDoaA"
7566,"Project Management","Software Project Management","","12th","English/Hindi","Module 16: Equivalance Partitioning Testing in Black Box Testing","Boundary Value Analysis and Orthogonal Array Testing","https://www.youtube.com/watch?v=6ZThjExNKu0"
7567,"Project Management","Software Project Management","","12th","English/Hindi","Module 16: Boundary Value Analysis and Orthogonal Array Testing","Reverse Engineering with Real life example | Software Engineering","https://www.youtube.com/watch?v=VLDg7XHkTck"
