S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Clinical Psychology,20hrs 0min,12th,English/Hindi,Module 1: Introduction to Abnormality & Psychological Disorders,What is Abnormality? | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=vLEGbdctkEU
2,Psychology,Clinical Psychology,,12th,English/Hindi,Module 1: Introduction to Abnormality & Psychological Disorders,Diathesis Stress Model | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=FI4buLU5mkk
3,Psychology,Clinical Psychology,,12th,English/Hindi,Module 1: Introduction to Abnormality & Psychological Disorders,Anxiety Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=ceiqYSQzU4E
4,Psychology,Clinical Psychology,,12th,English/Hindi,Module 1: Introduction to Abnormality & Psychological Disorders,Obsessive Compulsive & Related Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=NmYv2RDsOgk
5,Psychology,Clinical Psychology,,12th,English/Hindi,"Module 2: Anxiety, Trauma, and Dissociative Disorders",Mood Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=sZfCSvgMYIg
6,Psychology,Clinical Psychology,,12th,English/Hindi,"Module 2: Anxiety, Trauma, and Dissociative Disorders",Dissociative Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=FZbxStfe9-c
7,Psychology,Clinical Psychology,,12th,English/Hindi,"Module 2: Anxiety, Trauma, and Dissociative Disorders",Somatoform Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=6NKWK3XpLkI
8,Psychology,Clinical Psychology,,12th,English/Hindi,Module 3: Mood Disorders &  Neurodevelopmental and Eating Disorders,Neurodevelopmental Disorder | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=EcltkQm3U6I
9,Psychology,Clinical Psychology,,12th,English/Hindi,Module 3: Mood Disorders &  Neurodevelopmental and Eating Disorders,Eating Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=i0HmDTa90go
10,Psychology,Clinical Psychology,,12th,English/Hindi,Module 3: Mood Disorders &  Neurodevelopmental and Eating Disorders,Substance Use & Addictive Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=6Gl_b2mOBwc
11,Psychology,Clinical Psychology,,12th,English/Hindi,"Module 4: Substance Abuse, Personality Disorders, and Schizophrenia",Personality Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=zWtTz-iNz4c
12,Psychology,Clinical Psychology,,12th,English/Hindi,"Module 4: Substance Abuse, Personality Disorders, and Schizophrenia",Schizophrenia & Other Psychotic Disorders | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=GlapxaZN53o
13,Psychology,Clinical Psychology,,12th,English/Hindi,"Module 4: Substance Abuse, Personality Disorders, and Schizophrenia",Therapeutic Approaches - Psychodynamic & Behavioural | Clinical Psychology| Mind Review,https://www.youtube.com/watch?v=QfapGbKBsx0
14,Psychology,Clinical Psychology,,12th,English/Hindi,Module 5: Therapeutic Approaches and History,"Therapies - Cognitive, Humanistic Existential, Biomedical | Clinical Psychology| Mind Review",https://www.youtube.com/watch?v=mu8-gyT1Ebk
15,Psychology,Clinical Psychology,,12th,English/Hindi,Module 5: Therapeutic Approaches and History,History of Abnormal Behaviour | Clinical Psychology| Psychology Entrances| Mind Review,https://www.youtube.com/watch?v=0jSWXGYIrPs
16,Psychology,Clinical Psychology,,12th,English/Hindi,Module 5: Therapeutic Approaches and History,Clinical vs. Abnormal vs. Psychopathology| Mind Review,https://www.youtube.com/watch?v=WuJZNzIB7Xw
