S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Cognitive Psychology - University Course,22hrs 6min,12th,English/Hindi,Module 1: Introduction to Cognitive Psychology,Cognitive Psychology - Overview Pt1 - What Is Cognitive Psych,https://www.youtube.com/watch?v=tVTqYzaY9IM
2,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 1: Introduction to Cognitive Psychology,Cognitive Psychology - Overview Pt2 - Methods,https://www.youtube.com/watch?v=VIKVwIFvIZ0
3,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 1: Introduction to Cognitive Psychology,Cognitive Psychology - Overview Pt3 - History,https://www.youtube.com/watch?v=xLSeEoYw4Tw
4,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 1: Introduction to Cognitive Psychology,Cognitive Psychology - Overview Pt4 - The Cognitive Revolution,https://www.youtube.com/watch?v=HNww4snDuyo
5,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 2: Cognitive Neuroscience,Cognitive Psychology - Cognitive Neuroscience Pt1 - A Neuron Primer,https://www.youtube.com/watch?v=znnZT8IbDqs
6,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 2: Cognitive Neuroscience,Cognitive Psychology - Cognitive Neuroscience Pt2 - A Brain Primer,https://www.youtube.com/watch?v=LgT66JMWLrg
7,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 2: Cognitive Neuroscience,Cognitive Psychology - Cognitive Neuroscience Pt3 - Split Brains,https://www.youtube.com/watch?v=enfwUxnFs8I
8,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 2: Cognitive Neuroscience,Cognitive Psychology - Cognitive Neuroscience Pt4 - Cog Neuro Methods,https://www.youtube.com/watch?v=eNNK1fVaJIM
9,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 2: Cognitive Neuroscience,Cognitive Psychology - Cognitive Neuroscience Pt5 - Reverse Inference,https://www.youtube.com/watch?v=DowgkIC2hLQ
10,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 3: Perception,Cognitive Psychology - Perception Pt1 - Visual Perception,https://www.youtube.com/watch?v=SaFNW6F8fDE
11,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 3: Perception,Cognitive Psychology - Perception Pt2 - Perceptual Constancy,https://www.youtube.com/watch?v=bl0mGLpTtLQ
12,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 3: Perception,Cognitive Psychology - Perception Pt3 - Theories of Perception,https://www.youtube.com/watch?v=OfbZkwnRfDU
13,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 3: Perception,Cognitive Psychology - Perception Pt4 - Top Down Influences,https://www.youtube.com/watch?v=g01kC_Bs2ug
14,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 3: Perception,Cognitive Psychology - Perception Pt5 - Dual Stream Model,https://www.youtube.com/watch?v=lNU0qKgsKUU
15,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 4: Attention,Cognitive Psychology - Attention Pt1 - Signal Detection,https://www.youtube.com/watch?v=VET2PE1sx9c
16,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 4: Attention,Cognitive Psychology - Attention Pt2 - Active Search,https://www.youtube.com/watch?v=Z61nfYCRU2I
17,Psychology,Cognitive Psychology - University Course,,12th,English/Hindi,Module 4: Attention,Cognitive Psychology - Attention Pt3 - Selective Attention,https://www.youtube.com/watch?v=BgqSFT4d-Ws
