S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Environmental Psychology - Professor Daniel Stokols,1hrs 163min,12th,English/Hindi,Module 1: Introduction & Foundations,Lecture 01 -  Introduction to Environmental Psychology and Overview of the Course,https://www.youtube.com/watch?v=wHUS5T6uYT4
2,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 1: Introduction & Foundations,Lecture 02 - Applying Principles of Env  Psych  to the Analysis and Resolution of Community Problems,https://www.youtube.com/watch?v=gz0gDjpClgY
3,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 1: Introduction & Foundations,Lecture 03 - Historical Origins and Major Assumptions of the Ecological Paradigm,https://www.youtube.com/watch?v=LheCDwLjfJc
4,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 1: Introduction & Foundations,"Lecture 04 - Principles of Systems Theory, Physiological and Psychological Stress",https://www.youtube.com/watch?v=C1WARF3V5wU
5,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 2: Individual & Social Processes in Environmental Context,Lecture 05 - Environmental Cognition,https://www.youtube.com/watch?v=t8I4BDUXTWo
6,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 2: Individual & Social Processes in Environmental Context,Lecture 06 - Environment and Personality,https://www.youtube.com/watch?v=xA5d8WiuUmA
7,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 2: Individual & Social Processes in Environmental Context,Lecture 07 - Environmental Evaluation,https://www.youtube.com/watch?v=_59pm3IwtV8
8,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 2: Individual & Social Processes in Environmental Context,Lecture 08 - Human Spatial Behavior,https://www.youtube.com/watch?v=Sh0ohSjz2J8
9,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 3: Environmental Design & Behavior,Lecture 09 - Promoting Environmentally Protective Behavior,https://www.youtube.com/watch?v=mb6gf_9SORI
10,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 3: Environmental Design & Behavior,Lecture 10   Responding to the Environment,https://www.youtube.com/watch?v=UcRQuU2RB4I
11,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 3: Environmental Design & Behavior,Lecture 11 - The Influence of Environmental Design on Social Interaction,https://www.youtube.com/watch?v=t1jyDp7SxoY
12,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 3: Environmental Design & Behavior,Lecture 12 - Applying Environmental Psychology Principles to Urban Design,https://www.youtube.com/watch?v=QYrlNvhRjTY
13,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 4: Applications & Interventions,"Lecture 13 - Design Guidelines for Homes, Offices, Classrooms, and Hospitals",https://www.youtube.com/watch?v=fw2TigLITN8
14,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 4: Applications & Interventions,Lecture 14 - Design Guidelines for Residential Neighborhoods and Planned Communities,https://www.youtube.com/watch?v=rr3uq1pB_YU
15,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 4: Applications & Interventions,Lecture 15 - Natural Environments and Restorative Settings,https://www.youtube.com/watch?v=8wepK7Xt0O0
16,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 4: Applications & Interventions,Lecture 16 - Virtual Environments - The Environmental Psychology of the Internet,https://www.youtube.com/watch?v=PT-s7rBalKw
17,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 4: Applications & Interventions,Lecture 17 - Social Structural Approaches to Environmental Change,https://www.youtube.com/watch?v=Yxw7c2yKc2Q
18,Psychology,Environmental Psychology - Professor Daniel Stokols,,12th,English/Hindi,Module 4: Applications & Interventions,Lecture 18 - Evaluating Environmental Interventions,https://www.youtube.com/watch?v=vxnXQVB7Pfo
