S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Lecture Collection | Human Behavioral Biology,57hrs 15min,12th,English/Hindi,Module 1: Evolutionary and Genetic Basis of Behavior,1. Introduction to Human Behavioral Biology,https://www.youtube.com/watch?v=NNnIGh9g6fA
2,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 1: Evolutionary and Genetic Basis of Behavior,2. Behavioral Evolution,https://www.youtube.com/watch?v=Y0Oa4Lp5fLE
3,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 1: Evolutionary and Genetic Basis of Behavior,3. Behavioral Evolution II,https://www.youtube.com/watch?v=oKNAzl-XN4I
4,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 1: Evolutionary and Genetic Basis of Behavior,4. Molecular Genetics I,https://www.youtube.com/watch?v=_dRXA1_e30o
5,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 2: Genetics and Social Behavior,5. Molecular Genetics II,https://www.youtube.com/watch?v=dFILgg9_hrU
6,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 2: Genetics and Social Behavior,6. Behavioral Genetics I,https://www.youtube.com/watch?v=e0WZx7lUOrY
7,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 2: Genetics and Social Behavior,7. Behavioral Genetics II,https://www.youtube.com/watch?v=RG5fN6KrDJE
8,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 3: Neuroscience and Behavior,8. Recognizing Relatives,https://www.youtube.com/watch?v=P388gUPSq_I
9,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 3: Neuroscience and Behavior,9. Ethology,https://www.youtube.com/watch?v=ISVaoLlW104
10,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 3: Neuroscience and Behavior,10. Introduction to Neuroscience I,https://www.youtube.com/watch?v=5031rWXgdYo
11,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 3: Neuroscience and Behavior,11. Introduction to Neuroscience II,https://www.youtube.com/watch?v=uqU9lmFztOU
12,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,"Module 4: Brain, Hormones, and Behavior",12. Endocrinology,https://www.youtube.com/watch?v=yETVsV4zfFw
13,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,"Module 4: Brain, Hormones, and Behavior",13. Advanced Neurology and Endocrinology,https://www.youtube.com/watch?v=kAfz0yAcOyQ
14,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,"Module 4: Brain, Hormones, and Behavior",14. Limbic System,https://www.youtube.com/watch?v=CAOnSbDSaOw
15,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 5: Human Sexual Behavior and Aggression,15. Human Sexual Behavior I,https://www.youtube.com/watch?v=LOY3QH_jOtE
16,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 5: Human Sexual Behavior and Aggression,16. Human Sexual Behavior II,https://www.youtube.com/watch?v=95OP9rSjxzw
17,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 5: Human Sexual Behavior and Aggression,17. Human Sexual Behavior III & Aggression I,https://www.youtube.com/watch?v=JPYmarGO5jM
18,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 5: Human Sexual Behavior and Aggression,18. Aggression II,https://www.youtube.com/watch?v=wLE71i4JJiM
19,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,19. Aggression III,https://www.youtube.com/watch?v=EtVfoIkVSu8
20,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,20. Aggression IV,https://www.youtube.com/watch?v=BqP4_4kr7-0
21,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,21. Chaos and Reductionism,https://www.youtube.com/watch?v=_njf8jwEGRo
22,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,22. Emergence and Complexity,https://www.youtube.com/watch?v=o_ZuWbX-CyE
23,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,23. Language,https://www.youtube.com/watch?v=SIOQgY1tqrU
24,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,24. Schizophrenia,https://www.youtube.com/watch?v=nEnklxGAmak
25,Psychology,Lecture Collection | Human Behavioral Biology,,12th,English/Hindi,Module 6: Complexities of Human Behavior,25. Individual Differences,https://www.youtube.com/watch?v=-PpDq1WUtAw
