S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,PSY513 Forensic Psychology,52hrs 22min,12th,English/Hindi,Module 1: Introduction to Forensic Psychology,PSY513_Lecture01,https://www.youtube.com/watch?v=p4uqIs-OmPE
2,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 1: Introduction to Forensic Psychology,PSY513_Lecture02,https://www.youtube.com/watch?v=rcVYUDDQRHY
3,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 1: Introduction to Forensic Psychology,PSY513_Lecture03,https://www.youtube.com/watch?v=qv8Mtyht3DU
4,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 1: Introduction to Forensic Psychology,PSY513_Lecture04,https://www.youtube.com/watch?v=Abi2eZBORs4
5,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 2: Psychological Assessment in Forensic Settings,PSY513_Lecture05,https://www.youtube.com/watch?v=TsipEeyyVm4
6,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 2: Psychological Assessment in Forensic Settings,PSY513_Lecture06,https://www.youtube.com/watch?v=GZrMtR7tTpg
7,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 2: Psychological Assessment in Forensic Settings,PSY513_Lecture07,https://www.youtube.com/watch?v=nW7fL9luRto
8,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 2: Psychological Assessment in Forensic Settings,PSY513_Lecture08,https://www.youtube.com/watch?v=4UL0HpgGy8o
9,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 3: Criminal Profiling and Behavior,PSY513_Lecture09,https://www.youtube.com/watch?v=AUAmNtxgETg
10,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 3: Criminal Profiling and Behavior,PSY513_Lecture10,https://www.youtube.com/watch?v=v7Rzjd3feUg
11,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 3: Criminal Profiling and Behavior,PSY513_Lecture11,https://www.youtube.com/watch?v=l7wQTA--Yus
12,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 3: Criminal Profiling and Behavior,PSY513_Lecture12,https://www.youtube.com/watch?v=8QXiwY5GBXo
13,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 4: Legal and Ethical Issues,PSY513_Lecture13,https://www.youtube.com/watch?v=kkYLUUOxNx0
14,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 4: Legal and Ethical Issues,PSY513_Lecture14,https://www.youtube.com/watch?v=N2Nyvm4yll4
15,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 4: Legal and Ethical Issues,PSY513_Lecture15,https://www.youtube.com/watch?v=W1zqxGtMkZY
16,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 4: Legal and Ethical Issues,PSY513_Lecture16,https://www.youtube.com/watch?v=nRFUEGpq_es
17,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 5: Psychology of Violence and Aggression,PSY513_Lecture17,https://www.youtube.com/watch?v=_eHu6OFF1hs
18,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 5: Psychology of Violence and Aggression,PSY513_Lecture18,https://www.youtube.com/watch?v=mu3UsBR1Jcc
19,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 5: Psychology of Violence and Aggression,PSY513_Lecture19,https://www.youtube.com/watch?v=Bp40lEDH-BQ
20,Psychology,PSY513 Forensic Psychology,,12th,English/Hindi,Module 5: Psychology of Violence and Aggression,PSY513_Lecture20,https://www.youtube.com/watch?v=aD8FiJw2uSk
