Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
12193,Psychology,PSYCHOTHERAPY,8hrs 1min,12th,English/Hindi,Module 1: Introduction to Psychotherapy,Psychotherapy,https://www.youtube.com/watch?v=OxuZiqY5ypU
12194,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 1: Introduction to Psychotherapy,PSYCHOTHERAPY - Sigmund Freud,https://www.youtube.com/watch?v=mQaqXK7z9LM
12195,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 1: Introduction to Psychotherapy,Freud on: Sublimation,https://www.youtube.com/watch?v=K96AeGqKVbs
12196,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 2: Psychoanalytic Theory,PSYCHOTHERAPY - Anna Freud,https://www.youtube.com/watch?v=v80Nd8w1uts
12197,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 2: Psychoanalytic Theory,PSYCHOTHERAPY - Melanie Klein,https://www.youtube.com/watch?v=HU3iSW6WTo8
12198,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 2: Psychoanalytic Theory,PSYCHOTHERAPY - John Bowlby,https://www.youtube.com/watch?v=3LM0nE81mIE
12199,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 3: Object Relations Theory,PSYCHOTHERAPY - Donald Winnicott,https://www.youtube.com/watch?v=ZaZkvvB367I
12200,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 3: Object Relations Theory,PSYCHOTHERAPY - Jacques Lacan,https://www.youtube.com/watch?v=5OnhOXq7m4w
12201,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 4: Analytical Psychology and Applications,Freud's Oedipus Complex Can IMPROVE Your Sex Life,https://www.youtube.com/watch?v=ABODEx4A9ms
12202,Psychology,PSYCHOTHERAPY,,12th,English/Hindi,Module 4: Analytical Psychology and Applications,Carl Jung’s Word Association Test,https://www.youtube.com/watch?v=vywRt-TFZVI
