S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,PSY: P-9 Positive Psychology (e-PGP),27hrs 3min,12th,English/Hindi,Module 1: Introduction to Positive Psychology,Positive psychology: an introduction: part i (PSY),https://www.youtube.com/watch?v=LX7ojAVHiNE
2,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 1: Introduction to Positive Psychology,Positive psychology: an introduction: part ii (PSY),https://www.youtube.com/watch?v=REzDJn0An9c
3,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 1: Introduction to Positive Psychology,Perspectives on positive psychology: western and eastern (PSY),https://www.youtube.com/watch?v=x6Ko0RZC3vY
4,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 2: Foundations of Well-being,The future of positive psychology (PSY),https://www.youtube.com/watch?v=ll-wPeMgaAY
5,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 2: Foundations of Well-being,"Character, strengths and virtues (PSY)",https://www.youtube.com/watch?v=HLuTgazidxo
6,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 2: Foundations of Well-being,Happiness and well being part i (PSY),https://www.youtube.com/watch?v=pl1WCEf_B1o
7,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 2: Foundations of Well-being,Happiness and Well-Being Part II (PSY),https://www.youtube.com/watch?v=68qZ3u5Gao8
8,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 3: Cultivating Positive Emotions and Strengths,Happiness and well-being part iii (PSY),https://www.youtube.com/watch?v=btD-YPp2FG4
9,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 3: Cultivating Positive Emotions and Strengths,Positive affect and positive emotions (PSY),https://www.youtube.com/watch?v=SOso-eNe-3o
10,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 3: Cultivating Positive Emotions and Strengths,Emotional Intelligence (PSY),https://www.youtube.com/watch?v=_9H9B4Yx7OQ
11,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 4: Enhancing Resilience and Personal Growth,Emotional creativity (PSY),https://www.youtube.com/watch?v=XD19AOsdXns
12,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 4: Enhancing Resilience and Personal Growth,Resilience  (PSY),https://www.youtube.com/watch?v=96Q3uK0wUy4
13,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 4: Enhancing Resilience and Personal Growth,Self-efficacy (PSY),https://www.youtube.com/watch?v=U0A6hRbh7Yk
14,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 5: Positive Relationships and Social Connections,Optimism (PSY),https://www.youtube.com/watch?v=wfUdUG-lPZ4
15,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 5: Positive Relationships and Social Connections,Positive affect and positive emotions (PSY),https://www.youtube.com/watch?v=SOso-eNe-3o
16,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 5: Positive Relationships and Social Connections,Hope (PSY),https://www.youtube.com/watch?v=ReiK-Rs1nAA
17,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 6: Applications of Positive Psychology,Wisdom (PSY),https://www.youtube.com/watch?v=TpCe8dLcKng
18,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 6: Applications of Positive Psychology,Courage :Positive Psychology  (PSY),https://www.youtube.com/watch?v=jsRNwNKIZtg
19,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 6: Applications of Positive Psychology,Flow (PSY),https://www.youtube.com/watch?v=_Tp1WL61MfQ
20,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 6: Applications of Positive Psychology,Mindfulness (PSY),https://www.youtube.com/watch?v=yIYJiJNzkCA
21,Psychology,PSY: P-9 Positive Psychology (e-PGP),,12th,English/Hindi,Module 7: Positive Psychology in Context,Goal-setting (PSY),https://www.youtube.com/watch?v=j1XtFx7999k
