S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Psychology,6hrs 9min,12th,English/Hindi,Module 1: Introduction to Psychology,Crash Course Psychology Preview,https://www.youtube.com/watch?v=eal4-A89IWY
2,Psychology,Psychology,,12th,English/Hindi,Module 1: Introduction to Psychology,Intro to Psychology: Crash Course Psychology #1,https://www.youtube.com/watch?v=vo4pMVb0R6M
3,Psychology,Psychology,,12th,English/Hindi,Module 1: Introduction to Psychology,Psychological Research: Crash Course Psychology #2,https://www.youtube.com/watch?v=hFV71QPvX2I
4,Psychology,Psychology,,12th,English/Hindi,Module 1: Introduction to Psychology,The Chemical Mind: Crash Course Psychology #3,https://www.youtube.com/watch?v=W4N-7AlzK7s
5,Psychology,Psychology,,12th,English/Hindi,Module 2: Brain and Behavior,Meet Your Master - Getting to Know Your Brain: Crash Course Psychology #4,https://www.youtube.com/watch?v=vHrmiy4W9C0
6,Psychology,Psychology,,12th,English/Hindi,Module 2: Brain and Behavior,Sensation and Perception: Crash Course Psychology #5,https://www.youtube.com/watch?v=unWnZvXJH2o
7,Psychology,Psychology,,12th,English/Hindi,Module 2: Brain and Behavior,Homunculus: Crash Course Psychology #6,https://www.youtube.com/watch?v=fxZWtc0mYpQ
8,Psychology,Psychology,,12th,English/Hindi,Module 2: Brain and Behavior,Perceiving is Believing: Crash Course Psychology #7,https://www.youtube.com/watch?v=n46umYA_4dM
9,Psychology,Psychology,,12th,English/Hindi,"Module 3: Consciousness, Learning, and Memory",Consciousness: Crash Course Psychology #8,https://www.youtube.com/watch?v=jReX7qKU2yc
10,Psychology,Psychology,,12th,English/Hindi,"Module 3: Consciousness, Learning, and Memory","To Sleep, Perchance to Dream: Crash Course Psychology #9",https://www.youtube.com/watch?v=rMHus-0wFSo
11,Psychology,Psychology,,12th,English/Hindi,"Module 3: Consciousness, Learning, and Memory",Altered States: Crash Course Psychology #10,https://www.youtube.com/watch?v=9PW1fwKjo-Y
12,Psychology,Psychology,,12th,English/Hindi,"Module 3: Consciousness, Learning, and Memory",How to Train a Brain: Crash Course Psychology #11,https://www.youtube.com/watch?v=qG2SwE_6uVM
13,Psychology,Psychology,,12th,English/Hindi,"Module 4: Thinking, Language, and Intelligence",The Bobo Beatdown: Crash Course Psychology #12,https://www.youtube.com/watch?v=128Ts5r9NRE
14,Psychology,Psychology,,12th,English/Hindi,"Module 4: Thinking, Language, and Intelligence",How We Make Memories: Crash Course Psychology #13,https://www.youtube.com/watch?v=bSycdIx-C48
15,Psychology,Psychology,,12th,English/Hindi,"Module 4: Thinking, Language, and Intelligence",Remembering and Forgetting: Crash Course Psychology #14,https://www.youtube.com/watch?v=HVWbrNls-Kw
16,Psychology,Psychology,,12th,English/Hindi,"Module 4: Thinking, Language, and Intelligence",Cognition - How Your Mind Can Amaze and Betray You: Crash Course Psychology #15,https://www.youtube.com/watch?v=R-sVnmmw6WY
17,Psychology,Psychology,,12th,English/Hindi,Module 5: Development and Personality,Language: Crash Course Psychology #16,https://www.youtube.com/watch?v=s9shPouRWCs
18,Psychology,Psychology,,12th,English/Hindi,Module 5: Development and Personality,The Power of Motivation: Crash Course Psychology #17,https://www.youtube.com/watch?v=9hdSLiHaJz8
19,Psychology,Psychology,,12th,English/Hindi,Module 5: Development and Personality,The Growth of Knowledge: Crash Course Psychology #18,https://www.youtube.com/watch?v=8nz2dtv--ok
20,Psychology,Psychology,,12th,English/Hindi,Module 5: Development and Personality,Monkeys and Morality: Crash Course Psychology #19,https://www.youtube.com/watch?v=YcQg1EshfIE
21,Psychology,Psychology,,12th,English/Hindi,Module 6: Psychological Disorders and Treatment,Adolescence: Crash Course Psychology #20,https://www.youtube.com/watch?v=PzyXGUCngoU
22,Psychology,Psychology,,12th,English/Hindi,Module 6: Psychological Disorders and Treatment,Rorschach and Freudians: Crash Course Psychology #21,https://www.youtube.com/watch?v=mUELAiHbCxc
23,Psychology,Psychology,,12th,English/Hindi,Module 6: Psychological Disorders and Treatment,Measuring Personality: Crash Course Psychology #22,https://www.youtube.com/watch?v=sUrV6oZ3zsk
24,Psychology,Psychology,,12th,English/Hindi,Module 6: Psychological Disorders and Treatment,Controversy of Intelligence: Crash Course Psychology #23,https://www.youtube.com/watch?v=9xTz3QjcloI
25,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Brains vs. Bias: Crash Course Psychology #24,https://www.youtube.com/watch?v=75g4d5sF3xI
26,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Feeling All the Feels: Crash Course Psychology #25,https://www.youtube.com/watch?v=gAMbkJk6gnE
27,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,"Emotion, Stress, and Health: Crash Course Psychology #26",https://www.youtube.com/watch?v=4KbSRXP0wik
28,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Let's Talk About Sex: Crash Course Psychology #27,https://www.youtube.com/watch?v=Qymp_VaFo9M
29,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Psychological Disorders: Crash Course Psychology #28,https://www.youtube.com/watch?v=wuhJ-GkRRQc
30,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,OCD and Anxiety Disorders: Crash Course Psychology #29,https://www.youtube.com/watch?v=aX7jnVXXG5o
31,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Depressive and Bipolar Disorders: Crash Course Psychology #30,https://www.youtube.com/watch?v=ZwMlHkWKDwM
32,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Trauma and Addiction: Crash Course Psychology #31,https://www.youtube.com/watch?v=343ORgL3kIc
33,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Schizophrenia and Dissociative Disorders: Crash Course Psychology #32,https://www.youtube.com/watch?v=uxktavpRdzU
34,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Eating and Body Dysmorphic Disorders: Crash Course Psychology #33,https://www.youtube.com/watch?v=eMVyZ6Ax-74
35,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Personality Disorders: Crash Course Psychology #34,https://www.youtube.com/watch?v=4E1JiDFxFGk
36,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Getting Help - Psychotherapy: Crash Course Psychology #35,https://www.youtube.com/watch?v=6nEL44QkL9w
37,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Biomedical Treatments: Crash Course Psychology #36,https://www.youtube.com/watch?v=w2efaHgJ93A
38,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Social Thinking: Crash Course Psychology #37,https://www.youtube.com/watch?v=h6HLDV0T5Q8
39,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Social Influence: Crash Course Psychology #38,https://www.youtube.com/watch?v=UGxGDdQnC1Y
40,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Prejudice and Discrimination: Crash Course Psychology #39,https://www.youtube.com/watch?v=7P0iP2Zm6a4
41,Psychology,Psychology,,12th,English/Hindi,Module 7: Social Psychology,Aggression vs. Altruism: Crash Course Psychology #40,https://www.youtube.com/watch?v=XoTx7Rt4dig
