S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,20hrs 21min,12th,English/Hindi,Module 1: Introduction to Research Methods,Types of Experiment - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=S3IVX4K0FrE
2,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 1: Introduction to Research Methods,Observation - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=lSOjuEMAij4
3,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 1: Introduction to Research Methods,Self-report techniques - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=Ast1Q51fxeE
4,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 1: Introduction to Research Methods,Correlations  - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=M4Dn-GORAc8
5,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 2: Designing Psychological Research,Content analysis - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=41LgaLBZUaU
6,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 2: Designing Psychological Research,Case Studies - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=a60_qcCYHJc
7,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 2: Designing Psychological Research,Aims and Hypotheses - Research Methods [ A Level Psychology ],https://www.youtube.com/watch?v=N4PWih5KGrY
8,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 2: Designing Psychological Research,Sampling - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=gvQIuLI3tRk
9,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 3: Data Analysis and Interpretation,Experimental Design - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=Y2t81H51S3I
10,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 3: Data Analysis and Interpretation,Variables - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=ueBn0HZ-tUo
11,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 3: Data Analysis and Interpretation,Ethics - Research Methods,https://www.youtube.com/watch?v=iSD4ta9gaGU
12,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 3: Data Analysis and Interpretation,Peer review - Research Methods,https://www.youtube.com/watch?v=Cb5DAPwGEmA
13,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Psychology and the economy - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=dy94wtosEOI
14,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Reliability - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=_aYHLGLjDNA
15,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Validity  - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=WRGN9xm-uME
16,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Features of psychology as a science - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=qJNk3hEMjUI
17,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Reporting psychological investigations - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=Gw-BPUIMd4A
18,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Types of Data - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=FybiI5GGl3k
19,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Descriptive Statistics - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=TsSWLB0aEWs
20,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Graphs - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=YaA85D4g3QM
21,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Distributions - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=ONixIr50Ml4
22,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Levels of measurement - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=g3CQr4v1unE
23,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Probability and significance - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=RDj3S-eaVpQ
24,Psychology,Research Methods - Psychology Alevel (AQA) Paper 2,,12th,English/Hindi,Module 4: Critical Issues in Psychological Research,Inferential testing - Research Methods [A-Level Psychology],https://www.youtube.com/watch?v=LFAtmzdfWH4
