S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Psychology,Social Psychology,11hrs 57min,12th,English/Hindi,Module 1: Introduction to Social Psychology,Introduction to Social Psychology| Applied Social Psychology| Best Tutorial| Mind Review,https://www.youtube.com/watch?v=k0Rv1YQISmQ
2,Psychology,Social Psychology,,12th,English/Hindi,Module 1: Introduction to Social Psychology,History of Social Psychology| Video lecture in Hindi & English| Mind Review,https://www.youtube.com/watch?v=2Bc2KCIQDF8
3,Psychology,Social Psychology,,12th,English/Hindi,Module 1: Introduction to Social Psychology,Attitude Formation| Social Psychology| Video lecture in Hindi & English| Part 1| Mind Review,https://www.youtube.com/watch?v=SNxpPvuqMH8
4,Psychology,Social Psychology,,12th,English/Hindi,Module 1: Introduction to Social Psychology,Attitude Formation| Social Psychology| Video Lecture in Hindi & English| Part 2| Mind Review,https://www.youtube.com/watch?v=FTfDyewHlrs
5,Psychology,Social Psychology,,12th,English/Hindi,Module 2: Attitudes,Link between Attitude & Behaviour|Social Psychology| Lecture in Hindi & English| Mind Review| Part 1,https://www.youtube.com/watch?v=AMb-avPqVVs
6,Psychology,Social Psychology,,12th,English/Hindi,Module 2: Attitudes,Theory of Planned Behaviour| Social Psychology lecture in Hindi & English| Mind Review| Part 2,https://www.youtube.com/watch?v=3t1m7-D8Z7I
7,Psychology,Social Psychology,,12th,English/Hindi,Module 2: Attitudes,Attitude Change in Social Psychology| Best explanation in Hinglish| Mind Review| Part 1,https://www.youtube.com/watch?v=vkGSle9Do00
8,Psychology,Social Psychology,,12th,English/Hindi,Module 2: Attitudes,Attitude Change in Social Psychology| Persuasion| Lecture in Hindi & English| Part 2| Mind Review,https://www.youtube.com/watch?v=dictLC3_Zo8
9,Psychology,Social Psychology,,12th,English/Hindi,Module 3: Social Cognition,Social Psychology| Social Cognition| Schemas| Heuristics| Best Handwritten Notes PDF| Mind Review,https://www.youtube.com/watch?v=ltrNn2S10Nc
10,Psychology,Social Psychology,,12th,English/Hindi,Module 3: Social Cognition,Schemas Social Psychology in Hindi| Social Cognition| #psychology| Mind Review,https://www.youtube.com/watch?v=gEvQlR7TIjE
11,Psychology,Social Psychology,,12th,English/Hindi,Module 3: Social Cognition,Heuristics Social Psychology| Psychology in Hindi| Part 1| Mind Review,https://www.youtube.com/watch?v=OSBhyQoGiYQ
12,Psychology,Social Psychology,,12th,English/Hindi,Module 3: Social Cognition,Heuristics Social Psychology in Hindi| Part 2| Social Psychology in Hindi| Mind Review,https://www.youtube.com/watch?v=GWup6RTKF2c
13,Psychology,Social Psychology,,12th,English/Hindi,Module 4: Social Influence,Cognitive Dissonance Theory| Best explanation in HINGLISH| मनोविज्ञान| Part 1| Mind Review,https://www.youtube.com/watch?v=1xk5-u_jVVU
14,Psychology,Social Psychology,,12th,English/Hindi,Module 4: Social Influence,Cognitive Dissonance Theory| Research Evidences| Social Psychology| Part 2| Mind Review,https://www.youtube.com/watch?v=kcWT2YQ-W0w
15,Psychology,Social Psychology,,12th,English/Hindi,Module 4: Social Influence,"Social Influence (Conformity, Compliance & Obedience)| Social Psychology| Mind Review",https://www.youtube.com/watch?v=Y2kcLJ2glyM
16,Psychology,Social Psychology,,12th,English/Hindi,Module 4: Social Influence,Conformity - Social Influence| All theories covered| Social Psychology| Mind Review,https://www.youtube.com/watch?v=-anOojc6xjQ
17,Psychology,Social Psychology,,12th,English/Hindi,Module 5: Interpersonal Attraction,Compliance- Social Influence| Compliance techniques| Social Psychology| Easy Explanation,https://www.youtube.com/watch?v=EUVHlkvW3NA
18,Psychology,Social Psychology,,12th,English/Hindi,Module 5: Interpersonal Attraction,OBEDIENCE IN PSYCHOLOGY| Hindi Lecture| Social Influence Process| Easy Explanation| Mind Review,https://www.youtube.com/watch?v=vbJN_GFW7h4
19,Psychology,Social Psychology,,12th,English/Hindi,Module 5: Interpersonal Attraction,Interpersonal Attraction Social Psychology| Hindi Lecture| Part 1| Mind Review,https://www.youtube.com/watch?v=XQ8Ly76M4Mw
20,Psychology,Social Psychology,,12th,English/Hindi,Module 5: Interpersonal Attraction,Interpersonal Attraction Social Psychology| Hindi Lecture| Part 2| Mind Review,https://www.youtube.com/watch?v=E9IAzd1PnQo
21,Psychology,Social Psychology,,12th,English/Hindi,Module 6: Group Dynamics,Interpersonal Attraction Social Psychology|Determinants of Attraction in Hindi| Part 3|Mind Review,https://www.youtube.com/watch?v=SvtQnmlC0d8
22,Psychology,Social Psychology,,12th,English/Hindi,Module 6: Group Dynamics,Theories of Interpersonal attraction| Social Psychology| Hindi| Part 1| Mind Review,https://www.youtube.com/watch?v=aISDS8IZKpc
23,Psychology,Social Psychology,,12th,English/Hindi,Module 6: Group Dynamics,Theories of Interpersonal Attraction| Social Psychology| Hindi| Part 2| Mind Review,https://www.youtube.com/watch?v=10-hHtxhT18
24,Psychology,Social Psychology,,12th,English/Hindi,Module 6: Group Dynamics,Understanding Group Dynamics| Social Psychology| Part 1| Mind Review,https://www.youtube.com/watch?v=WINcqrRpJGg
25,Psychology,Social Psychology,,12th,English/Hindi,Module 7: Social Perception and Attribution,Group Formation Stages| Social Psychology| Easy to Understand| Mind Review,https://www.youtube.com/watch?v=8n2xFlnI6eY
26,Psychology,Social Psychology,,12th,English/Hindi,Module 7: Social Perception and Attribution,Benefits & Costs of Joining Groups| Groups Social Psychology| Mind Review,https://www.youtube.com/watch?v=5vDmCxKMmm8
27,Psychology,Social Psychology,,12th,English/Hindi,Module 7: Social Perception and Attribution,Group Decision Making| Social Psychology| मनोविज्ञान| Mind Review,https://www.youtube.com/watch?v=uUSEAwFsQ0s
28,Psychology,Social Psychology,,12th,English/Hindi,Module 7: Social Perception and Attribution,Group Decision Making Methods| मनोविज्ञान| Gain Support of Group Members| Mind Review,https://www.youtube.com/watch?v=LVgrXiHibgA
29,Psychology,Social Psychology,,12th,English/Hindi,Module 8: Prosocial Behavior,Realistic Conflict Theory| Social Psychology| Mind Review,https://www.youtube.com/watch?v=sm3civWzFek
30,Psychology,Social Psychology,,12th,English/Hindi,Module 8: Prosocial Behavior,"Social Perception in hindi| Attributions, Impression Formation, Impression Management| Mind Review",https://www.youtube.com/watch?v=46Oo13spKvs
31,Psychology,Social Psychology,,12th,English/Hindi,Module 8: Prosocial Behavior,Attribution Theories in Social Psychology in Hindi| Heider's Theory| Mind Review,https://www.youtube.com/watch?v=SXEaTExAQhc
32,Psychology,Social Psychology,,12th,English/Hindi,Module 8: Prosocial Behavior,Attribution Theory in Social Psychology| Correspondent Inference Theory| Mind Review,https://www.youtube.com/watch?v=f_S_bapYEm4
33,Psychology,Social Psychology,,12th,English/Hindi,Module 9: Additional Concepts and Applications,Attribution Theory in Social Psychology| Weiner's Attribution Theory| Mind Review,https://www.youtube.com/watch?v=LAE-3IOxn9I
34,Psychology,Social Psychology,,12th,English/Hindi,Module 9: Additional Concepts and Applications,Attribution Theory in Social Psychology| Kelley's Co variation Theory| Mind Review,https://www.youtube.com/watch?v=mbJvw03ilqM
35,Psychology,Social Psychology,,12th,English/Hindi,Module 9: Additional Concepts and Applications,Impression Formation Social Psychology in Hindi| #Psychology| Mind Review,https://www.youtube.com/watch?v=AGu3uJ5JhJE
36,Psychology,Social Psychology,,12th,English/Hindi,Module 9: Additional Concepts and Applications,Pro-Social Behaviour Social Psychology in Hindi| Part 1| Mind Review,https://www.youtube.com/watch?v=1FWJ3FiooSk
37,Psychology,Social Psychology,,12th,English/Hindi,Module 10: Social Psychology for Psychology Entrances,Pro-Social Behaviour Social Psychology in Hindi| Theories| Part 2| Mind Review,https://www.youtube.com/watch?v=mI2127CCgkc
38,Psychology,Social Psychology,,12th,English/Hindi,Module 10: Social Psychology for Psychology Entrances,Reciprocal Altruism Theory| Prosocial Behaviour Social Psychology in Hindi| Theories| Part 3,https://www.youtube.com/watch?v=KRYDZL5YZQk
39,Psychology,Social Psychology,,12th,English/Hindi,Module 10: Social Psychology for Psychology Entrances,Prosocial Behaviour In Hindi| Social Psychology| Developmental Perspective| Part 4,https://www.youtube.com/watch?v=kZQN0COjp9o
40,Psychology,Social Psychology,,12th,English/Hindi,Module 10: Social Psychology for Psychology Entrances,ProSocial Behaviour in hindi| Socio-Psychological Perspective| Social Psychology| Mind Review,https://www.youtube.com/watch?v=CgqWs9mNhHU
