"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
12776,"Public Administration","Complete Course of Ethics (English)","9hrs 2min","12th","English/Hindi","Module 1: Introduction to Ethics","Introduction of the Course Ethics","https://www.youtube.com/watch?v=nFn6fne2DGA"
12777,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 1: Course Overview","Overview of Ethics Course ( English)","https://www.youtube.com/watch?v=L4fBHWQpUWU"
12778,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 1: Essence of Ethics","Essence of Ethics  English","https://www.youtube.com/watch?v=ZTUzklTZ4_0"
12779,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 1: Normative Ethics","Normative Ethics  [English]","https://www.youtube.com/watch?v=URvS_bwlA_U"
12780,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 2: Applied Ethics","Applied Ethics  [English]","https://www.youtube.com/watch?v=a_oF3_qDvwY"
12781,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 2: Ethics in Relationships","Ethics in Private and Public Relationships ( English)","https://www.youtube.com/watch?v=yVr6M7AWASU"
12782,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 2: Human Value","Human Value ( Engish)","https://www.youtube.com/watch?v=0Y07Co1AQW8"
12783,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 3: Great Leaders & Reformers Part I","Lessons From The Lives And Teachings Of Great Leaders, Reformers And Administrators Part I (English)","https://www.youtube.com/watch?v=3wAqiSIDRUE"
12784,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 3: Great Leaders & Reformers Part II","Lessons from the Lives and Teachings of Great Leaders, Reformers and Administrators (Part-II)","https://www.youtube.com/watch?v=X9rBIeYzw6I"
12785,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 4: Ethical Ideas of Indian Religion","Ethical Ideas Of Indian Religion( English)","https://www.youtube.com/watch?v=JU4xgtm0QHs"
12786,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 4: Attitude - Content & Structure","Attitude Content, Structure, Function English","https://www.youtube.com/watch?v=vfOqIAOcrq8"
12787,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 5: Moral & Political Attitudes","Attitude Moral And Political Attitudes English","https://www.youtube.com/watch?v=olBz6ZEjI9s"
12788,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 5: Social Influence & Persuasion","Attitude Social Influence and Persuasion ( English )","https://www.youtube.com/watch?v=oXj7Ty6iXsw"
12789,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 6: Indian Moral Thinkers Part I","Contributions Of Moral Thinkers And Philosophers From India ( English )","https://www.youtube.com/watch?v=_vrKE8bVwXo"
12790,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 6: Emotional Intelligence","Emotional Intelligence (English )","https://www.youtube.com/watch?v=Ux4hn1wAQ2M"
12791,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 6: Indian Moral Thinkers Part II","Contributions Of Moral Thinkers And Philosophers From India part -01 (English)","https://www.youtube.com/watch?v=DJjPzoAGHv8"
12792,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 7: Global Moral Thinkers Part I","Contributions of Moral Thinkers and Philosophers from Across the Globe Part I   English","https://www.youtube.com/watch?v=tm5_mDGeTG8"
12793,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 7: Global Moral Thinkers Part II","Contributions of Moral Thinkers and Philosophers from Across the Globe Part II   ( English )","https://www.youtube.com/watch?v=KVYZQM2Fpgw"
12794,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 8: Ethical Guidance","""Laws, Rules, Regulations and Conscience as Sources of Ethical Guidance (English)","https://www.youtube.com/watch?v=va8QpmkQLcs"
12795,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 8: Ethical Dilemmas","Ethical Dilemmas ( English )","https://www.youtube.com/watch?v=2TpxVYA08rc"
12796,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 9: Ethics in International Relations","Ethical Issues In International Relations ( English )","https://www.youtube.com/watch?v=EHUjFeuH5Qk"
12797,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 9: International Institutions","International Institutions ( English)","https://www.youtube.com/watch?v=ljYpfDdcs58"
12798,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 10: International Funding & Corporate Governance","International Funding  (English)","https://www.youtube.com/watch?v=PvUJ1XH3lO8"
12799,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 10: Probity in Governance","Corporate Governance (English)","https://www.youtube.com/watch?v=QWbciJsOF-c"
12800,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 11: Transparency in Government","Probity in Governance ( English )","https://www.youtube.com/watch?v=uEu4n-8dgD4"
12801,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 11: Accountability & Ethical Governance","Sharing and Transparency in Government  ( English )","https://www.youtube.com/watch?v=NlOp8nwoBqo"
12802,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 12: Challenges of Corruption","Accountability and Ethical Governance ( English )","https://www.youtube.com/watch?v=d_Cmzdc6CCw"
12803,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 12: Anti-Corruption Laws","Challenges of corruption ( English )","https://www.youtube.com/watch?v=asiMQleYjoY"
12804,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 13: Anti-Corruption Institutions in India","Anti corruption Laws ( English)","https://www.youtube.com/watch?v=KYfiQuo3v-U"
12805,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 13: Codes of Ethics & Conduct","Anti-Corruption Institutions in India  ( English )","https://www.youtube.com/watch?v=WVRDM9NZJQ0"
12806,"Public Administration","Complete Course of Ethics (English)","","12th","English/Hindi","Module 13: Codes of Ethics & Conduct","Code of Ethics and Code of Conduct ( English )","https://www.youtube.com/watch?v=J5oD1MSYrzE"
