"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
13829,"Public Health","12- Medicine & Social Science","50hrs 10min","12th","English/Hindi","Module 1: Introduction to Community Health","Community Health | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision","https://www.youtube.com/watch?v=0CiOFQbbouo"
13830,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 1: Social and Behavioral Sciences","Social and Behavioral Science | PSM lectures | Community Medicine lectures | PSM made easy | Arpit","https://www.youtube.com/watch?v=KqzM_tZ-TQc"
13831,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 1: Society and Culture","Society | Socialization | Socialized medicine | PSM lectures | Community Medicine lectures | Arpits","https://www.youtube.com/watch?v=URiQ5S_YAeo"
13832,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 2: Customs and Social Pathology","Culture | Acculturation | PSM lectures | Community Medicine lectures | PSM made easy | Arpit","https://www.youtube.com/watch?v=bwAyWvZk4y8"
13833,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 2: Social Surveys and Problems","Customs | Folkways | Mores | PSM lecture | Community Medicine lecture | PSM made easy | PSM revision","https://www.youtube.com/watch?v=cf5LbXkzhAI"
13834,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 2: Psychology and Behavior","Social Pathology | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision","https://www.youtube.com/watch?v=FvSBeZyVvMM"
13835,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 3: Habits and Personality","Social Surveys | PSM lecture | Community Medicine lecture | PSM made easy | PSM revision | Arpit","https://www.youtube.com/watch?v=s6gDpu6y7iA"
13836,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 3: Attitude and Learning","Social Problems | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision","https://www.youtube.com/watch?v=SMDy_u7KLwc"
13837,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 3: Intelligence and Social Organizations","Psychology | Maslow's Hierarchy of Needs | PSM lectures | Community Medicine lecture | PSM made easy","https://www.youtube.com/watch?v=MxT1L5gj3qM"
13838,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 4: Family and Cultural Factors in Health","Behavior | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpits","https://www.youtube.com/watch?v=0k-RrI07v2c"
13839,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 4: Doctor-Patient Relationship and Medical Social Work","Habits | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpits","https://www.youtube.com/watch?v=Q4stvrsWjN8"
13840,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 4: Operational Research and Socioeconomic Status","Personality | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision | Arpits","https://www.youtube.com/watch?v=h8tEh07g_fY"
13841,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 5: Consumer Protection Act and Social Security","Attitude | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpits","https://www.youtube.com/watch?v=ipTpROhQy80"
13842,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 5: Social Assistance vs. Social Insurance","Learning | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision | Arpits","https://www.youtube.com/watch?v=q2bdQUnYZdI"
13843,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 5: Ayushman Bharat","Intelligence | IQ | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision","https://www.youtube.com/watch?v=T0eE3bslH3U"
13844,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 6: Community Health Programs","Social Organizations | Mob | Herd | Band | PSM lectures | Community Medicine lecture | PSM made easy","https://www.youtube.com/watch?v=ozMOgs67ANQ"
13845,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 6: Health Education and Communication","Family | Family Cycle | Types and Functions of family | PSM lectures | Community Medicine lectures","https://www.youtube.com/watch?v=p13xp_-TMMw"
13846,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 6: Environmental Health","Cultural factors in Health and Diseases | PSM lectures | Community Medicine lectures | PSM made easy","https://www.youtube.com/watch?v=HxG5uHkR1Cc"
13847,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 7: Occupational Health","Doctor Patient relationship & Doctor Nurse relationship | PSM lectures | Community Medicine lectures","https://www.youtube.com/watch?v=7KWfWSRja6M"
13848,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 7: Health Planning and Management","Medical Social Worker | MSW | PSM lectures | Community Medicine lectures | PSM made easy | Arpit","https://www.youtube.com/watch?v=hhzQR8D3PkY"
13849,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 7: International Health","Operational Research | PSM lecture | Community Medicine lecture | PSM made easy | PSM rapid revision","https://www.youtube.com/watch?v=W8dmoebSrV8"
13850,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 8: Epidemiology and Biostatistics","Socioeconomic Status | SES | PSM lectures | Community Medicine lectures | PSM made easy | Arpits","https://www.youtube.com/watch?v=DBBAtHJoIYY"
13851,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 8: Demography and Population Studies","Consumer Protection Act | COPRA | PSM lectures | Community Medicine lectures | PSM made easy | Arpit","https://www.youtube.com/watch?v=iz96NmUqR5I"
13852,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 8: Health Information Systems","Social security | PSM lectures | Community Medicine lectures | PSM made easy | PSM rapid revision","https://www.youtube.com/watch?v=6vhqfRPByS0"
13853,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 9: Ethics in Healthcare","Social Assistance Vs Social Insurance | PSM lectures | Community Medicine lectures | PSM made easy","https://www.youtube.com/watch?v=xVWti2Ny0zY"
13854,"Public Health","12- Medicine & Social Science","","12th","English/Hindi","Module 9: Ethics in Healthcare","Ayushman Bharat | Pradhan Mantri Jan Arogya Yojna | PSM lectures | Community Medicine lectures","https://www.youtube.com/watch?v=RYsPky89Bss"
