S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Public Health,Community health nursing,19hrs 21min,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Introduction of community health nursing,https://www.youtube.com/watch?v=VJtpNjJK8zA
2,Public Health,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Demography: sources & cycle,https://www.youtube.com/watch?v=-okTFohWfx8
3,Public Health,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Dimensions of health,https://www.youtube.com/watch?v=Ma23i55r_Ws
4,Public Health,Community health nursing,,12th,English/Hindi,Module 1: Introduction to Community Health Nursing,Determinants of health: simple explanation,https://www.youtube.com/watch?v=jrmRFFhR5G8
5,Public Health,Community health nursing,,12th,English/Hindi,Module 2: Health Education: Principles & Objectives,Health education: principles & objectives,https://www.youtube.com/watch?v=qaJpyz6i-z0
6,Public Health,Community health nursing,,12th,English/Hindi,Module 2: Health Education: Principles & Objectives,Epidemiological methods (design),https://www.youtube.com/watch?v=6swwJ1Lg1LM
7,Public Health,Community health nursing,,12th,English/Hindi,Module 2: Health Education: Principles & Objectives,Principles And Steps Of Home Visit,https://www.youtube.com/watch?v=y-zVNoHXJ0E
8,Public Health,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Triad: Simple Explanation,Epidemiological Triad : Simple Explanation,https://www.youtube.com/watch?v=KwlodqhsyYA
9,Public Health,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Triad: Simple Explanation,Mode Of Disease Transmission,https://www.youtube.com/watch?v=0Y3nSbvG0wQ
10,Public Health,Community health nursing,,12th,English/Hindi,Module 3: Epidemiological Triad: Simple Explanation,World health organization (WHO),https://www.youtube.com/watch?v=uRUjVv5MkDQ
11,Public Health,Community health nursing,,12th,English/Hindi,Module 4: UNICEF: Services/Functions,UNICEF : Services/Functions,https://www.youtube.com/watch?v=VaVMar9LTrc
12,Public Health,Community health nursing,,12th,English/Hindi,Module 4: UNICEF: Services/Functions,Concept of Health,https://www.youtube.com/watch?v=xZsODfAk7a0
13,Public Health,Community health nursing,,12th,English/Hindi,Module 5: Principles of Community Health Nursing,Principles of community health nursing: simple explanation,https://www.youtube.com/watch?v=uuyDR_zlLNE
14,Public Health,Community health nursing,,12th,English/Hindi,Module 5: Principles of Community Health Nursing,Roles of community health nurse,https://www.youtube.com/watch?v=OoYZIqHseso
15,Public Health,Community health nursing,,12th,English/Hindi,Module 6: Levels of Prevention with Examples,Levels of prevention with simple examples/ English,https://www.youtube.com/watch?v=NaPJySskCeM
16,Public Health,Community health nursing,,12th,English/Hindi,Module 6: Levels of Prevention with Examples,Scope of community health nursing/ English,https://www.youtube.com/watch?v=38Du4yx1Lfw
17,Public Health,Community health nursing,,12th,English/Hindi,Module 7: Functions of Community Health Nurse,Functions of community health nurse/english,https://www.youtube.com/watch?v=hEDr6Lluins
18,Public Health,Community health nursing,,12th,English/Hindi,Module 7: Functions of Community Health Nurse,Chickenpox / varicella : simple explanation,https://www.youtube.com/watch?v=r2eYj3OqV5s
19,Public Health,Community health nursing,,12th,English/Hindi,Module 8: Measles (Rubeola): Simple Explanation,Measles (rubeola) simple explanation/english,https://www.youtube.com/watch?v=ifwiiTJyCF0
20,Public Health,Community health nursing,,12th,English/Hindi,Module 8: Measles (Rubeola): Simple Explanation,Mumps simple explanation,https://www.youtube.com/watch?v=RSm7fAdH3Gc
21,Public Health,Community health nursing,,12th,English/Hindi,Module 8: Measles (Rubeola): Simple Explanation,German measles/rubella:simple explanation,https://www.youtube.com/watch?v=fi2-1GM3Rq8
