Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
5930,Public Health,Public Health Law Academy (PHLA),58hrs 9min,12th,English/Hindi,Module 1: Introducing Public Health Law,Introducing the Public Health Law Academy,https://www.youtube.com/watch?v=GKeQVcixY3g
5931,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 1: Public Health Law: Past & Present,Public Health Law: Past & Present (ARCHIVED),https://www.youtube.com/watch?v=pYHWfk_2BSk
5932,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 1: What is the scope of public health authority?,Preemption & Public Health,https://www.youtube.com/watch?v=Odtn9Xzxjo4
5933,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 2: Preemption & Public Health,Structure of Government: Exploring the Fabric and Framework of Public Health Powers,https://www.youtube.com/watch?v=HN10LOEjB8Q
5934,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 2: What is preemption? How does it affect public health?,Introduction to Legal Epidemiology,https://www.youtube.com/watch?v=18DCoheA0G8
5935,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 3: Structure of Government: Exploring the Fabric and Framework of Public Health Powers,Introduction to Legal Mapping,https://www.youtube.com/watch?v=svDFKAuSKaI
5936,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 3: What are the basic structure and functions of government?,ABC’s of Administrative Law in Public Health Practice - Part I,https://www.youtube.com/watch?v=gAhZceS6o5E
5937,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 4: Introduction to Legal Epidemiology,Public Health Threats & the US Constitution: What Responders Need to Know - OLD,https://www.youtube.com/watch?v=aSzccpSvQ2Y
5938,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 4: What is Legal Epidemiology?,What is Legal Epidemiology?,https://www.youtube.com/watch?v=IBZDPy1CCm8
5939,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 5: Introduction to Legal Mapping,What is the scope of public health authority?,https://www.youtube.com/watch?v=4DDaxeRNe3I
5940,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 6: ABC’s of Administrative Law in Public Health Practice - Part I,What is preemption? How does it affect public health?,https://www.youtube.com/watch?v=J39ec4-Au0A
5941,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 6: What types of laws can governmental agencies enact and enforce?,What types of laws can governmental agencies enact and enforce?,https://www.youtube.com/watch?v=4e80pB7AmCs
5942,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 7: Public Health Threats & the US Constitution: What Responders Need to Know - OLD,What are the basic structure and functions of government?,https://www.youtube.com/watch?v=_ehV07l6s1Y
5943,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 7: Public Health Threats & the US Constitution: What Responders Need to Know,Pharmacist Collaborative Practice Agreements,https://www.youtube.com/watch?v=j_TWiVlYBno
5944,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 8: How Do Health Departments Implement and Enforce the Law?,Advanced Legal Epidemiology Methods,https://www.youtube.com/watch?v=Hualm-aTLPI
5945,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 8: What Legal Powers Do Health Departments Have?,How Do Health Departments Implement and Enforce the Law?,https://www.youtube.com/watch?v=QHbXtxMd3kM
5946,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,"Module 9: How Do Health Departments Create Regulations, Policies, and Guidance Documents?",What Legal Powers Do Health Departments Have?,https://www.youtube.com/watch?v=u60506adMas
5947,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 10: Pharmacist Collaborative Practice Agreements,"How Do Health Departments Create Regulations, Policies, and Guidance Documents?",https://www.youtube.com/watch?v=ataohtLzvBw
5948,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 10: Advanced Legal Epidemiology Methods,Public Health Threats & the US Constitution: What Responders Need to Know,https://www.youtube.com/watch?v=m9M1aDKDm9A
5949,Public Health,Public Health Law Academy (PHLA),,12th,English/Hindi,Module 10: Public Health Law: Past and Present,Public Health Law: Past and Present,https://www.youtube.com/watch?v=Ma_Pep_mYpQ
