"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
8691,"Real Estate","Real Estate Economics","33hrs 15min","12th","English/Hindi","Module 1: Introduction to Real Estate","Real Estate Course Introduction","https://www.youtube.com/watch?v=EStQpyo0v0g"
8692,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 1: Real Estate Course Introduction","Time Value of Money","https://www.youtube.com/watch?v=dussPmxBzzI"
8693,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 1: Time Value of Money","Mortgage Calculations Using Excel","https://www.youtube.com/watch?v=gyMqocUUt8Y"
8694,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 1: Mortgage Calculations Using Excel","Leverage","https://www.youtube.com/watch?v=QMP0k7TfO5o"
8695,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 2: Leverage and Taxes in Real Estate","Why Are Certain Properties Taxable","https://www.youtube.com/watch?v=xKxpVUamSpA"
8696,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 2: Leverage","Business Income or Capital Gain","https://www.youtube.com/watch?v=wHrJWYZSQpU"
8697,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 2: Why Are Certain Properties Taxable","Principal Residence Tax Exemption","https://www.youtube.com/watch?v=UpA2uox7eGM"
8698,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 3: Real Estate Taxation","Business Income  How to make the most of it","https://www.youtube.com/watch?v=HPjg1rmFV8Q"
8699,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 3: Business Income or Capital Gain","Subdividing Land","https://www.youtube.com/watch?v=tcApephVh_8"
8700,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 3: Principal Residence Tax Exemption","Mathematics Behind Income Taxes","https://www.youtube.com/watch?v=X9jcw9S9mB0"
8701,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 4: Real Estate Investments and Income","Income tax brackets","https://www.youtube.com/watch?v=v9TxtqbM92E"
8702,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 4: Business Income  How to make the most of it","TFSA VS RRSP: A Mathematical Perspective","https://www.youtube.com/watch?v=gwDOz4b6WMk"
8703,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 4: Subdividing Land","Tax Free Savings Accounts Details","https://www.youtube.com/watch?v=2h7FjYuU2ZE"
8704,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 5: Understanding Income Taxes","What is an RRSP?","https://www.youtube.com/watch?v=nHzC5gQezT4"
8705,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 5: Mathematics Behind Income Taxes","Mortgages","https://www.youtube.com/watch?v=WSMkreve5zg"
8706,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 5: Income tax brackets","Mathematics EXTRA Related to Mortgages","https://www.youtube.com/watch?v=yYUxtnKOqUw"
8707,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 6: Retirement Planning and Real Estate","Land Transfer Tax","https://www.youtube.com/watch?v=_8SY3Er3NsY"
8708,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 6: TFSA VS RRSP: A Mathematical Perspective","Home Buyers Plan","https://www.youtube.com/watch?v=29Qsc0FbtKA"
8709,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 6: Tax Free Savings Accounts Details","Mortgage Loan Insurance","https://www.youtube.com/watch?v=wLveflKhZH8"
8710,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 6: What is an RRSP?","Municipal Taxes","https://www.youtube.com/watch?v=hqK7ZOtmWF8"
8711,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 7: Mortgages and Financing","Realtor Duproprio","https://www.youtube.com/watch?v=5TcWX4IOzLo"
8712,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 7: Mortgages","HELOC Trick","https://www.youtube.com/watch?v=Kc0naJc-MLw"
8713,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 7: Mathematics EXTRA Related to Mortgages","Different Methods Of Valuing Real Estate","https://www.youtube.com/watch?v=MzOY6CCHYnQ"
8714,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 8: Real Estate Transactions and Costs","Comparison Approach to Valuation","https://www.youtube.com/watch?v=crY5WXKKe8g"
8715,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 8: Land Transfer Tax","INFOLOT","https://www.youtube.com/watch?v=OM43-PNIrJI"
8716,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 8: Home Buyers Plan","Income Approach to Valuation","https://www.youtube.com/watch?v=8sBjI_7grxg"
8717,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 8: Mortgage Loan Insurance","AIRBNB","https://www.youtube.com/watch?v=09nhzthORsQ"
8718,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 9: Property Valuation","Cost Approach to Valuation","https://www.youtube.com/watch?v=vVOB9_9Foro"
8719,"Real Estate","Real Estate Economics","","12th","English/Hindi","Module 9: Municipal Taxes","Sales Tax Applied To New Constructions","https://www.youtube.com/watch?v=FJ7RlTzP6s4"
