Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
8793,Real Estate,Technology in Real Estate,1hrs 8min,12th,English/Hindi,Module 1: Introduction to AI in Real Estate,Will AI Replace Real Estate Professionals? Pt.2 #ai,https://www.youtube.com/watch?v=Fv_lBLvYx7o
8794,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 1: Will AI Replace Real Estate Professionals? Pt.1 #ai,Will AI Replace Real Estate Professionals? Pt.1 #ai,https://www.youtube.com/watch?v=myJ3Zg1cevA
8795,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 1: Will AI Replace Real Estate Professionals? Pt.2 #ai,3 Proven Tactics to Grow Your Business in Real Estate #marketing,https://www.youtube.com/watch?v=D_dcrC9zZAk
8796,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 1: What is The Future of AI in Commercial Real Estate: Kyle Inserra,"AI's Influence on the Future of Commercial Real Estate, Explained",https://www.youtube.com/watch?v=OiWNFiDzYYU
8797,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 2: AI's Influence on the Future of Commercial Real Estate,Office Sharing Platform Like WeWork Can't Survive #wework #realestate,https://www.youtube.com/watch?v=Gfw9YUmV11E
8798,Real Estate,Technology in Real Estate,,12th,English/Hindi,"Module 2: AI's Influence on the Future of Commercial Real Estate, Explained",The Most Challenging...and EXCITING Client: Working With Skyports,https://www.youtube.com/watch?v=VFw3UiNHAdg
8799,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 3: Metaverse and Real Estate,Simple Trick to Avoid Lawsuits and Get Website ADA Compliant #webdevelopment,https://www.youtube.com/watch?v=Ejg61Vt-Hi8
8800,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 3: Here’s How Real Estate Is Performing Currently In The Metaverse- Kristi Waterworth,Tips to Make Your Website ADA Compliant: Don't Get Sued! #webdevelopment,https://www.youtube.com/watch?v=ngo41SckPJU
8801,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 3: Learn How To Invest In Metaverse Real Estate: Explained,How to Run Your Social Media Video Campaign #marketing,https://www.youtube.com/watch?v=hSsWxwArBI0
8802,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 4: The Future of Office Spaces,Avoiding Legal Pitfalls: How to Make Your Website ADA Compliant,https://www.youtube.com/watch?v=H0HJCd2_zyo
8803,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 4: Office Sharing Platform Like WeWork Can't Survive #wework #realestate,Navigating High-Profile Real Estate Clients: Representing Elon Musk - The Boring Company,https://www.youtube.com/watch?v=MinXzk1_2Pg
8804,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 4: How New Technology like Knotel can Impact Office Leasing,"How 3D Printing is Transforming Labor, Material, and Time in Building Projects",https://www.youtube.com/watch?v=Mn-jsOCtoAw
8805,Real Estate,Technology in Real Estate,,12th,English/Hindi,Module 5: 3D Printing and Construction,The Social Media Revolution in Commercial Real Estate: What You Need to Know,https://www.youtube.com/watch?v=odgiec2hmdU
