Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
5655,Renewable Energy,Design of photovoltaic systems,50hrs 17min,12th,English/Hindi,Module 1: Introduction to Photovoltaic Systems,A Historical Perspective,https://www.youtube.com/watch?v=khzMZ8VL8Q4
5656,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 1: Introduction to Photovoltaic Systems,PV cell characteristics and equivalent circuit,https://www.youtube.com/watch?v=hr2sId412zU
5657,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 1: Introduction to Photovoltaic Systems,Model of PV cell,https://www.youtube.com/watch?v=T4eiokj_seM
5658,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 1: Introduction to Photovoltaic Systems,"Short Circuit, Open Circuit and peak power parameters",https://www.youtube.com/watch?v=E7hcK8QCh08
5659,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 2: PV Cell Characteristics and Modeling,Datasheet study,https://www.youtube.com/watch?v=6A5ffEi-fSE
5660,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 2: PV Cell Characteristics and Modeling,Cell Efficiency,https://www.youtube.com/watch?v=XYbdPiplbp8
5661,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 2: PV Cell Characteristics and Modeling,Effect of temperature,https://www.youtube.com/watch?v=zQbPzKU4gW8
5662,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 2: PV Cell Characteristics and Modeling,Temperature effect calculation example,https://www.youtube.com/watch?v=jizCsQqg_OY
5663,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 2: PV Cell Characteristics and Modeling,Fill Factor,https://www.youtube.com/watch?v=qvx_f70FjNU
5664,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 2: PV Cell Characteristics and Modeling,PV cell simulation,https://www.youtube.com/watch?v=JjXuemxD1Gk
5665,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 3: PV Cell Performance Parameters,Identical PV cells in series,https://www.youtube.com/watch?v=0Tkp9l71xQA
5666,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 3: PV Cell Performance Parameters,Load line,https://www.youtube.com/watch?v=aGQ85Bu8AMA
5667,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 3: PV Cell Performance Parameters,Non-identical cells in series,https://www.youtube.com/watch?v=YDwRxRmJKHU
5668,Renewable Energy,Design of photovoltaic systems,,12th,English/Hindi,Module 3: PV Cell Performance Parameters,Protecting cells  in series,https://www.youtube.com/watch?v=P6RQCxF-7DE
