"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
5306,"Renewable Energy","Renewable Energy Resources (KOE-074)","8hrs 18min","12th","English/Hindi","Module 1: Introduction to Renewable Energy Resources","Renewable Energy Resources in Hindi L0 The Subject","https://www.youtube.com/watch?v=yNiEJzFrqjE"
5307,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 1: Introduction to Renewable Energy Resources","Lecture U1L1_Introduction_Renewable Energy Resources (ROE-086) in Hindi_Syllabus of AKTU Lucknow","https://www.youtube.com/watch?v=fuyIrSeZ5-k"
5308,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 1: Introduction to Renewable Energy Resources","Lecture U1L2_Classification_Renewable Energy Resources (KOE-074) in Hindi_Syllabus of AKTU Lucknow","https://www.youtube.com/watch?v=PbuOfAZw9_I"
5309,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 1: Introduction to Renewable Energy Resources","Lecture U1L3_Classification of Conventional Sources_RER (KOE-074) in Hindi_Syllabus of AKTU Lucknow","https://www.youtube.com/watch?v=MqQWfMIXM4A"
5310,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 2: Classification of Energy Resources","Lecture U1L4_Classification of Non-Conventional Sources_RER (ROE-086) in Hindi_Syllabus of AKTU Lko","https://www.youtube.com/watch?v=-w_ALp4HMQ8"
5311,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 2: Classification of Energy Resources","Lecture U1L5_Direct Energy Conservation_RER (ROE-086) in Hindi_Syllabus of AKTU Lko","https://www.youtube.com/watch?v=3yjQwh76I9c"
5312,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 2: Classification of Energy Resources","Lecture U1L6_Importance of NCER and Energy Scenario at Glance_RER(ROE-086) in Hindi_Syllabus of AKTU","https://www.youtube.com/watch?v=hN8psCIBM6I"
5313,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 2: Classification of Energy Resources","Lecture U1L7_ Solar Cell Fundamental_RER (ROE-086) in Hindi_Syllabus of AKTU Lucknow","https://www.youtube.com/watch?v=GfimjAHsfkk"
5314,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 3: Energy Conservation and Solar Cell Fundamentals","Lecture U1L8_Solar Cell Materials and Type_ Renewable Energy (ROE-086) in Hindi_Syllabus of AKTU Lko","https://www.youtube.com/watch?v=-51d-ojy3Rw"
5315,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 3: Energy Conservation and Solar Cell Fundamentals","Lecture U1L9_Solar Power Plants_ Renewable Energy (ROE-086) in Hindi_Syllabus of AKTU Lko","https://www.youtube.com/watch?v=eSnd7xwZ61c"
5316,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 3: Energy Conservation and Solar Cell Fundamentals","U2 L1 Solar Radiation","https://www.youtube.com/watch?v=5tiGnEtsFXs"
5317,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 4: Solar Cell Technology and Solar Power Plants","U2 L2 1 Flat Plate Collector I","https://www.youtube.com/watch?v=atwUg5SM1dc"
5318,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 4: Solar Cell Technology and Solar Power Plants","U2 L2 2 Flat Plate Collector II","https://www.youtube.com/watch?v=lNIX-wMGCDA"
5319,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 4: Solar Cell Technology and Solar Power Plants","U2 L3 Focusing of  Collector","https://www.youtube.com/watch?v=c3bj3oN9DGU"
5320,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 5: Solar Radiation and Flat Plate Collectors","U2 L4 Solar Thermal Power Plant","https://www.youtube.com/watch?v=Ui1DRQMeTHY"
5321,"Renewable Energy","Renewable Energy Resources (KOE-074)","","12th","English/Hindi","Module 5: Solar Radiation and Flat Plate Collectors","U2 L5 1 Solar Thermal Power Systems I","https://www.youtube.com/watch?v=mUoAwH7n6MA"
